round,date,time,home_team,away_team,formation,coach,audience,result,match_link
1,sáb 19/08/2006,11:00,Everton,Watford,4-4-2 duplo 6,David Moyes,39691,2:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/55438
2,qua 23/08/2006,16:00,Blackburn,Everton,,David Moyes,22015,1:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/55454
3,sáb 26/08/2006,11:00,Tottenham,Everton,?,David Moyes,35540,0:2,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/55456
4,sáb 09/09/2006,08:45,Everton,Liverpool,,David Moyes,40260,3:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/55466
5,sáb 16/09/2006,11:00,Everton,Wigan,,David Moyes,37117,2:2,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/55479
6,dom 24/09/2006,12:00,Newcastle,Everton,4-4-2,David Moyes,50107,1:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/55494
7,sáb 30/09/2006,11:00,Everton,Man City,?,David Moyes,38250,1:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/55500
8,sáb 14/10/2006,11:00,Middlesbrough,Everton,,David Moyes,27156,2:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/55511
9,sáb 21/10/2006,11:00,Everton,Sheff Utd,,David Moyes,37900,2:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/55520
10,sáb 28/10/2006,11:00,Arsenal,Everton,4-4-1-1,David Moyes,60047,1:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/55526
11,sáb 04/11/2006,09:45,Fulham,Everton,,David Moyes,23327,1:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/55536
12,sáb 11/11/2006,13:00,Everton,Aston Villa,,David Moyes,36376,0:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/55549
13,sáb 18/11/2006,13:00,Everton,Bolton,,David Moyes,34417,1:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/55558
14,sáb 25/11/2006,10:45,Charlton,Everton,,David Moyes,26435,1:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/55568
15,qua 29/11/2006,18:45,Man Utd,Everton,,David Moyes,75723,3:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/55580
15,dom 03/12/2006,15:00,Everton,West Ham,?,David Moyes,32968,2:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/55585
17,sáb 09/12/2006,14:00,FC Portsmouth,Everton,,David Moyes,19528,2:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/55601
18,dom 17/12/2006,12:30,Everton,Chelsea,,David Moyes,33970,2:3,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/55614
19,sáb 23/12/2006,14:00,Reading,Everton,,David Moyes,24053,0:2,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/55624
20,ter 26/12/2006,14:00,Everton,Middlesbrough,,David Moyes,38126,0:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/55629
21,sáb 30/12/2006,14:00,Everton,Newcastle,?,David Moyes,38682,3:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/55640
22,seg 01/01/2007,14:00,Man City,Everton,?,David Moyes,39836,2:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/55650
23,sáb 13/01/2007,14:00,Everton,Reading,,David Moyes,34722,1:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/55660
24,sáb 20/01/2007,14:00,Wigan,Everton,4-4-1-1,David Moyes,18149,0:2,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/55675
25,qua 21/02/2007,18:00,Everton,Tottenham,,David Moyes,34121,1:2,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/55682
26,sáb 03/02/2007,14:00,Liverpool,Everton,,David Moyes,44234,0:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/55690
27,sáb 10/02/2007,13:00,Everton,Blackburn,,David Moyes,35593,1:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/55699
28,sáb 24/02/2007,15:15,Watford,Everton,4-4-2 duplo 6,David Moyes,18761,0:3,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/55714
29,sáb 03/03/2007,12:00,Sheff Utd,Everton,,David Moyes,32019,1:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/55723
30,dom 18/03/2007,13:00,Everton,Arsenal,,David Moyes,37162,1:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/55730
31,seg 02/04/2007,16:00,Aston Villa,Everton,,David Moyes,36407,1:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/55736
32,sex 06/04/2007,15:30,Everton,Fulham,,David Moyes,35612,4:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/55749
33,seg 09/04/2007,11:00,Bolton,Everton,,David Moyes,25179,1:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/55757
34,dom 15/04/2007,11:00,Everton,Charlton,,David Moyes,34028,2:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/55769
35,sáb 21/04/2007,11:00,West Ham,Everton,,David Moyes,34945,1:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/55785
36,sáb 28/04/2007,08:45,Everton,Man Utd,,David Moyes,39682,2:4,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/55789
37,sáb 05/05/2007,11:00,Everton,FC Portsmouth,,David Moyes,39619,3:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/55799
38,dom 13/05/2007,11:00,Chelsea,Everton,,David Moyes,41746,1:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/55808
