round,date,time,home_team,away_team,formation,coach,audience,result,match_link
1,dom 17/08/2008,12:00,Man Utd,Newcastle,4-4-1-1,Kevin Keegan,74879,1:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/921447
2,sáb 23/08/2008,11:00,Newcastle,Bolton,4-1-4-1,Kevin Keegan,47711,1:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/921451
3,sáb 30/08/2008,13:30,Arsenal,Newcastle,4-4-2,Kevin Keegan,60067,3:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/923118
4,sáb 13/09/2008,11:00,Newcastle,Hull City,4-4-2,Chris Hughton,50242,1:2,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/923132
5,sáb 20/09/2008,11:00,West Ham,Newcastle,4-4-2 duplo 6,Chris Hughton,34743,3:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/923949
6,sáb 27/09/2008,11:00,Newcastle,Blackburn,4-4-2,Joe Kinnear,44935,1:2,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/923961
7,dom 05/10/2008,12:00,Everton,Newcastle,?,Joe Kinnear,33805,2:2,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/923971
8,seg 20/10/2008,17:00,Newcastle,Man City,4-4-2,Joe Kinnear,45908,2:2,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/926251
9,sáb 25/10/2008,09:45,AFC Sunderland,Newcastle,4-4-2,Joe Kinnear,47936,2:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/926253
10,ter 28/10/2008,17:45,Newcastle,West Brom,4-4-2,Joe Kinnear,45801,2:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/926262
11,seg 03/11/2008,18:00,Newcastle,Aston Villa,4-4-2,Joe Kinnear,44567,2:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/926290
12,dom 09/11/2008,14:00,Fulham,Newcastle,4-4-2,Joe Kinnear,24740,2:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/928545
13,sáb 15/11/2008,13:00,Newcastle,Wigan,4-4-2,Joe Kinnear,47657,2:2,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/928552
14,sáb 22/11/2008,13:00,Chelsea,Newcastle,4-4-2,Joe Kinnear,41660,0:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/928558
15,sáb 29/11/2008,13:00,Middlesbrough,Newcastle,4-4-2,Joe Kinnear,32160,0:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/930680
16,sáb 06/12/2008,13:00,Newcastle,Stoke,4-4-2,Joe Kinnear,47422,2:2,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/930695
17,dom 14/12/2008,11:30,FC Portsmouth,Newcastle,4-4-2,Joe Kinnear,19416,0:3,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/930708
18,dom 21/12/2008,13:00,Newcastle,Tottenham,4-4-2,Joe Kinnear,47982,2:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/930716
19,sex 26/12/2008,13:00,Wigan,Newcastle,4-4-2,Joe Kinnear,20266,2:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/930728
20,dom 28/12/2008,10:00,Newcastle,Liverpool,4-4-2,Joe Kinnear,52114,1:5,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/930734
21,sáb 10/01/2009,13:00,Newcastle,West Ham,4-4-2,Joe Kinnear,47571,2:2,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/933607
22,sáb 17/01/2009,13:00,Blackburn,Newcastle,4-4-2,Joe Kinnear,25583,3:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/933612
23,qua 28/01/2009,17:45,Man City,Newcastle,?,Joe Kinnear,42280,2:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/934248
24,dom 01/02/2009,11:30,Newcastle,AFC Sunderland,4-4-2,Joe Kinnear,52084,1:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/934259
25,sáb 07/02/2009,13:00,West Brom,Newcastle,4-4-2,Chris Hughton,25817,2:3,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/934267
26,dom 22/02/2009,13:00,Newcastle,Everton,4-4-2,Chris Hughton,47683,0:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/936008
27,dom 01/03/2009,10:00,Bolton,Newcastle,4-4-2,Joe Kinnear,20763,1:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/936016
28,qua 04/03/2009,16:45,Newcastle,Man Utd,4-4-2,Chris Hughton,51636,1:2,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/936026
29,sáb 14/03/2009,12:00,Hull City,Newcastle,4-4-2,Joe Kinnear,24914,1:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/936033
30,sáb 21/03/2009,14:30,Newcastle,Arsenal,4-4-2,Chris Hughton,49972,1:3,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/936043
31,sáb 04/04/2009,11:00,Newcastle,Chelsea,4-4-2,Alan Shearer,52112,0:2,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/940296
32,sáb 11/04/2009,13:30,Stoke,Newcastle,4-4-2,Alan Shearer,24862,1:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/940350
33,dom 19/04/2009,09:30,Tottenham,Newcastle,4-4-2,Alan Shearer,35850,1:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/940360
34,seg 27/04/2009,16:00,Newcastle,FC Portsmouth,4-4-2 losango,Alan Shearer,47481,0:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/940372
35,dom 03/05/2009,09:30,Liverpool,Newcastle,4-4-2,Alan Shearer,44121,3:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/943630
36,seg 11/05/2009,16:00,Newcastle,Middlesbrough,4-4-2,Alan Shearer,51252,3:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/943642
37,sáb 16/05/2009,11:00,Newcastle,Fulham,4-4-2,Alan Shearer,52114,0:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/943647
38,dom 24/05/2009,12:00,Aston Villa,Newcastle,4-4-2,Alan Shearer,42584,1:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/943654
