round,date,time,home_team,away_team,formation,coach,audience,result,match_link
1,sáb 15/08/2009,11:00,Wolves,West Ham,4-4-2 duplo 6,Mick McCarthy,28674,0:2,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/954261
2,ter 18/08/2009,15:45,Wigan,Wolves,4-1-4-1,Mick McCarthy,16661,0:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/954267
3,sáb 22/08/2009,11:00,Man City,Wolves,4-1-4-1,Mick McCarthy,47287,1:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/954274
4,sáb 29/08/2009,11:00,Wolves,Hull City,4-4-2 duplo 6,Mick McCarthy,27906,1:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/954288
5,sáb 12/09/2009,11:00,Blackburn,Wolves,4-4-2 duplo 6,Mick McCarthy,24845,3:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/954290
6,dom 20/09/2009,10:00,Wolves,Fulham,4-4-2 duplo 6,Mick McCarthy,27670,2:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/954523
7,dom 27/09/2009,12:00,AFC Sunderland,Wolves,4-4-2 duplo 6,Mick McCarthy,37566,5:2,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/954531
8,sáb 03/10/2009,11:00,Wolves,FC Portsmouth,4-4-2,Mick McCarthy,29023,0:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/954543
9,sáb 17/10/2009,11:00,Everton,Wolves,4-4-2 duplo 6,Mick McCarthy,39319,1:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/954547
10,sáb 24/10/2009,09:45,Wolves,Aston Villa,4-4-2 duplo 6,Mick McCarthy,28734,1:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/954563
11,sáb 31/10/2009,13:00,Stoke,Wolves,4-4-2,Mick McCarthy,27500,2:2,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/960960
12,sáb 07/11/2009,15:30,Wolves,Arsenal,4-4-2 duplo 6,Mick McCarthy,28937,1:4,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/960970
13,sáb 21/11/2009,13:00,Chelsea,Wolves,4-1-4-1,Mick McCarthy,41786,4:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/960977
14,dom 29/11/2009,10:00,Wolves,Birmingham,4-4-2 duplo 6,Mick McCarthy,26668,0:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/960992
15,sáb 05/12/2009,13:00,Wolves,Bolton,4-4-2 losango,Mick McCarthy,27362,2:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/961004
16,sáb 12/12/2009,13:00,Tottenham,Wolves,4-4-2,Mick McCarthy,36012,0:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/961014
17,ter 15/12/2009,18:00,Man Utd,Wolves,4-5-1,Mick McCarthy,73709,3:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/961018
18,dom 20/12/2009,11:30,Wolves,FC Burnley,4-4-2,Mick McCarthy,27410,2:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/961034
19,sáb 26/12/2009,15:30,Liverpool,Wolves,4-4-2,Mick McCarthy,41956,2:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/961040
20,seg 28/12/2009,17:45,Wolves,Man City,4-4-2 duplo 6,Mick McCarthy,28957,0:3,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/961054
21,ter 23/03/2010,17:00,West Ham,Wolves,4-5-1,Mick McCarthy,33988,1:3,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/961063
22,sáb 16/01/2010,13:00,Wolves,Wigan,4-4-2 duplo 6,Mick McCarthy,27604,0:2,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/961074
23,ter 26/01/2010,17:45,Wolves,Liverpool,4-4-1-1,Mick McCarthy,28763,0:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/961079
24,sáb 30/01/2010,13:00,Hull City,Wolves,4-1-4-1,Mick McCarthy,24957,2:2,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/961089
25,dom 07/02/2010,11:30,Birmingham,Wolves,4-5-1,Mick McCarthy,24165,2:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/961095
26,qua 10/02/2010,17:45,Wolves,Tottenham,4-1-4-1,Mick McCarthy,27992,1:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/961110
27,sáb 20/02/2010,13:00,Wolves,Chelsea,4-5-1,Mick McCarthy,28978,0:2,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/961124
28,sáb 27/02/2010,12:00,Bolton,Wolves,4-5-1,Mick McCarthy,21261,1:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/961126
29,sáb 06/03/2010,14:30,Wolves,Man Utd,4-1-4-1,Mick McCarthy,28883,0:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/961143
30,sáb 13/03/2010,12:00,FC Burnley,Wolves,4-5-1,Mick McCarthy,21217,1:2,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/961147
31,sáb 20/03/2010,09:45,Aston Villa,Wolves,4-2-3-1,Mick McCarthy,37562,2:2,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/961164
32,sáb 27/03/2010,12:00,Wolves,Everton,4-5-1,Mick McCarthy,28995,0:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/961174
33,sáb 03/04/2010,11:00,Arsenal,Wolves,4-2-3-1,Mick McCarthy,60067,1:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/961175
34,dom 11/04/2010,08:00,Wolves,Stoke,4-1-4-1,Mick McCarthy,28455,0:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/961193
35,sáb 17/04/2010,11:00,Fulham,Wolves,4-1-4-1,Mick McCarthy,25597,0:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/961197
36,sáb 24/04/2010,11:00,Wolves,Blackburn,4-1-4-1,Mick McCarthy,28967,1:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/961213
37,sáb 01/05/2010,11:00,FC Portsmouth,Wolves,4-5-1,Mick McCarthy,19213,3:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/961220
38,dom 09/05/2010,12:00,Wolves,AFC Sunderland,4-4-2 duplo 6,Mick McCarthy,28971,2:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/961234
