round,date,time,home_team,away_team,formation,coach,audience,result,match_link
1,seg 19/08/2013,16:00,Man City,Newcastle,4-4-2 duplo 6,Manuel Pellegrini,46842,4:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2350367
2,dom 25/08/2013,12:00,Cardiff,Man City,4-4-2 duplo 6,Manuel Pellegrini,27068,3:2,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2331957
3,sáb 31/08/2013,08:45,Man City,Hull City,4-4-1-1,Manuel Pellegrini,46903,2:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2350377
4,sáb 14/09/2013,11:00,Stoke,Man City,4-4-2 duplo 6,Manuel Pellegrini,25052,0:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2332005
5,dom 22/09/2013,12:00,Man City,Man Utd,4-4-2 duplo 6,Manuel Pellegrini,47156,4:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2332001
6,sáb 28/09/2013,11:00,Aston Villa,Man City,4-4-2 duplo 6,Manuel Pellegrini,34063,3:2,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2331982
7,sáb 05/10/2013,08:45,Man City,Everton,4-2-3-1,Manuel Pellegrini,47267,3:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2332118
8,sáb 19/10/2013,13:30,West Ham,Man City,4-4-2 duplo 6,Manuel Pellegrini,34507,1:3,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2332128
9,dom 27/10/2013,14:00,Chelsea,Man City,4-2-3-1,Manuel Pellegrini,41495,2:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2332077
10,sáb 02/11/2013,13:00,Man City,Norwich,4-4-2 duplo 6,Manuel Pellegrini,47066,7:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2332123
11,dom 10/11/2013,12:05,AFC Sunderland,Man City,4-4-1-1,Manuel Pellegrini,40137,1:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2332079
12,dom 24/11/2013,11:30,Man City,Tottenham,4-2-3-1,Manuel Pellegrini,47228,6:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2332070
13,dom 01/12/2013,14:10,Man City,Swansea,4-4-2 duplo 6,Manuel Pellegrini,46559,3:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2332073
14,qua 04/12/2013,18:00,West Brom,Man City,4-4-2 duplo 6,Manuel Pellegrini,22943,2:3,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2332054
15,sáb 07/12/2013,13:00,Southampton,Man City,4-4-2 duplo 6,Manuel Pellegrini,31229,1:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2332033
16,sáb 14/12/2013,10:45,Man City,Arsenal,4-4-2 duplo 6,Manuel Pellegrini,47229,6:3,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2332028
17,sáb 21/12/2013,13:00,Fulham,Man City,4-4-2 duplo 6,Manuel Pellegrini,25509,2:4,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2331994
18,qui 26/12/2013,15:30,Man City,Liverpool,4-2-3-1,Manuel Pellegrini,47351,2:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2332009
19,sáb 28/12/2013,13:00,Man City,Crystal Palace,4-2-3-1,Manuel Pellegrini,47107,1:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2331998
20,qua 01/01/2014,10:45,Swansea,Man City,4-4-2 duplo 6,Manuel Pellegrini,20498,2:3,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2332116
21,dom 12/01/2014,12:05,Newcastle,Man City,4-4-2 duplo 6,Manuel Pellegrini,49423,0:2,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2332229
22,sáb 18/01/2014,13:00,Man City,Cardiff,4-4-2 duplo 6,Manuel Pellegrini,47213,4:2,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2332246
23,qua 29/01/2014,17:45,Tottenham,Man City,4-4-2,Manuel Pellegrini,36071,1:5,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2332219
24,seg 03/02/2014,18:00,Man City,Chelsea,4-4-2 duplo 6,Manuel Pellegrini,47364,0:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2332190
25,sáb 08/02/2014,13:00,Norwich,Man City,4-4-2,Manuel Pellegrini,26832,0:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2332242
26,qua 16/04/2014,15:45,Man City,AFC Sunderland,4-4-1-1,Manuel Pellegrini,47046,2:2,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2332168
27,sáb 22/02/2014,12:00,Man City,Stoke,4-4-2 duplo 6,Manuel Pellegrini,47038,1:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2332162
28,ter 25/03/2014,16:45,Man Utd,Man City,4-2-3-1,Manuel Pellegrini,75203,0:3,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2332199
29,qua 07/05/2014,15:45,Man City,Aston Villa,4-2-3-1,Manuel Pellegrini,47023,4:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2332183
30,sáb 15/03/2014,09:45,Hull City,Man City,4-2-3-1,Manuel Pellegrini,24895,0:2,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2332131
31,sáb 22/03/2014,12:00,Man City,Fulham,4-2-3-1,Manuel Pellegrini,47262,5:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2332147
32,sáb 29/03/2014,14:30,Arsenal,Man City,4-2-3-1,Manuel Pellegrini,60060,1:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2332149
33,sáb 05/04/2014,08:45,Man City,Southampton,4-2-3-1,Manuel Pellegrini,47009,4:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2332298
34,dom 13/04/2014,09:35,Liverpool,Man City,4-2-3-1,Manuel Pellegrini,44601,3:2,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2332292
35,seg 21/04/2014,16:00,Man City,West Brom,4-4-2 duplo 6,Manuel Pellegrini,46564,3:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2332305
36,dom 27/04/2014,12:10,Crystal Palace,Man City,4-2-3-1,Manuel Pellegrini,24769,0:2,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2332306
37,sáb 03/05/2014,13:30,Everton,Man City,4-4-2 duplo 6,Manuel Pellegrini,39454,2:3,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2332259
38,dom 11/05/2014,11:00,Man City,West Ham,4-4-2 duplo 6,Manuel Pellegrini,47300,2:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2332255
