round,date,time,home_team,away_team,formation,coach,audience,result,match_link
1,sáb 16/08/2014,13:30,Arsenal,Crystal Palace,4-1-4-1,Arsène Wenger,59962,2:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2460296
2,sáb 23/08/2014,13:30,Everton,Arsenal,4-1-4-1,Arsène Wenger,39490,2:2,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2478484
3,dom 31/08/2014,12:00,Leicester,Arsenal,4-1-4-1,Arsène Wenger,31535,1:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2486498
4,sáb 13/09/2014,08:45,Arsenal,Man City,4-1-4-1,Arsène Wenger,60003,2:2,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2486499
5,sáb 20/09/2014,11:00,Aston Villa,Arsenal,4-2-3-1,Arsène Wenger,40013,0:3,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2486510
6,sáb 27/09/2014,13:30,Arsenal,Tottenham,4-3-3 defensivo,Arsène Wenger,59900,1:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2486526
7,dom 05/10/2014,10:05,Chelsea,Arsenal,4-2-3-1,Arsène Wenger,41607,2:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2486537
8,sáb 18/10/2014,11:00,Arsenal,Hull City,4-2-3-1,Arsène Wenger,60004,2:2,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2486540
9,sáb 25/10/2014,12:00,AFC Sunderland,Arsenal,4-2-3-1,Arsène Wenger,44449,0:2,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2486552
10,sáb 01/11/2014,13:00,Arsenal,FC Burnley,4-2-3-1,Arsène Wenger,60012,3:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2486560
11,dom 09/11/2014,14:00,Swansea,Arsenal,4-2-3-1,Arsène Wenger,20812,2:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2486578
12,sáb 22/11/2014,15:30,Arsenal,Man Utd,4-3-3 defensivo,Arsène Wenger,60074,1:2,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2486585
13,sáb 29/11/2014,10:45,West Brom,Arsenal,4-2-3-1,Arsène Wenger,24228,0:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2486589
14,qua 03/12/2014,17:45,Arsenal,Southampton,4-2-3-1,Arsène Wenger,60025,1:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2486599
15,sáb 06/12/2014,13:00,Stoke,Arsenal,4-2-3-1,Arsène Wenger,27367,3:2,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2486616
16,sáb 13/12/2014,15:30,Arsenal,Newcastle,4-1-4-1,Arsène Wenger,59949,4:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2486619
17,dom 21/12/2014,14:00,Liverpool,Arsenal,4-3-3 ofensivo,Arsène Wenger,44703,2:2,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2486631
18,sex 26/12/2014,15:30,Arsenal,QPR,4-3-3 ofensivo,Arsène Wenger,59947,2:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2486639
19,dom 28/12/2014,13:00,West Ham,Arsenal,4-2-3-1,Arsène Wenger,34977,1:2,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2486658
20,qui 01/01/2015,13:00,Southampton,Arsenal,4-2-3-1,Arsène Wenger,31492,2:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2486665
21,dom 11/01/2015,11:30,Arsenal,Stoke,4-2-3-1,Arsène Wenger,59956,3:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2486669
22,dom 18/01/2015,14:00,Man City,Arsenal,4-1-4-1,Arsène Wenger,45596,0:2,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2486683
23,dom 01/02/2015,11:30,Arsenal,Aston Villa,4-2-3-1,Arsène Wenger,59958,5:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2486689
24,sáb 07/02/2015,10:45,Tottenham,Arsenal,4-1-4-1,Arsène Wenger,35659,2:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2486707
25,ter 10/02/2015,17:45,Arsenal,Leicester,4-3-3 ofensivo,Arsène Wenger,60032,2:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2486709
26,sáb 21/02/2015,13:00,Crystal Palace,Arsenal,4-2-3-1,Arsène Wenger,24721,1:2,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2486721
27,dom 01/03/2015,11:05,Arsenal,Everton,4-1-4-1,Arsène Wenger,59925,2:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2486729
28,qua 04/03/2015,16:45,QPR,Arsenal,4-1-4-1,Arsène Wenger,17977,1:2,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2486741
29,sáb 14/03/2015,12:00,Arsenal,West Ham,4-2-3-1,Arsène Wenger,60002,3:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2486749
