round,date,time,home_team,away_team,formation,coach,audience,result,match_link
1,seg 15/08/2016,16:00,Chelsea,West Ham,4-1-4-1,Antonio Conte,41521,2:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2697989
2,sáb 20/08/2016,11:00,Watford,Chelsea,4-1-4-1,Antonio Conte,20772,1:2,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2698003
3,sáb 27/08/2016,11:00,Chelsea,FC Burnley,4-3-3 ofensivo,Antonio Conte,41607,3:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2698006
4,dom 11/09/2016,12:00,Swansea,Chelsea,4-2-3-1,Antonio Conte,20865,2:2,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2698092
5,sex 16/09/2016,16:00,Chelsea,Liverpool,4-2-3-1,Antonio Conte,41514,1:2,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2698097
6,sáb 24/09/2016,13:30,Arsenal,Chelsea,4-1-4-1,Antonio Conte,60028,3:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2698108
7,sáb 01/10/2016,11:00,Hull City,Chelsea,3-4-2-1,Antonio Conte,21257,0:2,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2698125
8,sáb 15/10/2016,08:30,Chelsea,Leicester,3-4-2-1,Antonio Conte,41547,3:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2698128
9,dom 23/10/2016,13:00,Chelsea,Man Utd,3-4-2-1,Antonio Conte,41424,4:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2698142
10,dom 30/10/2016,14:00,Southampton,Chelsea,3-4-2-1,Antonio Conte,31827,0:2,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2698146
11,sáb 05/11/2016,15:30,Chelsea,Everton,3-4-3 plano,Antonio Conte,41429,5:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2698153
12,dom 20/11/2016,14:00,Middlesbrough,Chelsea,3-4-2-1,Antonio Conte,32704,0:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2698179
13,sáb 26/11/2016,15:30,Chelsea,Tottenham,3-4-2-1,Antonio Conte,41513,2:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2698188
14,sáb 03/12/2016,10:30,Man City,Chelsea,3-4-2-1,Antonio Conte,54457,1:3,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2698138
15,dom 11/12/2016,10:00,Chelsea,West Brom,3-4-2-1,Antonio Conte,41622,1:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2698200
16,qua 14/12/2016,17:45,AFC Sunderland,Chelsea,3-4-2-1,Antonio Conte,41008,0:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2698233
17,sáb 17/12/2016,10:30,Crystal Palace,Chelsea,3-4-2-1,Antonio Conte,25259,0:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2698211
18,seg 26/12/2016,13:00,Chelsea,Bournemouth,3-4-2-1,Antonio Conte,41384,3:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2698197
19,sáb 31/12/2016,13:00,Chelsea,Stoke,3-4-2-1,Antonio Conte,41601,4:2,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2698227
20,qua 04/01/2017,18:00,Tottenham,Chelsea,3-4-2-1,Antonio Conte,31491,2:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2698265
21,sáb 14/01/2017,15:30,Leicester,Chelsea,3-4-2-1,Antonio Conte,32066,0:3,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2698259
22,dom 22/01/2017,14:30,Chelsea,Hull City,3-4-2-1,Antonio Conte,41605,2:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2698280
