round,date,time,home_team,away_team,formation,coach,audience,result,match_link
1,sex 11/08/2017,15:45,Arsenal,Leicester,4-4-1-1,Craig Shakespeare,59387,4:3,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2872115
2,sáb 19/08/2017,11:00,Leicester,Brighton,4-4-1-1,Craig Shakespeare,31902,2:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2872128
3,sáb 26/08/2017,13:30,Man Utd,Leicester,4-2-3-1,Craig Shakespeare,75021,2:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2872140
4,sáb 09/09/2017,11:00,Leicester,Chelsea,4-4-2 duplo 6,Craig Shakespeare,30923,1:2,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2872149
5,sáb 16/09/2017,11:00,Huddersfield,Leicester,4-4-1-1,Craig Shakespeare,24169,1:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2872158
6,sáb 23/09/2017,13:30,Leicester,Liverpool,4-4-1-1,Craig Shakespeare,32004,2:3,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2872169
7,sáb 30/09/2017,11:00,Bournemouth,Leicester,4-4-1-1,Craig Shakespeare,10444,0:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2872175
8,seg 16/10/2017,17:00,Leicester,West Brom,4-2-3-1,Craig Shakespeare,30203,1:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2872188
9,sáb 21/10/2017,12:00,Swansea,Leicester,4-4-2 duplo 6,Michael Appleton,20521,1:2,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2872202
10,dom 29/10/2017,14:00,Leicester,Everton,4-2-3-1,Claude Puel,31891,2:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2872210
11,sáb 04/11/2017,10:30,Stoke,Leicester,4-2-3-1,Claude Puel,29602,2:2,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2872221
12,sáb 18/11/2017,13:00,Leicester,Man City,4-2-3-1,Claude Puel,31908,0:2,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2872230
13,sex 24/11/2017,18:00,West Ham,Leicester,4-4-1-1,Claude Puel,56897,1:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2872244
14,ter 28/11/2017,17:45,Leicester,Tottenham,4-2-3-1,Claude Puel,31950,2:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2872248
15,sáb 02/12/2017,13:00,Leicester,FC Burnley,4-4-2 duplo 6,Claude Puel,30714,1:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2872260
16,sáb 09/12/2017,15:30,Newcastle,Leicester,4-4-2 duplo 6,Claude Puel,52117,2:3,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2872270
17,qua 13/12/2017,17:45,Southampton,Leicester,4-2-3-1,Claude Puel,27714,1:4,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2872283
18,sáb 16/12/2017,10:30,Leicester,Crystal Palace,4-2-3-1,Claude Puel,31081,0:3,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2872290
19,sáb 23/12/2017,17:45,Leicester,Man Utd,4-2-3-1,Claude Puel,32202,2:2,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2872298
20,ter 26/12/2017,13:00,Watford,Leicester,4-2-3-1,Claude Puel,20308,2:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2872313
21,sáb 30/12/2017,13:00,Liverpool,Leicester,4-4-1-1,Claude Puel,53226,2:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2872319
22,seg 01/01/2018,13:00,Leicester,Huddersfield,4-4-2 duplo 6,Claude Puel,31748,3:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2872329
23,sáb 13/01/2018,13:00,Chelsea,Leicester,4-4-1-1,Claude Puel,41552,0:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2872336
24,sáb 20/01/2018,13:00,Leicester,Watford,4-4-2 duplo 6,Claude Puel,31891,2:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2872349
25,qua 31/01/2018,17:45,Everton,Leicester,4-2-3-1,Claude Puel,38390,2:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2872359
