round,date,time,home_team,away_team,formation,coach,audience,result,match_link
1,sex 09/08/2019,16:00,Liverpool,Norwich,4-3-3 ofensivo,Jürgen Klopp,53333,4:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/3194817
2,sáb 17/08/2019,11:00,Southampton,Liverpool,4-3-3 ofensivo,Jürgen Klopp,31712,1:2,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/3219431
3,sáb 24/08/2019,13:30,Liverpool,Arsenal,4-3-3 ofensivo,Jürgen Klopp,53298,3:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/3219086
4,sáb 31/08/2019,13:30,FC Burnley,Liverpool,4-3-3 ofensivo,Jürgen Klopp,21762,0:3,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/3219085
5,sáb 14/09/2019,08:30,Liverpool,Newcastle,4-3-3 ofensivo,Jürgen Klopp,51430,3:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/3219082
6,dom 22/09/2019,12:30,Chelsea,Liverpool,4-3-3 ofensivo,Jürgen Klopp,40638,1:2,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/3219071
7,sáb 28/09/2019,08:30,Sheff Utd,Liverpool,4-3-3 ofensivo,Jürgen Klopp,31774,0:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/3219070
8,sáb 05/10/2019,11:00,Liverpool,Leicester,4-3-3 ofensivo,Jürgen Klopp,53322,2:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/3219405
9,dom 20/10/2019,12:30,Man Utd,Liverpool,4-3-3 ofensivo,Jürgen Klopp,73737,1:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/3219384
10,dom 27/10/2019,13:30,Liverpool,Tottenham,4-3-3 ofensivo,Jürgen Klopp,53222,2:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/3219389
11,sáb 02/11/2019,12:00,Aston Villa,Liverpool,4-3-3 ofensivo,Jürgen Klopp,41878,1:2,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/3219372
12,dom 10/11/2019,13:30,Liverpool,Man City,4-3-3 ofensivo,Jürgen Klopp,53324,3:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/3219364
13,sáb 23/11/2019,12:00,Crystal Palace,Liverpool,4-3-3 ofensivo,Jürgen Klopp,25486,1:2,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/3219354
14,sáb 30/11/2019,12:00,Liverpool,Brighton,4-1-4-1,Jürgen Klopp,53319,2:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/3219342
15,qua 04/12/2019,17:15,Liverpool,Everton,4-2-3-1,Jürgen Klopp,53094,5:2,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/3219320
16,sáb 07/12/2019,12:00,Bournemouth,Liverpool,4-2-3-1,Jürgen Klopp,10832,0:3,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/3219321
17,sáb 14/12/2019,09:30,Liverpool,Watford,4-2-3-1,Jürgen Klopp,53311,2:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/3219316
18,qua 29/01/2020,16:45,West Ham,Liverpool,4-3-3 ofensivo,Jürgen Klopp,59959,0:2,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/3219288
19,qui 26/12/2019,17:00,Leicester,Liverpool,4-3-3 ofensivo,Jürgen Klopp,32211,0:4,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/3219290
20,dom 29/12/2019,13:30,Liverpool,Wolves,4-2-3-1,Jürgen Klopp,53326,1:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/3219294
21,qui 02/01/2020,17:00,Liverpool,Sheff Utd,4-3-3 ofensivo,Jürgen Klopp,53321,2:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/3219270
22,sáb 11/01/2020,14:30,Tottenham,Liverpool,4-3-3 ofensivo,Jürgen Klopp,61023,0:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/3219255
23,dom 19/01/2020,13:30,Liverpool,Man Utd,4-3-3 ofensivo,Jürgen Klopp,52916,2:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/3219251
24,qui 23/01/2020,17:00,Wolves,Liverpool,4-3-3 ofensivo,Jürgen Klopp,31746,1:2,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/3219248
25,sáb 01/02/2020,12:00,Liverpool,Southampton,4-1-4-1,Jürgen Klopp,53291,4:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/3219222
26,sáb 15/02/2020,14:30,Norwich,Liverpool,4-1-4-1,Jürgen Klopp,27110,0:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/3219230
27,seg 24/02/2020,17:00,Liverpool,West Ham,4-3-3 ofensivo,Jürgen Klopp,53313,3:2,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/3219192
28,sáb 29/02/2020,14:30,Watford,Liverpool,4-3-3 ofensivo,Jürgen Klopp,21634,3:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/3219210
29,sáb 07/03/2020,09:30,Liverpool,Bournemouth,4-3-3 ofensivo,Jürgen Klopp,53323,2:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/3219128
30,dom 21/06/2020,15:00,Everton,Liverpool,4-3-3 ofensivo,Jürgen Klopp,x,0:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/3219142
31,qua 24/06/2020,16:15,Liverpool,Crystal Palace,4-3-3 ofensivo,Jürgen Klopp,x,4:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/3219161
32,qui 02/07/2020,16:15,Man City,Liverpool,4-3-3 ofensivo,Jürgen Klopp,x,4:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/3219180
33,dom 05/07/2020,12:30,Liverpool,Aston Villa,4-3-3 ofensivo,Jürgen Klopp,x,2:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/3219189
34,qua 08/07/2020,16:15,Brighton,Liverpool,4-3-3 ofensivo,Jürgen Klopp,x,1:3,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/3219206
35,sáb 11/07/2020,11:00,Liverpool,FC Burnley,4-3-3 ofensivo,Jürgen Klopp,x,1:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/3219124
36,qua 15/07/2020,16:15,Arsenal,Liverpool,4-3-3 ofensivo,Jürgen Klopp,x,2:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/3219152
37,qua 22/07/2020,16:15,Liverpool,Chelsea,4-3-3 ofensivo,Jürgen Klopp,x,5:3,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/3219163
38,dom 26/07/2020,12:00,Newcastle,Liverpool,4-3-3 ofensivo,Jürgen Klopp,x,1:3,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/3219102
