round,date,time,home_team,away_team,formation,coach,audience,result,match_link
1,dom 13/09/2020,10:00,West Brom,Leicester,5-4-1 plano,Slaven Bilic,,0:3,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/3420824
2,sáb 19/09/2020,08:30,Everton,West Brom,5-4-1 plano,Slaven Bilic,x,5:2,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/3420841
3,sáb 26/09/2020,13:30,West Brom,Chelsea,5-4-1 plano,Slaven Bilic,x,3:3,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/3421701
4,dom 04/10/2020,08:00,Southampton,West Brom,4-2-3-1,Slaven Bilic,x,2:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/3421711
5,seg 19/10/2020,13:30,West Brom,FC Burnley,4-3-3 ofensivo,Slaven Bilic,x,0:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/3421722
6,seg 26/10/2020,14:30,Brighton,West Brom,4-3-3 ofensivo,Slaven Bilic,x,1:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/3421725
7,seg 02/11/2020,14:30,Fulham,West Brom,4-1-4-1,Slaven Bilic,x,2:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/3421735
8,dom 08/11/2020,09:00,West Brom,Tottenham,3-5-2 plano,Slaven Bilic,x,0:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/3421751
9,sáb 21/11/2020,17:00,Man Utd,West Brom,5-4-1 plano,Slaven Bilic,x,1:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/3421758
10,sáb 28/11/2020,17:00,West Brom,Sheff Utd,3-4-1-2,Slaven Bilic,x,1:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/3421771
11,dom 06/12/2020,09:00,West Brom,Crystal Palace,3-4-1-2,Slaven Bilic,x,1:5,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/3421781
12,sáb 12/12/2020,12:00,Newcastle,West Brom,3-5-2 plano,Slaven Bilic,,2:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/3421790
13,ter 15/12/2020,17:00,Man City,West Brom,4-1-4-1,Slaven Bilic,x,1:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/3421802
14,dom 20/12/2020,16:15,West Brom,Aston Villa,4-1-4-1,Sam Allardyce,,0:3,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/3421812
15,dom 27/12/2020,13:30,Liverpool,West Brom,4-3-3 ofensivo,Sam Allardyce,2000,1:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/3421818
16,ter 29/12/2020,15:00,West Brom,Leeds,4-1-4-1,Sam Allardyce,x,0:5,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/3421832
17,sáb 02/01/2021,17:00,West Brom,Arsenal,4-1-4-1,Sam Allardyce,,0:4,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/3421842
18,ter 19/01/2021,15:00,West Ham,West Brom,4-2-3-1,Sam Allardyce,,2:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/3421849
19,sáb 16/01/2021,09:30,Wolves,West Brom,4-2-3-1,Sam Allardyce,,2:3,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/3421862
20,ter 26/01/2021,17:15,West Brom,Man City,4-2-3-1,Sam Allardyce,,0:5,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/3429687
21,sáb 30/01/2021,12:00,West Brom,Fulham,3-4-2-1,Sam Allardyce,,2:2,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/3429701
22,ter 02/02/2021,15:00,Sheff Utd,West Brom,4-4-1-1,Sam Allardyce,,2:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/3429708
23,dom 07/02/2021,09:00,Tottenham,West Brom,4-1-4-1,Sam Allardyce,,2:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/3429721
