round,date,time,home_team,away_team,formation,coach,audience,result,match_link
1,sáb 06/08/2022,08:30,Fulham,Liverpool,4-2-3-1,Marco Silva,22207,2:2,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/3837815
2,sáb 13/08/2022,11:00,Wolves,Fulham,4-2-3-1,Marco Silva,31178,0:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/3837824
3,sáb 20/08/2022,11:00,Fulham,Brentford,4-2-3-1,Marco Silva,21798,3:2,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/3837837
4,sáb 27/08/2022,13:30,Arsenal,Fulham,4-2-3-1,Marco Silva,60164,2:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/3837844
5,ter 30/08/2022,15:30,Fulham,Brighton,4-2-3-1,Marco Silva,22224,2:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/3837856
6,sáb 03/09/2022,11:00,Tottenham,Fulham,4-2-3-1,Marco Silva,61641,2:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/3837980
7,qui 12/01/2023,17:00,Fulham,Chelsea,4-2-3-1,Marco Silva,24460,2:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/3837991
8,sex 16/09/2022,16:00,Nott'm Forest,Fulham,4-2-3-1,Marco Silva,28654,2:3,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/3838005
9,sáb 01/10/2022,11:00,Fulham,Newcastle,4-2-3-1,Marco Silva,22913,1:4,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/3838011
10,dom 09/10/2022,10:00,West Ham,Fulham,4-2-3-1,Marco Silva,62454,3:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/3838027
11,sáb 15/10/2022,11:00,Fulham,Bournemouth,4-2-3-1,Marco Silva,22913,2:2,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/3838030
12,qui 20/10/2022,15:30,Fulham,Aston Villa,4-2-3-1,Marco Silva,23508,3:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/3838054
13,dom 23/10/2022,10:00,Leeds,Fulham,4-2-3-1,Marco Silva,36447,2:3,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/3838191
14,sáb 29/10/2022,13:30,Fulham,Everton,4-2-3-1,Marco Silva,23534,0:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/3838209
