round,date,time,home_team,away_team,formation,coach,audience,result,match_link
1,sáb 12/08/2023,11:00,Bournemouth,West Ham,4-2-3-1,Andoni Iraola,11000,1:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/4087926
2,sáb 19/08/2023,11:00,Liverpool,Bournemouth,4-2-3-1,Andoni Iraola,49699,3:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/4087937
3,sáb 26/08/2023,08:30,Bournemouth,Tottenham,4-2-3-1,Andoni Iraola,10567,0:2,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/4087944
4,sáb 02/09/2023,11:00,Brentford,Bournemouth,4-2-3-1,Andoni Iraola,16973,2:2,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/4087955
5,dom 17/09/2023,10:00,Bournemouth,Chelsea,4-2-3-1,Andoni Iraola,10421,0:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/4087964
6,dom 24/09/2023,10:00,Brighton,Bournemouth,4-2-3-1,Andoni Iraola,31617,3:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/4095064
7,sáb 30/09/2023,11:00,Bournemouth,Arsenal,4-2-3-1,Andoni Iraola,11193,0:4,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/4095136
8,sáb 07/10/2023,11:00,Everton,Bournemouth,4-2-3-1,Andoni Iraola,38815,3:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/4095150
9,sáb 21/10/2023,11:00,Bournemouth,Wolves,4-2-3-1,Andoni Iraola,11175,1:2,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/4095156
10,sáb 28/10/2023,11:00,Bournemouth,FC Burnley,4-2-3-1,Andoni Iraola,11152,2:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/4095166
11,sáb 04/11/2023,12:00,Man City,Bournemouth,5-4-1 plano,Andoni Iraola,53358,6:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/4095181
12,sáb 11/11/2023,14:30,Bournemouth,Newcastle,4-2-3-1,Andoni Iraola,11201,2:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/4095186
13,sáb 25/11/2023,12:00,Sheff Utd,Bournemouth,4-2-3-1,Andoni Iraola,30208,1:3,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/4095204
14,dom 03/12/2023,11:00,Bournemouth,Aston Villa,4-2-3-1,Andoni Iraola,11191,2:2,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/4095206
