round,date,time,home_team,away_team,formation,coach,audience,result,match_link
1,sáb 12/08/2023,13:30,Newcastle,Aston Villa,4-2-3-1,Unai Emery,52207,5:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/4087930
2,dom 20/08/2023,10:00,Aston Villa,Everton,4-2-3-1,Unai Emery,41694,4:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/4087934
3,dom 27/08/2023,10:00,FC Burnley,Aston Villa,3-4-2-1,Unai Emery,21591,1:3,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/4087948
4,dom 03/09/2023,10:00,Liverpool,Aston Villa,3-4-2-1,Unai Emery,50109,3:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/4087960
5,sáb 16/09/2023,11:00,Aston Villa,Crystal Palace,4-2-3-1,Unai Emery,40809,3:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/4087965
6,dom 24/09/2023,10:00,Chelsea,Aston Villa,4-2-3-1,Unai Emery,39700,0:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/4095066
7,sáb 30/09/2023,08:30,Aston Villa,Brighton,4-2-3-1,Unai Emery,40636,6:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/4095137
8,dom 08/10/2023,10:00,Wolves,Aston Villa,4-4-2,Unai Emery,31578,1:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/4095155
9,dom 22/10/2023,12:30,Aston Villa,West Ham,4-4-2 duplo 6,Unai Emery,41734,4:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/4095157
10,dom 29/10/2023,11:00,Aston Villa,Luton,4-4-2 duplo 6,Unai Emery,41785,3:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/4095168
11,dom 05/11/2023,11:00,Nott'm Forest,Aston Villa,4-4-2 duplo 6,Unai Emery,29313,2:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/4095183
12,dom 12/11/2023,11:00,Aston Villa,Fulham,4-4-2 duplo 6,Unai Emery,41608,3:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/4095188
13,dom 26/11/2023,11:00,Tottenham,Aston Villa,4-4-2,Unai Emery,61679,1:2,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/4095205
14,dom 03/12/2023,11:00,Bournemouth,Aston Villa,4-4-2,Unai Emery,11191,2:2,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/4095206
15,qua 06/12/2023,17:15,Aston Villa,Man City,4-4-1-1,Unai Emery,42321,1:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/4095216
16,sáb 09/12/2023,14:30,Aston Villa,Arsenal,4-4-1-1,Unai Emery,42000,1:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/4095226
17,dom 17/12/2023,11:00,Brentford,Aston Villa,3-5-2,Unai Emery,17034,1:2,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/4095238
18,sex 22/12/2023,17:00,Aston Villa,Sheff Utd,4-4-1-1,Unai Emery,41651,1:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/4095246
19,ter 26/12/2023,17:00,Man Utd,Aston Villa,4-2-3-1,Unai Emery,73574,3:2,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/4095263
20,sáb 30/12/2023,12:00,Aston Villa,FC Burnley,4-4-1-1,Unai Emery,41613,3:2,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/4095266
21,dom 14/01/2024,11:00,Everton,Aston Villa,4-4-2 duplo 6,Unai Emery,39284,0:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/4095282
22,ter 30/01/2024,17:15,Aston Villa,Newcastle,4-4-2,Unai Emery,42191,1:3,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/4095286
23,sáb 03/02/2024,14:30,Sheff Utd,Aston Villa,4-2-3-1,Unai Emery,28978,0:5,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/4095305
24,dom 11/02/2024,13:30,Aston Villa,Man Utd,4-2-3-1,Unai Emery,42185,1:2,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/4095310
25,sáb 17/02/2024,12:00,Fulham,Aston Villa,4-4-2,Unai Emery,24401,1:2,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/4095323
26,sáb 24/02/2024,12:00,Aston Villa,Nott'm Forest,4-4-2,Unai Emery,42422,4:2,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/4095332
27,sáb 02/03/2024,14:30,Luton,Aston Villa,4-4-2,Unai Emery,11594,2:3,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/4095344
28,dom 10/03/2024,10:00,Aston Villa,Tottenham,5-3-2,Unai Emery,42310,0:4,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/4095352
29,dom 17/03/2024,11:00,West Ham,Aston Villa,4-4-2,Unai Emery,62461,1:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/4095368
30,sáb 30/03/2024,14:30,Aston Villa,Wolves,4-4-2,Unai Emery,42640,2:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/4095371
31,qua 03/04/2024,16:15,Man City,Aston Villa,4-2-3-1,Unai Emery,53422,4:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/4095389
32,sáb 06/04/2024,11:00,Aston Villa,Brentford,4-4-1-1,Unai Emery,42118,3:3,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/4095390
33,dom 14/04/2024,12:30,Arsenal,Aston Villa,4-2-3-1,Unai Emery,60350,0:2,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/4095401
