round,date,time,home_team,away_team,formation,coach,audience,result,match_link
1,qui 20/08/2015,12:55,Al-Khaleej,Al-Fateh,3-4-2-1,Nacif Beyaoui,315,0:2,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2606883
2,sáb 29/08/2015,12:45,Al-Fateh,Al-Hilal,5-4-1 plano,Nacif Beyaoui,11688,1:2,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2606894
3,sáb 19/09/2015,12:20,Al-Fateh,Hajer,4-5-1,Nacif Beyaoui,3218,1:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2606900
4,sex 16/10/2015,12:15,Al-Raed,Al-Fateh,5-4-1,Nacif Beyaoui,3187,0:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2606904
5,sex 30/10/2015,12:40,Al-Fateh,Al-Shabab,4-2-3-1,Nacif Beyaoui,1312,0:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2606914
6,ter 03/11/2015,12:40,Al-Fateh,Al-Ittihad,4-2-3-1,Nacif Beyaoui,8113,1:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2606920
7,sex 25/12/2015,10:15,Al-Faisaly,Al-Fateh,4-2-3-1,Nacif Beyaoui,205,1:2,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2606966
8,sex 20/11/2015,12:30,Al-Fateh,Al-Wehda,4-5-1,Nacif Beyaoui,1807,2:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2606968
9,qui 26/11/2015,12:45,Al-Nassr,Al-Fateh,4-5-1,Nacif Beyaoui,3686,3:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2606989
10,sex 04/12/2015,12:30,Al-Fateh,Al-Taawoun,4-2-3-1,Nacif Beyaoui,2137,1:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2606998
11,sex 11/12/2015,12:30,Al-Qadsiah,Al-Fateh,4-5-1,Nacif Beyaoui,445,2:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2607006
12,ter 15/12/2015,15:00,Najran SC,Al-Fateh,4-4-2 losango,Nacif Beyaoui,202,1:3,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2607014
13,dom 20/12/2015,12:30,Al-Fateh,Al-Ahli,4-2-3-1,Nacif Beyaoui,4625,0:2,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2607020
14,sex 29/01/2016,13:00,Al-Fateh,Al-Khaleej,4-2-3-1,Nacif Beyaoui,516,0:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2655531
15,sex 05/02/2016,13:20,Al-Hilal,Al-Fateh,4-2-3-1,Nacif Beyaoui,11104,3:3,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2655535
16,sex 12/02/2016,13:10,Hajer,Al-Fateh,3-5-2 plano,Nacif Beyaoui,2225,1:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2655546
17,sáb 20/02/2016,13:15,Al-Fateh,Al-Raed,4-4-2 losango,Nacif Beyaoui,541,1:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2655553
18,qui 25/02/2016,12:30,Al-Shabab,Al-Fateh,4-2-3-1,Nacif Beyaoui,810,1:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2655556
19,sáb 05/03/2016,14:45,Al-Ittihad,Al-Fateh,4-2-3-1,Nacif Beyaoui,14184,0:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2656489
20,sáb 12/03/2016,12:25,Al-Fateh,Al-Faisaly,5-4-1 plano,Nacif Beyaoui,632,2:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2656496
21,sex 01/04/2016,15:00,Al-Wehda,Al-Fateh,4-2-3-1,Nacif Beyaoui,802,1:3,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2656636
22,sáb 09/04/2016,12:40,Al-Fateh,Al-Nassr,4-2-3-1,Nacif Beyaoui,1614,2:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2656645
23,dom 17/04/2016,15:10,Al-Taawoun,Al-Fateh,4-2-3-1,Nacif Beyaoui,6999,1:2,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2656655
24,seg 25/04/2016,12:45,Al-Fateh,Al-Qadsiah,4-2-3-1,Nacif Beyaoui,699,2:2,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2656922
25,dom 08/05/2016,15:00,Al-Fateh,Najran SC,4-2-3-1,Nacif Beyaoui,282,3:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2656932
26,sex 13/05/2016,15:00,Al-Ahli,Al-Fateh,5-4-1 plano,Nacif Beyaoui,60051,3:2,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2656938
