round,date,time,home_team,away_team,formation,coach,audience,result,match_link
1,sáb 24/08/2019,13:05,Al-Faisaly,Al-Fayha,4-4-1-1,Péricles Chamusca,3945,0:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/3224613
2,sex 30/08/2019,12:55,Al-Shabab,Al-Faisaly,4-2-3-1,Péricles Chamusca,3976,0:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/3224625
3,dom 15/09/2019,14:10,Al-Faisaly,Al-Fateh,4-2-3-1,Péricles Chamusca,4450,3:2,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/3224662
4,sáb 21/09/2019,12:15,Al-Ettifaq,Al-Faisaly,4-2-3-1,Péricles Chamusca,,0:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/3224668
5,sáb 28/09/2019,13:30,Al-Faisaly,Al-Adalah,4-5-1,Péricles Chamusca,,3:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/3262034
6,qua 06/11/2019,13:55,Al-Nassr,Al-Faisaly,4-5-1,Péricles Chamusca,,2:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/3252185
7,dom 20/10/2019,14:00,Al-Faisaly,Al-Hazem,4-3-3 defensivo,Péricles Chamusca,,1:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/3254900
8,sáb 26/10/2019,12:05,Al-Taawoun,Al-Faisaly,4-5-1,Péricles Chamusca,,2:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/3254907
9,sex 01/11/2019,12:15,Al-Faisaly,Damac FC,4-5-1,Péricles Chamusca,,2:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/3256124
10,sáb 23/11/2019,15:40,Al-Ahli,Al-Faisaly,4-5-1,Péricles Chamusca,,3:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/3256144
11,sáb 14/12/2019,15:45,Al-Ittihad,Al-Faisaly,4-5-1,Péricles Chamusca,,1:2,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/3256154
12,seg 20/01/2020,14:10,Al-Faisaly,Al-Hilal,4-1-4-1,Péricles Chamusca,,2:2,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/3256729
13,sex 27/12/2019,13:50,Al-Wehda,Al-Faisaly,4-4-2 losango,Péricles Chamusca,,1:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/3256735
14,sáb 11/01/2020,14:05,Al-Faisaly,Al-Raed,4-1-4-1,Péricles Chamusca,,0:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/3256750
15,sáb 25/01/2020,09:55,Abha,Al-Faisaly,4-5-1,Péricles Chamusca,,0:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/3256757
16,sáb 01/02/2020,14:15,Al-Fayha,Al-Faisaly,4-2-3-1,Péricles Chamusca,5317,2:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/3304517
17,sex 07/02/2020,14:20,Al-Faisaly,Al-Shabab,4-2-3-1,Péricles Chamusca,,2:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/3304690
18,sáb 15/02/2020,12:10,Al-Fateh,Al-Faisaly,4-2-3-1,Péricles Chamusca,,2:2,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/3305035
19,sex 21/02/2020,12:30,Al-Faisaly,Al-Ettifaq,4-2-3-1,Péricles Chamusca,,1:2,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/3305039
20,sex 28/02/2020,12:20,Al-Adalah,Al-Faisaly,4-5-1,Péricles Chamusca,,0:2,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/3305047
21,sáb 07/03/2020,14:40,Al-Faisaly,Al-Nassr,4-5-1,Péricles Chamusca,x,3:2,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/3307738
22,sex 13/03/2020,12:50,Al-Hazem,Al-Faisaly,4-1-4-1,Péricles Chamusca,x,2:2,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/3314289
23,ter 04/08/2020,14:45,Al-Faisaly,Al-Taawoun,4-2-3-1,Péricles Chamusca,,2:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/3314304
24,dom 09/08/2020,14:15,Damac FC,Al-Faisaly,4-5-1,Péricles Chamusca,,2:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/3314319
25,sáb 15/08/2020,13:10,Al-Faisaly,Al-Ahli,4-3-2-1,Péricles Chamusca,,2:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/3316148
26,qua 19/08/2020,13:05,Al-Faisaly,Al-Ittihad,4-5-1,Péricles Chamusca,,1:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/3316158
27,ter 25/08/2020,13:00,Al-Hilal,Al-Faisaly,4-5-1,Péricles Chamusca,,2:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/3328093
28,dom 30/08/2020,12:55,Al-Faisaly,Al-Wehda,4-3-2-1,Péricles Chamusca,,2:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/3328099
29,sex 04/09/2020,14:35,Al-Raed,Al-Faisaly,4-2-3-1,Péricles Chamusca,,2:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/3328106
30,qua 09/09/2020,15:35,Al-Faisaly,Abha,4-2-3-1,Péricles Chamusca,,2:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/3328114
