round,date,time,home_team,away_team,formation,coach,audience,result,match_link
1,sáb 24/08/2019,12:50,Al-Fateh,Al-Shabab,4-2-3-1,Jorge Almirón,5242,1:2,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/3224612
2,sex 30/08/2019,12:55,Al-Shabab,Al-Faisaly,4-1-4-1,Jorge Almirón,3976,0:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/3224625
3,sex 13/09/2019,14:35,Al-Nassr,Al-Shabab,4-1-4-1,Jorge Almirón,12224,0:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/3224657
4,qui 19/09/2019,13:50,Damac FC,Al-Shabab,3-5-2 plano,Jorge Almirón,,1:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/3224663
5,sex 27/09/2019,12:25,Al-Shabab,Al-Ittihad,4-2-3-1,Jorge Almirón,,1:2,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/3252140
6,sáb 05/10/2019,13:05,Al-Adalah,Al-Shabab,4-4-2 losango,Jorge Almirón,,0:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/3262035
7,sáb 19/10/2019,12:05,Al-Shabab,Al-Ettifaq,4-3-3 defensivo,Jorge Almirón,,2:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/3254896
8,qui 24/10/2019,13:55,Al-Shabab,Al-Wehda,4-3-3 defensivo,Jorge Almirón,,2:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/3254903
9,sáb 02/11/2019,12:00,Al-Taawoun,Al-Shabab,4-1-4-1,Jorge Almirón,,3:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/3256128
10,sex 22/11/2019,15:40,Al-Shabab,Al-Fayha,4-2-3-1,Jorge Almirón,,0:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/3256141
11,qui 12/12/2019,13:45,Al-Shabab,Al-Raed,4-2-3-1,Jorge Almirón,,3:4,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/3256153
12,qui 19/12/2019,11:40,Abha,Al-Shabab,4-1-4-1,Luis García,,2:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/3256726
13,sáb 28/12/2019,13:50,Al-Shabab,Al-Ahli,5-4-1,Luis García,,1:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/3256737
14,sex 10/01/2020,11:35,Al-Hazem,Al-Shabab,4-5-1,Luis García,,0:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/3256748
15,sáb 25/01/2020,12:10,Al-Shabab,Al-Hilal,4-5-1,Luis García,,0:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/3256758
16,sáb 01/02/2020,12:15,Al-Shabab,Al-Fateh,4-2-3-1,Luis García,8911,2:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/3304515
17,sex 07/02/2020,14:20,Al-Faisaly,Al-Shabab,4-5-1,Luis García,,2:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/3304690
18,sex 14/02/2020,12:25,Al-Shabab,Al-Nassr,4-4-1-1,Luis García,,2:4,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/3305032
19,qui 20/02/2020,14:30,Al-Shabab,Damac FC,4-2-3-1,Luis García,,3:2,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/3305036
20,sáb 29/02/2020,14:40,Al-Ittihad,Al-Shabab,4-2-3-1,Luis García,,5:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/3305051
21,qui 05/03/2020,14:40,Al-Shabab,Al-Adalah,4-2-3-1,Luis García,,4:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/3307733
22,qua 11/03/2020,12:25,Al-Ettifaq,Al-Shabab,4-2-3-1,Luis García,x,1:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/3314290
23,qua 05/08/2020,13:30,Al-Wehda,Al-Shabab,4-3-3 ofensivo,Pedro Caixinha,,0:3,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/3314307
24,seg 10/08/2020,13:05,Al-Shabab,Al-Taawoun,4-3-3 ofensivo,Pedro Caixinha,,1:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/3314322
25,sex 14/08/2020,13:10,Al-Fayha,Al-Shabab,3-4-3,Pedro Caixinha,,1:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/3316153
26,qua 19/08/2020,14:55,Al-Raed,Al-Shabab,4-4-1-1,Pedro Caixinha,,2:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/3316159
27,seg 24/08/2020,13:00,Al-Shabab,Abha,4-2-3-1,Pedro Caixinha,,1:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/3328096
28,dom 30/08/2020,14:40,Al-Ahli,Al-Shabab,4-2-3-1,Pedro Caixinha,,1:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/3328105
29,sex 04/09/2020,14:35,Al-Shabab,Al-Hazem,5-4-1 plano,Pedro Caixinha,,1:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/3328112
30,qua 09/09/2020,15:35,Al-Hilal,Al-Shabab,4-2-3-1,Pedro Caixinha,,2:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/3328116
