round,date,time,home_team,away_team,formation,coach,audience,result,match_link
1,sáb 17/10/2020,13:00,Al-Shabab,Abha,4-5-1,Abderrazek Chebbi,,1:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/3460333
2,qui 22/10/2020,10:40,Abha,Al-Hilal,4-3-1-2,Abderrazek Chebbi,,1:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/3460341
3,sáb 31/10/2020,14:15,Abha,Al-Ettifaq,4-2-3-1,Abderrazek Chebbi,,3:2,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/3460354
4,sex 06/11/2020,13:45,Al-Batin,Abha,4-2-3-1,Abderrazek Chebbi,,3:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/3460367
5,seg 23/11/2020,11:15,Al-Raed,Abha,4-5-1,Abderrazek Chebbi,,2:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/3461055
6,qui 03/12/2020,11:35,Abha,Al-Nassr,4-3-3 defensivo,Abderrazek Chebbi,,2:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/3461064
7,seg 07/12/2020,13:30,Al-Fateh,Abha,4-2-3-1,Abderrazek Chebbi,,1:3,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/3483085
8,sáb 12/12/2020,11:35,Abha,Al-Taawoun,4-2-3-1,Abderrazek Chebbi,,0:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/3483095
9,ter 22/12/2020,11:40,Damac FC,Abha,4-2-3-1,Abderrazek Chebbi,,2:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/3483103
10,dom 27/12/2020,11:40,Abha,Al-Wehda,4-3-3 defensivo,Abderrazek Chebbi,,0:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/3483111
11,sex 01/01/2021,11:50,Al-Ain,Abha,4-2-3-1,Abderrazek Chebbi,,2:4,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/3483114
12,qui 07/01/2021,11:50,Abha,Al-Faisaly,4-5-1,Abderrazek Chebbi,,1:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/3483127
13,qui 14/01/2021,16:10,Al-Ittihad,Abha,4-5-1 plano,Abderrazek Chebbi,,0:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/3483129
14,ter 19/01/2021,16:10,Al-Ahli,Abha,4-3-3 defensivo,Abderrazek Chebbi,,3:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/3483139
15,dom 24/01/2021,11:55,Abha,Al-Qadsiah,4-3-3 defensivo,Abderrazek Chebbi,,2:2,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/3483150
16,sáb 30/01/2021,12:00,Abha,Al-Shabab,4-3-3 defensivo,Abderrazek Chebbi,,2:3,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/3508605
17,qui 04/02/2021,14:15,Al-Hilal,Abha,4-2-3-1,Abderrazek Chebbi,,2:3,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/3508613
18,qui 11/02/2021,14:05,Al-Ettifaq,Abha,4-5-1,Abderrazek Chebbi,,4:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/3514215
19,qua 17/02/2021,12:05,Abha,Al-Batin,4-3-3 defensivo,Abderrazek Chebbi,,1:2,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/3514208
20,seg 22/02/2021,12:10,Abha,Al-Raed,4-3-3 defensivo,Abderrazek Chebbi,,0:3,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/3514223
21,dom 28/02/2021,16:30,Al-Nassr,Abha,4-1-4-1,Abderrazek Chebbi,,2:2,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/3514238
22,sex 05/03/2021,12:10,Abha,Al-Fateh,4-2-3-1,Abderrazek Chebbi,,2:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/3528635
23,qua 10/03/2021,14:50,Al-Taawoun,Abha,4-5-1 plano,Abderrazek Chebbi,,1:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/3528644
24,dom 21/03/2021,12:05,Abha,Damac FC,4-3-3 ofensivo,Abderrazek Chebbi,,3:4,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/3531788
25,seg 15/03/2021,15:10,Al-Wehda,Abha,4-1-4-1,Abderrazek Chebbi,,1:4,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/3535858
26,qui 15/04/2021,16:50,Abha,Al-Ain,4-3-3 ofensivo,Abderrazek Chebbi,,1:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/3545678
27,sex 14/05/2021,14:15,Al-Faisaly,Abha,4-3-3 defensivo,Abderrazek Chebbi,,2:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/3545690
28,qui 20/05/2021,14:15,Abha,Al-Ittihad,4-3-3 ofensivo,Abderrazek Chebbi,,1:2,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/3554461
29,ter 25/05/2021,15:00,Abha,Al-Ahli,4-3-3 ofensivo,Abderrazek Chebbi,,1:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/3554473
30,dom 30/05/2021,15:00,Al-Qadsiah,Abha,4-2-3-1,Abderrazek Chebbi,,1:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/3554488
