position,team,played,won,drawn,lost,goal_ratio,goal_difference,points,team_url
1,Al-Hilal SFC,34,31,3,0,101:23,78,96,https://www.transfermarkt.com.br/al-hilal-riad/spielplan/verein/1114/saison_id/2023
2,Al-Nassr FC,34,26,4,4,100:42,58,82,https://www.transfermarkt.com.br/al-nasr-riad/spielplan/verein/18544/saison_id/2023
3,Al-Ahli SFC,34,19,8,7,67:35,32,65,https://www.transfermarkt.com.br/al-ahli-dschidda/spielplan/verein/18487/saison_id/2023
4,Al-Taawoun FC,34,16,11,7,51:35,16,59,https://www.transfermarkt.com.br/al-taawoun-fc/spielplan/verein/28844/saison_id/2023
5,Al-Ittihad Club,34,16,6,12,63:54,9,54,https://www.transfermarkt.com.br/al-ittihad-dschidda/spielplan/verein/8023/saison_id/2023
6,Al-Ettifaq FC,34,12,12,10,43:34,9,48,https://www.transfermarkt.com.br/al-ettifaq/spielplan/verein/7732/saison_id/2023
7,Al-Fateh SC,34,12,9,13,57:55,2,45,https://www.transfermarkt.com.br/al-fateh/spielplan/verein/27221/saison_id/2023
8,Al-Shabab FC,34,12,8,14,45:42,3,44,https://www.transfermarkt.com.br/al-shabab-riad/spielplan/verein/9840/saison_id/2023
9,Al-Fayha FC,34,11,11,12,44:52,-8,44,https://www.transfermarkt.com.br/al-fayha-fc/spielplan/verein/50531/saison_id/2023
10,Damac FC,34,10,11,13,44:45,-1,41,https://www.transfermarkt.com.br/damac-fc/spielplan/verein/50532/saison_id/2023
11,Al-Raed SFC,34,9,10,15,41:49,-8,37,https://www.transfermarkt.com.br/al-raed/spielplan/verein/22381/saison_id/2023
12,Al-Khaleej FC,34,9,10,15,36:47,-11,37,https://www.transfermarkt.com.br/al-khaleej/spielplan/verein/6070/saison_id/2023
13,Al-Wehda FC,34,10,6,18,45:60,-15,36,https://www.transfermarkt.com.br/al-wahda-mekka/spielplan/verein/17209/saison_id/2023
14,Al-Riyadh SC,34,8,11,15,33:57,-24,35,https://www.transfermarkt.com.br/al-riad/spielplan/verein/31008/saison_id/2023
15,Al-Okhdood Club,34,9,6,19,33:52,-19,33,https://www.transfermarkt.com.br/al-akhdoud-club/spielplan/verein/71665/saison_id/2023
16,Abha Club,34,9,5,20,38:87,-49,32,https://www.transfermarkt.com.br/abha-club/spielplan/verein/40039/saison_id/2023
17,Al-Tai FC,34,8,7,19,34:64,-30,31,https://www.transfermarkt.com.br/al-taee/spielplan/verein/40079/saison_id/2023
18,Al-Hazem SC,34,4,12,18,34:76,-42,24,https://www.transfermarkt.com.br/al-hazm/spielplan/verein/9131/saison_id/2023
