round,date,time,home_team,away_team,formation,coach,audience,result,match_link
1,sáb 24/08/2024,15:00,Al-Okhdood,Al-Hilal,4-2-3-1,Jorge Jesus,5099,0:3,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/4404843
2,qua 28/08/2024,15:00,Al-Hilal,Damac FC,4-2-3-1,Jorge Jesus,8989,3:2,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/4404849
3,sáb 14/09/2024,15:00,Al-Riyadh,Al-Hilal,4-2-3-1,Jorge Jesus,8914,0:3,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/4404856
4,sáb 21/09/2024,15:00,Al-Hilal,Al-Ittihad,4-4-2 duplo 6,Jorge Jesus,15666,3:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/4404869
5,sáb 28/09/2024,15:00,Al-Kholood,Al-Hilal,4-4-2 duplo 6,Jorge Jesus,9937,2:4,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/4404877
6,sáb 05/10/2024,15:00,Al-Ahli,Al-Hilal,4-2-3-1,Jorge Jesus,53036,1:2,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/4404885
7,sex 18/10/2024,12:00,Al-Hilal,Al-Fayha,4-4-2 duplo 6,Jorge Jesus,15570,3:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/4404908
8,sáb 26/10/2024,15:00,Al-Hilal,Al-Taawoun,4-4-2 duplo 6,Jorge Jesus,16321,2:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/4404896
9,sex 01/11/2024,15:00,Al-Nassr,Al-Hilal,4-2-3-1,Jorge Jesus,25490,1:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/4404903
10,sex 08/11/2024,11:45,Al-Hilal,Al-Ettifaq,4-2-3-1,Jorge Jesus,17296,3:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/4410749
11,sáb 23/11/2024,14:00,Al-Khaleej,Al-Hilal,4-2-3-1,Jorge Jesus,17150,3:2,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/4410855
12,sáb 30/11/2024,14:00,Al-Shabab,Al-Hilal,4-2-3-1,Jorge Jesus,11507,1:2,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/4410957
13,sáb 07/12/2024,14:00,Al-Hilal,Al-Raed,4-2-3-1,Jorge Jesus,16203,3:2,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/4410797
14,sáb 11/01/2025,10:45,Al-Orobah,Al-Hilal,4-2-3-1,Jorge Jesus,8300,0:5,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/4410931
15,qua 15/01/2025,20:00,Al-Hilal,Al-Fateh,4-2-3-1,Jorge Jesus,24962,9:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/4410827
16,ter 21/01/2025,14:00,Al-Hilal,Al-Wehda,4-2-3-1,Jorge Jesus,20044,4:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/4410842
17,seg 27/01/2025,14:00,Al-Qadsiah,Al-Hilal,3-4-3 plano,Jorge Jesus,17402,2:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/4410912
18,sex 31/01/2025,12:15,Al-Hilal,Al-Okhdood,4-2-3-1,Jorge Jesus,22326,4:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/4410863
19,sáb 08/02/2025,14:00,Damac FC,Al-Hilal,4-2-3-1,Jorge Jesus,15066,2:2,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/4410812
20,sex 14/02/2025,14:00,Al-Hilal,Al-Riyadh,4-2-3-1,Jorge Jesus,21137,1:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/4410822
21,sáb 22/02/2025,15:15,Al-Ittihad,Al-Hilal,4-2-3-1,Jorge Jesus,52870,4:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/4410938
22,ter 25/02/2025,12:30,Al-Hilal,Al-Kholood,4-2-3-1,Jorge Jesus,17781,5:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/4410945
23,sex 28/02/2025,16:00,Al-Hilal,Al-Ahli,4-2-3-1,Jorge Jesus,18138,2:3,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/4410882
24,sex 07/03/2025,16:00,Al-Fayha,Al-Hilal,4-2-3-1,Jorge Jesus,4133,0:2,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/4410803
25,sáb 15/03/2025,16:00,Al-Taawoun,Al-Hilal,4-2-3-1,Jorge Jesus,16478,0:2,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/4410851
26,sex 04/04/2025,15:00,Al-Hilal,Al-Nassr,4-2-3-1,Jorge Jesus,25187,1:3,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/4410755
27,sex 11/04/2025,15:00,Al-Ettifaq,Al-Hilal,3-4-2-1,Jorge Jesus,10237,1:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/4410764
28,qui 17/04/2025,12:50,Al-Hilal,Al-Khaleej,4-2-3-1,Jorge Jesus,13638,3:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/4410774
29,seg 21/04/2025,12:55,Al-Hilal,Al-Shabab,4-2-3-1,Jorge Jesus,18769,2:2,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/4410781
30,qua 07/05/2025,13:15,Al-Raed,Al-Hilal,4-1-4-1,Mohammad Al-Shalhoub,7387,3:5,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/4410893
31,seg 12/05/2025,13:05,Al-Hilal,Al-Orobah,4-1-4-1,Mohammad Al-Shalhoub,9118,4:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/4410877
32,sex 16/05/2025,12:55,Al-Fateh,Al-Hilal,4-1-4-1,Mohammad Al-Shalhoub,8318,3:4,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/4410902
33,qua 21/05/2025,15:00,Al-Wehda,Al-Hilal,4-2-3-1,Mohammad Al-Shalhoub,9493,1:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/4410922
34,seg 26/05/2025,15:00,Al-Hilal,Al-Qadsiah,4-2-3-1,Mohammad Al-Shalhoub,20883,2:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/4410967
