round,date,time,home_team,away_team,formation,coach,audience,result,match_link
1,dom 01/09/1991,11:00,Napoli,Atalanta,?,Bruno Giorgi,41322,1:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2216365
2,dom 08/09/1991,11:00,Atalanta,Ascoli,?,Bruno Giorgi,12202,1:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2216373
3,dom 15/09/1991,11:00,Lazio,Atalanta,?,Bruno Giorgi,35189,1:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2216379
4,dom 22/09/1991,11:00,Atalanta,Juventus,?,Bruno Giorgi,30827,0:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2216387
5,dom 29/09/1991,11:00,Cremonese,Atalanta,?,Bruno Giorgi,8763,1:2,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2216401
6,dom 06/10/1991,11:00,Atalanta,Milan,?,Bruno Giorgi,27934,0:2,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2216412
7,dom 20/10/1991,11:30,Sampdoria,Atalanta,?,Bruno Giorgi,28737,0:2,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2216416
8,dom 27/10/1991,11:30,Atalanta,Cagliari,?,Bruno Giorgi,,0:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2216428
9,dom 03/11/1991,11:30,Genoa,Atalanta,?,Bruno Giorgi,,0:2,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2216435
10,dom 17/11/1991,11:30,Atalanta,Florenz,?,Bruno Giorgi,,1:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2216446
11,dom 24/11/1991,11:30,Foggia,Atalanta,?,Bruno Giorgi,,2:3,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2216454
12,dom 01/12/1991,11:30,Atalanta,AC Parma,3-5-2,Bruno Giorgi,24849,0:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2216462
13,dom 08/12/1991,11:30,Roma,Atalanta,?,Bruno Giorgi,,1:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2216469
14,dom 15/12/1991,11:30,Bari,Atalanta,?,Bruno Giorgi,,0:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2216482
15,dom 05/01/1992,11:30,Atalanta,Verona,?,Bruno Giorgi,,0:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2216492
16,dom 12/01/1992,11:30,Torino,Atalanta,?,Bruno Giorgi,,1:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2216497
17,dom 19/01/1992,11:30,Atalanta,Inter,?,Bruno Giorgi,,1:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2216509
18,dom 26/01/1992,11:30,Atalanta,Napoli,?,Bruno Giorgi,,1:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2216516
19,dom 02/02/1992,11:30,Ascoli,Atalanta,?,Bruno Giorgi,,1:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2216528
20,dom 09/02/1992,11:00,Atalanta,Lazio,?,Bruno Giorgi,,1:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2216537
21,dom 16/02/1992,11:00,Juventus,Atalanta,?,Bruno Giorgi,44621,2:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2216542
22,dom 23/02/1992,11:00,Atalanta,Cremonese,?,Bruno Giorgi,,1:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2216554
23,dom 01/03/1992,11:00,Milan,Atalanta,?,Bruno Giorgi,72408,3:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2216561
24,dom 08/03/1992,11:00,Atalanta,Sampdoria,?,Bruno Giorgi,22393,0:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2216571
25,dom 15/03/1992,11:00,Cagliari,Atalanta,?,Bruno Giorgi,,0:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2216582
26,dom 29/03/1992,11:00,Atalanta,Genoa,?,Bruno Giorgi,,1:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2216589
27,dom 05/04/1992,11:00,Florenz,Atalanta,?,Bruno Giorgi,,3:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2216600
28,dom 12/04/1992,11:00,Atalanta,Foggia,?,Bruno Giorgi,,4:4,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2216606
29,sáb 18/04/1992,11:00,AC Parma,Atalanta,3-1-4-2,Bruno Giorgi,21074,0:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2216611
30,dom 26/04/1992,11:00,Atalanta,Roma,?,Bruno Giorgi,,0:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2216627
31,dom 03/05/1992,11:00,Atalanta,Bari,?,Bruno Giorgi,,2:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2216636
32,dom 10/05/1992,11:00,Verona,Atalanta,?,Bruno Giorgi,,1:3,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2216643
33,dom 17/05/1992,11:00,Atalanta,Torino,?,Bruno Giorgi,,1:3,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2216653
34,dom 24/05/1992,11:00,Inter,Atalanta,?,Bruno Giorgi,,0:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2216661
