round,date,time,home_team,away_team,formation,coach,audience,result,match_link
1,dom 06/09/1992,11:00,Napoli,Brescia,?,Claudio Ranieri,58421,0:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2216051
2,dom 13/09/1992,11:00,Foggia,Napoli,?,Claudio Ranieri,,2:4,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2216067
3,dom 20/09/1992,11:00,Napoli,Inter,?,Claudio Ranieri,75988,1:2,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2216069
4,dom 27/09/1992,11:00,Ancona,Napoli,?,Claudio Ranieri,,1:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2216081
5,dom 04/10/1992,11:00,Napoli,Juventus,4-3-1-2,Claudio Ranieri,78100,2:3,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2216088
6,dom 18/10/1992,11:00,Udinese,Napoli,?,Claudio Ranieri,,2:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2216099
7,dom 25/10/1992,11:30,Napoli,Roma,?,Claudio Ranieri,,2:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2216107
8,dom 01/11/1992,11:30,Atalanta,Napoli,?,Claudio Ranieri,,3:2,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2216120
9,dom 08/11/1992,11:30,Napoli,Milan,5-3-2,Claudio Ranieri,73366,1:5,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2216123
10,dom 22/11/1992,11:30,Sampdoria,Napoli,3-5-2,Ottavio Bianchi,30960,3:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2216137
11,dom 29/11/1992,11:30,Napoli,Florenz,?,Ottavio Bianchi,52040,4:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2216141
12,dom 06/12/1992,11:30,Cagliari,Napoli,?,Ottavio Bianchi,25017,1:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2216155
13,dom 13/12/1992,11:30,Genoa,Napoli,?,Ottavio Bianchi,,2:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2216167
14,dom 03/01/1993,11:30,Napoli,Pescara,?,Ottavio Bianchi,,2:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2216168
15,dom 10/01/1993,11:30,Torino,Napoli,?,Ottavio Bianchi,,0:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2216181
16,dom 17/01/1993,11:30,Napoli,Lazio,?,Ottavio Bianchi,,3:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2216186
17,dom 24/01/1993,11:30,AC Parma,Napoli,5-3-2,Ottavio Bianchi,25112,1:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2216195
18,dom 31/01/1993,10:30,Brescia,Napoli,?,Ottavio Bianchi,,2:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2216270
19,dom 07/02/1993,10:30,Napoli,Foggia,?,Ottavio Bianchi,,2:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2216204
20,dom 14/02/1993,11:00,Inter,Napoli,?,Ottavio Bianchi,,0:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2216219
21,dom 28/02/1993,11:00,Napoli,Ancona,?,Ottavio Bianchi,51328,0:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2216222
22,dom 07/03/1993,11:00,Juventus,Napoli,4-3-1-2,Ottavio Bianchi,44757,4:3,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2216238
23,dom 14/03/1993,11:00,Napoli,Udinese,?,Ottavio Bianchi,,3:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2216240
24,dom 21/03/1993,11:00,Roma,Napoli,?,Ottavio Bianchi,,1:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2216253
25,dom 28/03/1993,11:00,Napoli,Atalanta,?,Ottavio Bianchi,,1:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2216258
26,sáb 03/04/1993,11:00,Milan,Napoli,5-3-2,Ottavio Bianchi,76406,2:2,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2216277
27,sáb 10/04/1993,11:00,Napoli,Sampdoria,3-5-2,Ottavio Bianchi,64042,1:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2216285
28,dom 18/04/1993,11:00,Florenz,Napoli,?,Ottavio Bianchi,,1:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2216302
29,dom 25/04/1993,11:00,Napoli,Cagliari,?,Ottavio Bianchi,,1:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2216303
30,dom 09/05/1993,11:00,Napoli,Genoa,?,Ottavio Bianchi,,2:2,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2216312
31,dom 16/05/1993,11:00,Pescara,Napoli,?,Ottavio Bianchi,,3:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2216326
32,dom 23/05/1993,11:00,Napoli,Torino,?,Ottavio Bianchi,,1:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2216330
33,dom 30/05/1993,11:30,Lazio,Napoli,?,Ottavio Bianchi,,4:3,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2216340
34,dom 06/06/1993,11:30,Napoli,AC Parma,5-3-2,Ottavio Bianchi,42911,1:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2216348
