round,date,time,home_team,away_team,formation,coach,audience,result,match_link
1,dom 08/09/1996,11:00,Cagliari,Atalanta,?,Roberto Clagluna,15000,2:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2214833
2,dom 15/09/1996,11:00,Juventus,Cagliari,4-4-2 losango,Roberto Clagluna,35170,2:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2214841
3,dom 22/09/1996,11:00,Cagliari,Udinese,?,Roberto Clagluna,15000,1:2,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2214851
4,dom 29/09/1996,11:00,Verona,Cagliari,?,Roberto Clagluna,15394,2:2,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2214855
5,dom 13/10/1996,11:30,Cagliari,AC Parma,4-4-2,Gregorio Pérez,14597,0:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2214870
6,dom 20/10/1996,11:30,Lazio,Cagliari,5-4-1,Roberto Clagluna,35215,2:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2214877
7,dom 27/10/1996,11:30,Vicenza,Cagliari,5-3-2,Carlo Mazzone,15667,2:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2214883
8,dom 03/11/1996,11:30,Cagliari,Perugia,?,Carlo Mazzone,13483,2:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2214897
9,dom 17/11/1996,11:30,Roma,Cagliari,?,Carlo Mazzone,47181,3:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2214901
10,dom 24/11/1996,11:30,Cagliari,Napoli,4-5-1,Carlo Mazzone,13938,1:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2214914
11,sáb 30/11/1996,11:30,Inter,Cagliari,5-3-2,Carlo Mazzone,43272,2:2,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2214922
12,dom 08/12/1996,11:30,Cagliari,Reggiana,4-3-1-2,Carlo Mazzone,12060,1:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2214930
13,dom 15/12/1996,11:30,Cagliari,Bologna,3-4-1-2,Carlo Mazzone,14054,2:2,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2214941
14,dom 22/12/1996,17:30,Florenz,Cagliari,4-3-1-2,Carlo Mazzone,34473,2:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2214949
15,dom 05/01/1997,11:30,Cagliari,Piacenza,4-4-2,Carlo Mazzone,12888,1:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2214959
16,dom 12/01/1997,17:30,Sampdoria,Cagliari,5-4-1 plano,Carlo Mazzone,23328,4:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2214963
17,dom 19/01/1997,11:30,Cagliari,Milan,4-4-2,Carlo Mazzone,21713,1:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2214977
18,dom 26/01/1997,11:30,Atalanta,Cagliari,4-5-1,Carlo Mazzone,18538,4:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2214986
19,dom 02/02/1997,11:30,Cagliari,Juventus,5-4-1 plano,Carlo Mazzone,30652,0:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2214995
20,dom 16/02/1997,11:00,Udinese,Cagliari,5-4-1 plano,Carlo Mazzone,11495,1:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2215001
21,dom 23/02/1997,11:00,Cagliari,Verona,4-4-2,Carlo Mazzone,12859,3:2,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2215013
22,dom 02/03/1997,11:00,AC Parma,Cagliari,5-4-1 plano,Carlo Mazzone,21003,3:2,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2215024
23,dom 09/03/1997,11:00,Cagliari,Lazio,4-4-2,Carlo Mazzone,14698,0:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2215031
24,dom 16/03/1997,11:00,Cagliari,Vicenza,4-4-2,Carlo Mazzone,15053,2:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2215039
