round,date,time,home_team,away_team,formation,coach,audience,result,match_link
1,qua 06/11/2002,17:30,Piacenza,Juventus,4-3-1-2,Marcello Lippi,12763,0:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/1022403
2,dom 15/09/2002,10:00,Juventus,Atalanta,4-3-1-2,Marcello Lippi,38315,3:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/1022417
3,sáb 21/09/2002,15:30,Empoli,Juventus,4-3-3 defensivo,Marcello Lippi,18700,0:2,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/1022421
4,sáb 28/09/2002,13:00,Juventus,AC Parma,4-3-1-2,Marcello Lippi,38993,2:2,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/1022429
5,dom 06/10/2002,10:00,Juventus,Como,4-3-2-1,Marcello Lippi,37112,1:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/1022441
6,sáb 19/10/2002,15:30,Inter,Juventus,4-3-1-2,Marcello Lippi,76166,1:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/1022448
7,sáb 26/10/2002,15:30,Juventus,Udinese,4-3-1-2,Marcello Lippi,35168,1:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/1022457
8,dom 03/11/2002,12:00,Modena,Juventus,3-4-1-2,Marcello Lippi,16227,0:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/1022469
9,dom 10/11/2002,17:30,Juventus,Milan,4-3-1-2,Marcello Lippi,57762,2:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/1022482
10,dom 17/11/2002,17:30,Torino,Juventus,4-3-1-2,Marcello Lippi,32947,0:4,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/1022491
11,sáb 23/11/2002,15:00,Juventus,Bologna,3-4-1-2,Marcello Lippi,36544,1:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/1022492
12,dom 01/12/2002,17:30,Roma,Juventus,4-4-2 duplo 6,Marcello Lippi,74313,2:2,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/1022508
13,dom 08/12/2002,12:15,Brescia,Juventus,4-3-1-2,Marcello Lippi,19714,2:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/1022514
14,dom 15/12/2002,17:30,Juventus,Lazio,4-3-1-2,Marcello Lippi,38014,1:2,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/1022527
15,dom 22/12/2002,12:00,Perugia,Juventus,4-4-2,Marcello Lippi,19739,0:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/1022531
16,dom 12/01/2003,12:00,Juventus,Reggina,4-4-2,Marcello Lippi,35735,5:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/1022539
17,dom 19/01/2003,17:30,Chievo Verona,Juventus,4-4-2,Marcello Lippi,34544,1:4,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/1022554
18,dom 26/01/2003,12:00,Juventus,Piacenza,4-4-2,Marcello Lippi,35539,2:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/1022558
19,dom 02/02/2003,12:00,Atalanta,Juventus,4-4-2,Marcello Lippi,23647,1:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/1022570
20,sáb 08/02/2003,17:30,Juventus,Empoli,4-4-2 duplo 6,Marcello Lippi,34595,1:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/1022574
21,dom 16/02/2003,11:00,AC Parma,Juventus,4-2-3-1,Marcello Lippi,23451,1:2,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/1022586
22,sáb 22/02/2003,14:00,Como,Juventus,4-2-3-1,Marcello Lippi,8377,1:3,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/1022591
23,dom 02/03/2003,16:30,Juventus,Inter,4-2-3-1,Marcello Lippi,57393,3:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/1022608
24,dom 09/03/2003,11:00,Udinese,Juventus,4-3-3 ofensivo,Marcello Lippi,26694,0:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/1022614
25,sáb 15/03/2003,16:30,Juventus,Modena,4-3-1-2,Marcello Lippi,36921,3:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/1022619
26,sáb 22/03/2003,16:30,Milan,Juventus,4-4-1-1,Marcello Lippi,78671,2:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/1022628
27,sáb 05/04/2003,13:00,Juventus,Torino,4-4-2 duplo 6,Marcello Lippi,19826,2:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/1022636
28,dom 13/04/2003,15:30,Bologna,Juventus,4-3-1-2,Marcello Lippi,36178,2:2,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/1022653
29,sáb 19/04/2003,15:30,Juventus,Roma,4-3-1-2,Marcello Lippi,42592,2:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/1022662
30,dom 27/04/2003,10:00,Juventus,Brescia,3-4-1-2,Marcello Lippi,40881,2:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/1022667
31,sáb 03/05/2003,10:00,Lazio,Juventus,4-4-2 duplo 6,Marcello Lippi,60146,0:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/1022679
32,sáb 10/05/2003,10:00,Juventus,Perugia,4-4-2 duplo 6,Marcello Lippi,51299,2:2,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/1022684
33,sáb 17/05/2003,10:00,Reggina,Juventus,3-4-1-2,Marcello Lippi,26182,2:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/1022690
34,sáb 24/05/2003,10:00,Juventus,Chievo Verona,4-4-2 duplo 6,Marcello Lippi,39417,4:3,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/1022702
