position,team,played,won,drawn,lost,goal_ratio,goal_difference,points,team_url
1,Inter de Milão,38,23,7,8,68:30,38,76,https://www.transfermarkt.com.br/inter-mailand/spielplan/verein/46/saison_id/2005
2,AS Roma,38,19,12,7,70:42,28,69,https://www.transfermarkt.com.br/as-rom/spielplan/verein/12/saison_id/2005
3,AC Milan,38,28,4,6,85:31,54,58,https://www.transfermarkt.com.br/ac-mailand/spielplan/verein/5/saison_id/2005
4,Chievo Verona,38,13,15,10,54:49,5,54,https://www.transfermarkt.com.br/chievo-verona/spielplan/verein/862/saison_id/2005
5,US Palermo,38,13,13,12,50:52,-2,52,https://www.transfermarkt.com.br/palermo-fc/spielplan/verein/458/saison_id/2005
6,AS Livorno,38,12,13,13,37:44,-7,49,https://www.transfermarkt.com.br/as-livorno/spielplan/verein/1210/saison_id/2005
7,Parma FC,38,12,9,17,46:60,-14,45,https://www.transfermarkt.com.br/parma-calcio-1913/spielplan/verein/130/saison_id/2005
8,FC Empoli,38,13,6,19,47:61,-14,45,https://www.transfermarkt.com.br/fc-empoli/spielplan/verein/749/saison_id/2005
9,ACF Fiorentina,38,22,8,8,66:41,25,44,https://www.transfermarkt.com.br/ac-florenz/spielplan/verein/430/saison_id/2005
10,Ascoli Calcio 1898,38,9,16,13,43:53,-10,43,https://www.transfermarkt.com.br/ascoli-calcio/spielplan/verein/408/saison_id/2005
11,Udinese Calcio,38,11,10,17,40:54,-14,43,https://www.transfermarkt.com.br/udinese-calcio/spielplan/verein/410/saison_id/2005
12,UC Sampdoria,38,10,11,17,47:51,-4,41,https://www.transfermarkt.com.br/sampdoria-genua/spielplan/verein/1038/saison_id/2005
13,Reggina Calcio,38,11,8,19,39:65,-26,41,https://www.transfermarkt.com.br/reggina-1914/spielplan/verein/1386/saison_id/2005
14,Cagliari Calcio,38,8,15,15,42:55,-13,39,https://www.transfermarkt.com.br/cagliari-calcio/spielplan/verein/1390/saison_id/2005
15,AC Siena,38,9,12,17,42:60,-18,39,https://www.transfermarkt.com.br/acn-siena-1904/spielplan/verein/1387/saison_id/2005
16,SS Lazio,38,16,14,8,57:47,10,32,https://www.transfermarkt.com.br/lazio-rom/spielplan/verein/398/saison_id/2005
17,FC Messina Peloro,38,6,13,19,33:59,-26,31,https://www.transfermarkt.com.br/acr-messina/spielplan/verein/1104/saison_id/2005
18,US Lecce,38,7,8,23,30:57,-27,29,https://www.transfermarkt.com.br/us-lecce/spielplan/verein/1005/saison_id/2005
19,Treviso FBC 1993,38,3,12,23,24:56,-32,21,https://www.transfermarkt.com.br/acd-treviso/spielplan/verein/2251/saison_id/2005
20,Juventus FC,38,27,10,1,71:24,47,0,https://www.transfermarkt.com.br/juventus-turin/spielplan/verein/506/saison_id/2005
