round,date,time,home_team,away_team,formation,coach,audience,result,match_link
1,dom 28/08/2005,10:00,AC Siena,Cagliari,4-3-1-2,Luigi De Canio,6935,2:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/35506
2,sáb 10/09/2005,15:30,Milan,AC Siena,4-3-1-2,Luigi De Canio,56468,3:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/37212
3,dom 18/09/2005,10:00,AC Siena,US Palermo,3-4-1-2,Luigi De Canio,7492,1:2,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/40920
4,qua 21/09/2005,15:30,Ascoli,AC Siena,3-5-2 plano,Luigi De Canio,15674,1:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/40924
5,dom 25/09/2005,10:00,AC Siena,Messina Peloro,3-4-1-2,Luigi De Canio,6892,4:2,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/40939
6,dom 02/10/2005,10:00,Roma,AC Siena,3-4-2-1,Luigi De Canio,33508,2:3,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/40952
7,sáb 15/10/2005,13:00,AC Siena,Udinese,3-4-1-2,Luigi De Canio,13602,2:3,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/40963
8,dom 23/10/2005,11:00,Sampdoria,AC Siena,4-3-1-2,Luigi De Canio,20925,3:3,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/40971
9,qua 26/10/2005,16:30,AC Siena,Fiorentina,3-5-2 plano,Luigi De Canio,15007,0:2,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/40983
10,dom 30/10/2005,12:00,Treviso,AC Siena,3-4-1-2,Luigi De Canio,4385,0:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/40992
11,dom 06/11/2005,12:00,AC Siena,Chievo Verona,3-4-1-2,Luigi De Canio,6760,0:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/41003
12,dom 20/11/2005,12:00,Lecce,AC Siena,3-5-2 plano,Luigi De Canio,11729,3:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/41007
13,dom 27/11/2005,12:00,AC Siena,Reggina,4-4-2 duplo 6,Luigi De Canio,6601,0:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/41023
14,dom 04/12/2005,12:00,Lazio,AC Siena,3-5-2 plano,Luigi De Canio,22577,3:2,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/41027
15,sáb 10/12/2005,15:00,AC Siena,Empoli,3-4-1-2,Luigi De Canio,6812,1:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/49368
16,dom 18/12/2005,12:00,AC Siena,Parma,4-3-1-2,Luigi De Canio,6535,2:2,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/49366
17,qua 21/12/2005,17:30,Juventus,AC Siena,4-4-1-1,Luigi De Canio,25587,2:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/41057
18,dom 08/01/2006,12:00,AC Siena,Inter,4-3-1-2,Luigi De Canio,12137,0:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/41072
19,dom 15/01/2006,12:00,AS Livorno,AC Siena,4-3-2-1,Luigi De Canio,12706,2:2,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/41079
20,qua 18/01/2006,17:30,Cagliari,AC Siena,4-4-2 duplo 6,Luigi De Canio,10000,1:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/41084
21,dom 22/01/2006,12:00,AC Siena,Milan,4-4-2 duplo 6,Luigi De Canio,10693,0:3,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/41102
22,sáb 28/01/2006,15:00,US Palermo,AC Siena,3-4-1-2,Luigi De Canio,26428,1:3,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/41110
23,sáb 04/02/2006,15:00,AC Siena,Ascoli,4-3-1-2,Luigi De Canio,6991,1:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/41123
24,qua 08/02/2006,17:30,Messina Peloro,AC Siena,4-3-1-2,Luigi De Canio,17779,0:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/41129
25,dom 12/02/2006,12:00,AC Siena,Roma,4-3-2-1,Luigi De Canio,12313,0:2,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/41142
26,dom 19/02/2006,11:00,Udinese,AC Siena,4-3-1-2,Luigi De Canio,15523,1:2,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/41153
27,dom 26/02/2006,11:00,AC Siena,Sampdoria,4-3-1-2,Luigi De Canio,7409,1:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/41163
28,dom 05/03/2006,11:00,Fiorentina,AC Siena,4-3-1-2,Luigi De Canio,31196,2:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/41165
29,sáb 11/03/2006,14:00,AC Siena,Treviso,4-3-1-2,Luigi De Canio,7473,1:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/41183
30,dom 19/03/2006,11:00,Chievo Verona,AC Siena,4-3-1-2,Luigi De Canio,5343,4:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/41184
31,dom 26/03/2006,10:00,AC Siena,Lecce,4-3-1-2,Luigi De Canio,6472,1:2,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/41203
32,dom 02/04/2006,10:00,Reggina,AC Siena,4-3-1-2,Luigi De Canio,9630,1:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/41210
33,dom 09/04/2006,10:00,AC Siena,Lazio,3-5-2 plano,Luigi De Canio,9525,2:3,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/41223
34,sáb 15/04/2006,10:00,Empoli,AC Siena,4-3-1-2,Luigi De Canio,5735,2:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/41226
35,sáb 22/04/2006,10:00,Parma,AC Siena,3-5-2 plano,Luigi De Canio,13080,1:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/41241
36,dom 30/04/2006,10:00,AC Siena,Juventus,4-3-1-2,Luigi De Canio,15373,0:3,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/41252
37,dom 07/05/2006,10:00,Inter,AC Siena,4-1-4-1,Luigi De Canio,47732,1:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/41256
38,dom 14/05/2006,10:00,AC Siena,AS Livorno,3-5-2 plano,Luigi De Canio,7150,0:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/41272
