round,date,time,home_team,away_team,formation,coach,audience,result,match_link
1,dom 10/09/2006,10:00,US Palermo,Reggina,3-5-2 plano,Walter Mazzarri,24509,4:3,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/65178
2,sáb 16/09/2006,13:00,Reggina,Cagliari,3-5-2 plano,Walter Mazzarri,9634,2:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/65188
3,qua 20/09/2006,15:30,Messina Peloro,Reggina,3-5-2 plano,Walter Mazzarri,19625,2:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/65199
4,dom 24/09/2006,10:00,Reggina,Torino,3-4-1-2,Walter Mazzarri,9559,1:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/65208
5,sáb 30/09/2006,13:00,Atalanta,Reggina,3-4-2-1,Walter Mazzarri,11227,1:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/65211
6,dom 15/10/2006,10:00,Reggina,Roma,3-4-2-1,Walter Mazzarri,18000,1:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/65227
7,dom 22/10/2006,10:00,Fiorentina,Reggina,3-5-2,Walter Mazzarri,28900,3:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/65234
8,qua 25/10/2006,15:30,Reggina,Parma,3-4-1-2,Walter Mazzarri,14800,3:2,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/65246
9,dom 29/10/2006,11:00,Lazio,Reggina,3-5-2 plano,Walter Mazzarri,18315,0:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/65255
10,sáb 04/11/2006,16:30,Reggina,Catania Calcio,3-5-2 plano,Walter Mazzarri,14000,0:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/65267
11,dom 12/11/2006,12:00,AC Siena,Reggina,3-5-2 plano,Walter Mazzarri,6219,0:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/65280
12,dom 19/11/2006,12:00,Inter,Reggina,3-4-2-1,Walter Mazzarri,43814,1:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/65285
13,dom 26/11/2006,12:00,Reggina,AS Livorno,3-5-2,Walter Mazzarri,10500,2:2,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/65298
14,dom 03/12/2006,12:00,Udinese,Reggina,3-4-1-2,Walter Mazzarri,14454,1:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/65310
15,sáb 09/12/2006,14:00,Reggina,Ascoli,3-4-2-1,Walter Mazzarri,9000,2:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/65319
16,dom 17/12/2006,12:00,Reggina,Sampdoria,3-4-2-1,Walter Mazzarri,10738,0:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/65327
17,qua 20/12/2006,17:30,Chievo Verona,Reggina,3-4-2-1,Walter Mazzarri,4596,3:2,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/65333
18,sáb 23/12/2006,12:00,Reggina,Empoli,3-4-2-1,Walter Mazzarri,10440,4:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/65347
19,dom 14/01/2007,12:00,Milan,Reggina,3-5-2,Walter Mazzarri,43996,3:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/65357
20,sáb 20/01/2007,17:30,Reggina,US Palermo,3-5-2 plano,Walter Mazzarri,11745,0:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/65368
21,dom 28/01/2007,12:00,Cagliari,Reggina,3-4-2-1,Walter Mazzarri,9500,0:2,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/65372
22,qua 18/04/2007,12:30,Reggina,Messina Peloro,3-4-2-1,Walter Mazzarri,11100,3:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/65388
23,dom 11/02/2007,12:00,Torino,Reggina,3-5-2 plano,Walter Mazzarri,19000,1:2,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/65400
24,dom 18/02/2007,12:00,Reggina,Atalanta,3-5-2 plano,Walter Mazzarri,13700,1:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/65409
25,dom 25/02/2007,11:00,Roma,Reggina,3-4-2-1,Walter Mazzarri,35600,3:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/65419
26,qua 28/02/2007,11:00,Reggina,Fiorentina,4-3-2-1,Walter Mazzarri,11200,1:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/65423
27,dom 04/03/2007,11:00,Parma,Reggina,3-5-2 plano,Walter Mazzarri,14500,2:2,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/65439
28,dom 11/03/2007,12:00,Reggina,Lazio,3-4-2-1,Walter Mazzarri,18500,2:3,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/65446
29,dom 18/03/2007,11:00,Catania Calcio,Reggina,4-3-2-1,Walter Mazzarri,x,1:4,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/65453
30,sáb 31/03/2007,13:00,Reggina,AC Siena,3-4-2-1,Walter Mazzarri,17200,0:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/65467
31,sáb 07/04/2007,10:00,Reggina,Inter,3-4-2-1,Walter Mazzarri,21100,0:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/65478
32,dom 15/04/2007,10:00,AS Livorno,Reggina,3-5-2 plano,Walter Mazzarri,8400,1:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/65485
33,dom 22/04/2007,10:00,Reggina,Udinese,3-4-2-1,Walter Mazzarri,18200,1:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/65498
34,dom 29/04/2007,10:00,Ascoli,Reggina,3-4-2-1,Walter Mazzarri,5896,2:3,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/65501
35,dom 06/05/2007,10:00,Sampdoria,Reggina,4-4-2 losango,Walter Mazzarri,11200,0:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/65519
36,dom 13/05/2007,10:00,Reggina,Chievo Verona,3-4-2-1,Walter Mazzarri,17900,1:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/65527
37,dom 20/05/2007,10:00,Empoli,Reggina,3-4-1-2,Walter Mazzarri,9700,3:3,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/65534
38,dom 27/05/2007,10:00,Reggina,Milan,3-5-2 plano,Walter Mazzarri,22400,2:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/65547
