round,date,time,home_team,away_team,formation,coach,audience,result,match_link
1,dom 23/08/2015,15:45,Fiorentina,Milan,4-3-1-2,Siniša Mihajlović,33904,2:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2603975
2,sáb 29/08/2015,15:45,Milan,Empoli,4-3-1-2,Siniša Mihajlović,34382,2:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2603989
3,dom 13/09/2015,15:45,Inter,Milan,4-3-1-2,Siniša Mihajlović,79154,1:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2603998
4,sáb 19/09/2015,15:45,Milan,US Palermo,4-3-1-2,Siniša Mihajlović,33689,3:2,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2604009
5,ter 22/09/2015,15:45,Udinese,Milan,4-3-1-2,Siniša Mihajlović,16500,2:3,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2604022
6,dom 27/09/2015,07:30,Genoa,Milan,4-3-1-2,Siniša Mihajlović,21294,1:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2604027
7,dom 04/10/2015,15:45,Milan,Napoli,4-3-1-2,Siniša Mihajlović,50488,0:4,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2604040
8,sáb 17/10/2015,15:45,Torino,Milan,4-3-3 ofensivo,Siniša Mihajlović,25477,1:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2604053
9,dom 25/10/2015,12:00,Milan,Sassuolo,4-3-3 ofensivo,Siniša Mihajlović,37568,2:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2604060
10,qua 28/10/2015,17:45,Milan,Chievo Verona,4-3-3 ofensivo,Siniša Mihajlović,25523,1:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2604068
11,dom 01/11/2015,17:45,Lazio,Milan,4-3-3 ofensivo,Siniša Mihajlović,28020,1:3,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2604081
12,sáb 07/11/2015,17:45,Milan,Atalanta,4-3-3 ofensivo,Siniša Mihajlović,33912,0:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2604087
13,sáb 21/11/2015,17:45,Juventus,Milan,4-3-3 ofensivo,Siniša Mihajlović,40841,1:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2604101
14,sáb 28/11/2015,17:45,Milan,Sampdoria,4-4-2,Siniša Mihajlović,32368,4:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2604108
15,dom 06/12/2015,17:45,Carpi,Milan,4-4-2 duplo 6,Siniša Mihajlović,12150,0:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2604116
16,dom 13/12/2015,12:00,Milan,Verona,4-4-2 duplo 6,Siniša Mihajlović,27497,1:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2604129
17,dom 20/12/2015,15:00,Frosinone,Milan,4-4-2 duplo 6,Siniša Mihajlović,7931,2:4,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2604138
18,qua 06/01/2016,12:00,Milan,Bologna,4-4-2 duplo 6,Siniša Mihajlović,31381,0:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2604149
19,sáb 09/01/2016,17:45,Roma,Milan,4-4-2 duplo 6,Siniša Mihajlović,34777,1:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2604161
20,dom 17/01/2016,17:45,Milan,Fiorentina,4-4-2,Siniša Mihajlović,28374,2:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2604165
21,sáb 23/01/2016,17:45,Empoli,Milan,4-4-2 duplo 6,Siniša Mihajlović,11499,2:2,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2604179
22,dom 31/01/2016,17:45,Milan,Inter,4-4-2 duplo 6,Siniša Mihajlović,77043,3:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2604188
23,qua 03/02/2016,17:45,US Palermo,Milan,4-4-2 duplo 6,Siniša Mihajlović,17605,0:2,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2604199
24,dom 07/02/2016,12:00,Milan,Udinese,4-4-2,Siniša Mihajlović,27656,1:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2604212
25,dom 14/02/2016,09:30,Milan,Genoa,4-4-2 duplo 6,Siniša Mihajlović,30547,2:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2604217
26,seg 22/02/2016,17:00,Napoli,Milan,4-4-2 duplo 6,Siniša Mihajlović,54758,1:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2604230
27,sáb 27/02/2016,16:45,Milan,Torino,4-4-2 duplo 6,Siniša Mihajlović,33748,1:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2604243
28,dom 06/03/2016,11:00,Sassuolo,Milan,4-4-2,Siniša Mihajlović,17697,2:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2604250
29,dom 13/03/2016,08:30,Chievo Verona,Milan,4-2-3-1,Siniša Mihajlović,15000,0:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2604258
30,dom 20/03/2016,16:45,Milan,Lazio,4-4-2 duplo 6,Siniša Mihajlović,33481,1:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2604273
31,dom 03/04/2016,10:00,Atalanta,Milan,4-4-2 duplo 6,Siniša Mihajlović,18652,2:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2604277
32,sáb 09/04/2016,15:45,Milan,Juventus,4-4-2,Siniša Mihajlović,75393,1:2,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2604291
33,dom 17/04/2016,15:45,Sampdoria,Milan,4-3-1-2,Cristian Brocchi,21615,0:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2604298
34,qui 21/04/2016,15:45,Milan,Carpi,4-3-1-2,Cristian Brocchi,28801,0:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2604306
35,seg 25/04/2016,12:00,Verona,Milan,4-3-1-2,Cristian Brocchi,18738,2:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2604319
36,dom 01/05/2016,10:00,Milan,Frosinone,4-3-1-2,Cristian Brocchi,35936,3:3,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2604328
37,sáb 07/05/2016,15:45,Bologna,Milan,4-3-1-2,Cristian Brocchi,22544,0:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2604339
38,sáb 14/05/2016,15:45,Milan,Roma,4-3-1-2,Cristian Brocchi,41571,1:3,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2604351
