round,date,time,home_team,away_team,formation,coach,audience,result,match_link
1,dom 22/08/2021,13:30,Bologna,Salernitana,5-3-2,Fabrizio Castori,8375,3:2,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/3614505
2,dom 29/08/2021,15:45,Salernitana,Roma,5-4-1 plano,Fabrizio Castori,12500,0:4,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/3614538
3,dom 12/09/2021,10:00,Torino,Salernitana,5-3-2,Fabrizio Castori,9082,4:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/3614550
4,sáb 18/09/2021,15:45,Salernitana,Atalanta,3-4-1-2,Fabrizio Castori,11949,0:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/3614557
5,qua 22/09/2021,13:30,Salernitana,Verona,3-4-1-2,Fabrizio Castori,9561,2:2,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/3614567
6,dom 26/09/2021,10:00,Sassuolo,Salernitana,4-3-1-2,Fabrizio Castori,5177,1:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/3614579
7,sáb 02/10/2021,10:00,Salernitana,Genoa,4-3-1-2,Fabrizio Castori,10077,1:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/3614589
8,sáb 16/10/2021,10:00,Spezia Calcio,Salernitana,4-3-1-2,Fabrizio Castori,6023,2:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/3614600
9,sáb 23/10/2021,10:00,Salernitana,Empoli,3-4-1-2,Stefano Colantuono,11142,2:4,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/3614612
10,ter 26/10/2021,13:30,Venezia,Salernitana,4-3-1-2,Stefano Colantuono,5029,1:2,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/3614625
11,dom 31/10/2021,14:00,Salernitana,Napoli,4-3-1-2,Stefano Colantuono,17000,0:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/3614634
12,dom 07/11/2021,14:00,Lazio,Salernitana,4-3-1-2,Stefano Colantuono,25000,3:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/3615119
13,dom 21/11/2021,11:00,Salernitana,Sampdoria,4-3-1-2,Stefano Colantuono,11849,0:2,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/3614664
14,sex 26/11/2021,16:45,Cagliari,Salernitana,4-3-1-2,Stefano Colantuono,9700,1:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/3614667
15,ter 30/11/2021,16:45,Salernitana,Juventus,4-4-2,Stefano Colantuono,19500,0:2,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/3614684
16,sáb 04/12/2021,11:00,Milan,Salernitana,5-3-2,Stefano Colantuono,43609,2:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/3614692
17,sáb 11/12/2021,11:00,Fiorentina,Salernitana,4-3-1-2,Stefano Colantuono,18579,4:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/3614698
18,sex 17/12/2021,16:45,Salernitana,Inter,5-3-2,Stefano Colantuono,19000,0:5,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/3614714
19,qua 20/04/2022,13:45,Udinese,Salernitana,3-5-2 plano,Davide Nicola,12362,0:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/3751557
20,qui 05/05/2022,13:00,Salernitana,Venezia,3-5-2 plano,Davide Nicola,22200,2:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/3614524
21,dom 09/01/2022,16:45,Verona,Salernitana,5-3-2,Stefano Colantuono,3106,1:2,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/3614731
