round,date,time,home_team,away_team,formation,coach,audience,result,match_link
1,seg 21/08/2023,15:45,Bologna,Milan,4-2-3-1,Thiago Motta,30203,0:2,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/4103472
2,dom 27/08/2023,13:30,Juventus,Bologna,4-2-3-1,Thiago Motta,36107,1:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/4103486
3,sáb 02/09/2023,13:30,Bologna,Cagliari,4-2-3-1,Thiago Motta,22818,2:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/4103493
4,seg 18/09/2023,15:45,Verona,Bologna,4-2-3-1,Thiago Motta,18863,0:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/4103506
5,dom 24/09/2023,13:00,Bologna,Napoli,4-2-3-1,Thiago Motta,26621,0:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/4103513
6,qui 28/09/2023,13:30,Monza,Bologna,4-2-3-1,Thiago Motta,8930,0:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/4103530
7,dom 01/10/2023,07:30,Bologna,Empoli,4-2-3-1,Thiago Motta,23689,3:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/4103533
8,sáb 07/10/2023,10:00,Inter,Bologna,4-3-3 ofensivo,Thiago Motta,74072,2:2,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/4103546
9,dom 22/10/2023,10:00,Bologna,Frosinone,4-2-3-1,Thiago Motta,26729,2:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/4103553
10,sáb 28/10/2023,10:00,Sassuolo,Bologna,4-2-3-1,Thiago Motta,16931,1:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/4103571
11,sex 03/11/2023,16:45,Bologna,Lazio,4-2-3-1,Thiago Motta,24178,1:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/4103573
12,dom 12/11/2023,11:00,Fiorentina,Bologna,4-2-3-1,Thiago Motta,29754,2:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/4103582
13,seg 27/11/2023,16:45,Bologna,Torino,4-1-4-1,Thiago Motta,20705,2:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/4103593
14,dom 03/12/2023,08:30,Lecce,Bologna,4-3-3 ofensivo,Thiago Motta,24326,1:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/4103605
15,dom 10/12/2023,14:00,Salernitana,Bologna,4-2-3-1,Thiago Motta,16700,1:2,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/4103621
16,dom 17/12/2023,14:00,Bologna,Roma,4-2-3-1,Thiago Motta,25579,2:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/4103623
17,sáb 23/12/2023,11:00,Bologna,Atalanta,4-3-3 ofensivo,Thiago Motta,28082,1:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/4103632
18,sáb 30/12/2023,11:00,Udinese,Bologna,4-1-4-1,Thiago Motta,24786,3:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/4103651
19,sex 05/01/2024,16:45,Bologna,Genoa,4-2-3-1,Thiago Motta,25095,1:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/4103652
20,dom 14/01/2024,11:00,Cagliari,Bologna,4-3-3 ofensivo,Thiago Motta,15980,2:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/4103663
21,qua 14/02/2024,15:00,Bologna,Fiorentina,4-1-4-1,Thiago Motta,25684,2:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/4103672
22,sáb 27/01/2024,16:45,Milan,Bologna,4-2-3-1,Thiago Motta,71334,2:2,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/4103689
23,sáb 03/02/2024,16:45,Bologna,Sassuolo,4-3-3 ofensivo,Thiago Motta,20932,4:2,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/4103693
24,dom 11/02/2024,11:00,Bologna,Lecce,4-1-4-1,Thiago Motta,24658,4:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/4103702
25,dom 18/02/2024,08:30,Lazio,Bologna,4-1-4-1,Thiago Motta,43500,1:2,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/4103717
26,sex 23/02/2024,16:45,Bologna,Verona,4-1-4-1,Thiago Motta,26033,2:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/4103722
27,dom 03/03/2024,14:00,Atalanta,Bologna,4-1-4-1,Thiago Motta,14931,1:2,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/4103732
28,sáb 09/03/2024,14:00,Bologna,Inter,4-1-4-1,Thiago Motta,30204,0:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/4103742
