round,date,time,home_team,away_team,formation,coach,audience,result,match_link
1,ter 23/09/2003,15:30,Genoa,Treviso,?,Luigi De Canio,16846,0:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2315286
2,qua 08/10/2003,15:30,Ascoli,Genoa,?,Luigi De Canio,5352,0:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2315795
3,qui 11/09/2003,15:30,Genoa,AS Livorno,4-4-2,Roberto Donadoni,20090,0:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2316230
4,dom 14/09/2003,15:30,Torino,Genoa,?,Roberto Donadoni,16729,1:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2317503
5,sáb 20/09/2003,15:30,Genoa,Atalanta,3-5-2 plano,Roberto Donadoni,19099,0:3,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2317603
6,sáb 27/09/2003,15:30,Ternana,Genoa,?,Luigi De Canio,7087,1:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2318310
7,sáb 04/10/2003,15:30,Genoa,Bari,?,Luigi De Canio,16487,2:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2318637
8,dom 12/10/2003,10:00,AC Venezia 1907,Genoa,?,Luigi De Canio,3868,2:2,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2318697
9,qua 15/10/2003,15:30,Genoa,UC AlbinoLeffe,?,Luigi De Canio,16756,4:2,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2322625
10,sáb 18/10/2003,15:30,Genoa,Pescara,?,Luigi De Canio,17007,1:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2348515
11,sáb 25/10/2003,16:30,Verona,Genoa,?,Luigi De Canio,10100,3:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2351331
12,dom 02/11/2003,12:00,Genoa,Catania Calcio,?,Luigi De Canio,17934,1:3,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2366533
13,dom 09/11/2003,12:00,Vicenza,Genoa,?,Luigi De Canio,7351,0:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2366653
14,dom 16/11/2003,12:00,Fiorentina,Genoa,4-4-2,Luigi De Canio,29094,2:2,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2367471
15,qui 20/11/2003,17:30,Genoa,Triestina,?,Luigi De Canio,15818,2:2,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2367630
16,dom 23/11/2003,12:00,Salernitana,Genoa,4-4-2,Luigi De Canio,12219,0:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2367643
17,sex 28/11/2003,17:30,Genoa,US Palermo,4-4-2,Luigi De Canio,18027,1:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2367673
18,dom 07/12/2003,12:00,Messina Peloro,Genoa,4-4-2,Luigi De Canio,10917,4:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2367983
19,dom 14/12/2003,12:00,Genoa,Avellino,?,Luigi De Canio,15323,1:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2368043
20,dom 21/12/2003,12:00,Cagliari,Genoa,4-4-2,Luigi De Canio,18000,2:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2369683
