round,date,time,home_team,away_team,formation,coach,audience,result,match_link
1,sáb 11/09/2004,15:30,Salernitana,Treviso,4-4-1-1,Giancarlo D'Astoli,12666,0:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/30269
2,sáb 18/09/2004,15:30,Treviso,Arezzo,3-4-1-2,Giancarlo D'Astoli,2424,1:4,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/30281
3,ter 21/09/2004,15:30,Perugia,Treviso,4-5-1 plano,Giancarlo D'Astoli,5500,2:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/30289
4,sáb 25/09/2004,15:30,Treviso,Pescara,?,Giancarlo D'Astoli,2032,1:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/30303
5,sáb 02/10/2004,15:30,Ascoli,Treviso,4-4-1-1,Giancarlo D'Astoli,4984,2:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/30307
6,qua 06/10/2004,15:30,Triestina,Treviso,?,Giancarlo D'Astoli,6318,1:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/30325
7,dom 10/10/2004,10:00,Treviso,Ternana,?,Giancarlo D'Astoli,1750,3:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/30337
8,seg 18/10/2004,15:45,Genoa,Treviso,?,Giancarlo D'Astoli,19063,2:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/30342
9,sáb 23/10/2004,15:30,Treviso,UC AlbinoLeffe,?,Giancarlo D'Astoli,2041,0:2,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/30358
10,ter 26/10/2004,15:30,Vicenza,Treviso,4-4-1-1,Francesco Feltrin,6691,0:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/30371
11,sáb 30/10/2004,15:30,Treviso,Piacenza,4-4-1-1,Giuseppe Pillon,2227,1:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/30380
12,dom 07/11/2004,12:00,Cesena,Treviso,4-4-1-1,Giuseppe Pillon,5903,3:4,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/30384
13,dom 14/11/2004,12:00,Treviso,Verona,?,Giuseppe Pillon,4909,1:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/30403
14,dom 21/11/2004,12:00,AC Venezia 1907,Treviso,?,Giuseppe Pillon,3287,1:2,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/30413
15,dom 28/11/2004,12:00,Treviso,Bari,?,Giuseppe Pillon,3574,2:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/30425
16,dom 05/12/2004,12:00,Treviso,Catania Calcio,4-4-1-1,Giuseppe Pillon,3001,0:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/30434
17,seg 13/12/2004,17:45,FC Crotone,Treviso,?,Giuseppe Pillon,4000,2:2,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/30439
18,dom 19/12/2004,12:00,Treviso,Catanzaro,?,Giuseppe Pillon,3166,2:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/30457
19,qui 06/01/2005,12:00,Empoli,Treviso,4-4-1-1,Giuseppe Pillon,3317,0:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/30462
20,dom 09/01/2005,12:00,Treviso,Modena,5-3-2,Giuseppe Pillon,4292,1:2,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/30479
21,dom 16/01/2005,12:00,Torino,Treviso,?,Giuseppe Pillon,7252,1:2,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/30490
22,dom 23/01/2005,12:00,Treviso,Salernitana,4-4-2 duplo 6,Giuseppe Pillon,3388,1:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/30500
23,dom 30/01/2005,12:00,Arezzo,Treviso,?,Giuseppe Pillon,3750,0:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/30512
24,qui 03/02/2005,17:30,Treviso,Perugia,?,Giuseppe Pillon,4663,1:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/30520
25,dom 06/02/2005,12:00,Pescara,Treviso,5-4-1 plano,Giuseppe Pillon,1840,1:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/30534
26,seg 14/02/2005,17:45,Treviso,Ascoli,4-4-1-1,Giuseppe Pillon,3800,1:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/30538
