round,date,time,home_team,away_team,formation,coach,audience,result,match_link
1,qua 14/09/2005,13:30,Piacenza,Catania Calcio,4-4-2 duplo 6,Giuseppe Iachini,4200,1:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/35563
2,dom 04/09/2005,10:00,FC Crotone,Piacenza,4-4-2,Giuseppe Iachini,4500,4:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/37175
3,qua 05/10/2005,15:30,Piacenza,Atalanta,?,Giuseppe Iachini,4823,3:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/37189
4,sáb 10/09/2005,11:00,Vicenza,Piacenza,4-4-2 duplo 6,Giuseppe Iachini,4662,1:3,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/37202
5,sáb 17/09/2005,11:00,Piacenza,Mantova,4-4-1-1,Giuseppe Iachini,4500,1:3,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/46056
6,ter 20/09/2005,15:30,Bologna,Piacenza,4-4-2 duplo 6,Giuseppe Iachini,6500,2:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/46061
7,seg 26/09/2005,15:45,Piacenza,UC AlbinoLeffe,?,Giuseppe Iachini,3700,1:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/46080
8,sáb 01/10/2005,11:00,Bari,Piacenza,?,Giuseppe Iachini,4559,1:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/46084
9,seg 10/10/2005,15:45,Piacenza,Rimini,?,Giuseppe Iachini,4502,0:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/46102
10,sáb 15/10/2005,11:00,Piacenza,Cesena,?,Giuseppe Iachini,5526,2:2,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/46108
11,sáb 22/10/2005,12:00,Torino,Piacenza,?,Giuseppe Iachini,23060,2:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/49186
12,qua 26/10/2005,16:30,Piacenza,Ternana,4-4-1-1,Giuseppe Iachini,4331,4:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/49194
13,seg 31/10/2005,17:45,Cremonese,Piacenza,?,Giuseppe Iachini,8000,1:2,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/49209
14,sáb 05/11/2005,13:00,Piacenza,Avellino,?,Giuseppe Iachini,4613,2:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/49218
15,dom 13/11/2005,13:00,Brescia,Piacenza,4-4-2,Giuseppe Iachini,4130,1:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/49620
16,sáb 19/11/2005,13:00,Piacenza,Pescara,4-4-2,Giuseppe Iachini,4634,0:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/49636
17,sáb 26/11/2005,13:00,Catanzaro,Piacenza,?,Giuseppe Iachini,4749,1:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/49642
18,sáb 03/12/2005,13:00,Piacenza,Verona,4-4-2,Giuseppe Iachini,4749,0:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2315262
19,sáb 10/12/2005,13:00,Triestina,Piacenza,4-4-2 duplo 6,Giuseppe Iachini,4500,2:2,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/51592
20,sáb 17/12/2005,13:00,Piacenza,Modena,4-4-2,Giuseppe Iachini,4903,0:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/51603
21,qua 21/12/2005,17:30,Arezzo,Piacenza,4-4-2,Giuseppe Iachini,3334,1:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/51617
22,sáb 07/01/2006,13:00,Catania Calcio,Piacenza,?,Giuseppe Iachini,15439,3:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/51626
23,sáb 14/01/2006,13:00,Piacenza,FC Crotone,?,Giuseppe Iachini,4000,3:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/51632
24,ter 17/01/2006,17:30,Atalanta,Piacenza,?,Giuseppe Iachini,8132,2:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/51644
25,sáb 21/01/2006,13:00,Piacenza,Vicenza,4-4-1-1,Giuseppe Iachini,4088,2:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/51656
26,sáb 28/01/2006,13:00,Mantova,Piacenza,4-4-2,Giuseppe Iachini,6316,1:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/51664
27,sáb 04/02/2006,13:00,Piacenza,Bologna,4-4-1-1,Giuseppe Iachini,4909,2:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/51681
28,ter 07/02/2006,17:30,UC AlbinoLeffe,Piacenza,5-3-2,Giuseppe Iachini,1000,2:2,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/51687
29,sáb 11/02/2006,13:00,Piacenza,Bari,?,Giuseppe Iachini,4461,1:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/51698
30,sáb 25/02/2006,12:00,Rimini,Piacenza,?,Giuseppe Iachini,4159,0:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/51711
31,sáb 04/03/2006,12:00,Cesena,Piacenza,?,Giuseppe Iachini,7652,2:2,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/51721
32,sáb 11/03/2006,12:00,Piacenza,Torino,?,Giuseppe Iachini,5695,1:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/51733
33,sáb 18/03/2006,12:00,Ternana,Piacenza,4-4-1-1,Giuseppe Iachini,3578,2:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/51741
34,seg 27/03/2006,15:45,Piacenza,Cremonese,?,Giuseppe Iachini,7545,2:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/51751
35,sáb 01/04/2006,11:00,Avellino,Piacenza,?,Giuseppe Iachini,8497,1:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/51762
36,sáb 08/04/2006,11:00,Piacenza,Brescia,3-5-2 plano,Giuseppe Iachini,4832,3:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/51781
37,dom 23/04/2006,10:00,Pescara,Piacenza,?,Giuseppe Iachini,2534,1:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/51789
38,sáb 29/04/2006,10:00,Piacenza,Catanzaro,?,Giuseppe Iachini,4110,2:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/51802
39,sáb 06/05/2006,10:00,Verona,Piacenza,?,Giuseppe Iachini,9090,1:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/51815
40,sáb 13/05/2006,10:00,Piacenza,Triestina,?,Giuseppe Iachini,4074,3:4,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/51823
41,dom 21/05/2006,10:00,Modena,Piacenza,4-4-2,Giuseppe Iachini,10126,1:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/51833
42,dom 28/05/2006,10:00,Piacenza,Arezzo,5-3-2,Giuseppe Iachini,5428,2:3,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/52308
