round,date,time,home_team,away_team,formation,coach,audience,result,match_link
1,sáb 09/09/2006,11:00,Spezia,Cesena,4-1-4-1,Fabrizio Castori,8170,0:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/1066605
2,sáb 16/09/2006,11:00,Cesena,FC Crotone,?,Fabrizio Castori,7064,3:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/65565
3,qua 20/09/2006,16:00,Vicenza,Cesena,?,Fabrizio Castori,4993,0:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/1066608
4,sáb 23/09/2006,11:00,Cesena,Pescara,4-2-3-1,Fabrizio Castori,7221,3:3,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/65587
5,sáb 30/09/2006,11:00,Bologna,Cesena,?,Fabrizio Castori,12085,1:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/75366
6,qua 01/11/2006,14:30,Cesena,Triestina,4-3-3 defensivo,Fabrizio Castori,8379,0:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/65608
7,sáb 14/10/2006,11:00,Cesena,Bari,4-3-3 ofensivo,Fabrizio Castori,7783,1:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/75380
8,sáb 21/10/2006,11:00,Genoa,Cesena,?,Fabrizio Castori,18213,4:3,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/65631
9,sáb 28/10/2006,11:00,Cesena,Arezzo,?,Fabrizio Castori,7165,2:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/65642
10,sáb 04/11/2006,12:00,Mantova,Cesena,4-3-3 ofensivo,Fabrizio Castori,7676,4:3,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/75396
11,sáb 11/11/2006,13:00,Cesena,Frosinone,?,Fabrizio Castori,6988,2:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/75402
12,sáb 18/11/2006,13:00,Modena,Cesena,?,Fabrizio Castori,8588,0:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/75407
13,sáb 25/11/2006,13:00,Cesena,Rimini,?,Fabrizio Castori,15814,1:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/75412
14,sáb 02/12/2006,13:00,UC AlbinoLeffe,Cesena,3-4-3 plano,Fabrizio Castori,1650,3:3,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/75417
15,seg 11/12/2006,17:45,Cesena,Napoli,?,Fabrizio Castori,12842,1:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/65707
16,ter 16/01/2007,17:45,Juventus,Cesena,3-5-2,Fabrizio Castori,17383,2:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/65720
17,ter 19/12/2006,17:30,Cesena,Treviso,3-5-2 plano,Fabrizio Castori,6302,0:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/75436
18,sex 22/12/2006,17:30,Piacenza,Cesena,4-3-3 ofensivo,Fabrizio Castori,4563,4:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/75443
19,sáb 13/01/2007,13:00,Cesena,Lecce,4-3-3 ofensivo,Fabrizio Castori,7048,0:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/75450
20,sáb 20/01/2007,13:00,Verona,Cesena,3-5-2 plano,Fabrizio Castori,8151,2:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/75457
21,sáb 27/01/2007,13:00,Cesena,Brescia,?,Fabrizio Castori,6743,2:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/75460
22,sex 02/02/2007,18:45,Cesena,Spezia,?,Fabrizio Castori,6965,1:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/75464
23,sáb 10/02/2007,12:00,FC Crotone,Cesena,3-5-2,Fabrizio Castori,5329,1:2,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/65795
