round,date,time,home_team,away_team,formation,coach,audience,result,match_link
1,sáb 25/08/2007,11:00,Bari,AC Pisa 1909,?,Giuseppe Materazzi,3339,1:2,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/83578
2,sáb 01/09/2007,11:00,Rimini,Bari,4-4-1-1,Giuseppe Materazzi,5529,2:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/83611
3,dom 09/09/2007,10:00,Bari,Vicenza,?,Giuseppe Materazzi,2606,2:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/83630
4,sáb 15/09/2007,11:00,Piacenza,Bari,?,Giuseppe Materazzi,4000,1:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/83644
5,sáb 22/09/2007,11:00,Bari,Ravenna,?,Giuseppe Materazzi,2431,4:2,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/84354
6,ter 25/09/2007,15:30,Bari,Mantova,?,Giuseppe Materazzi,21139,2:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/83684
7,sáb 29/09/2007,11:00,UC AlbinoLeffe,Bari,3-5-2,Giuseppe Materazzi,2467,4:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/83692
8,sáb 06/10/2007,11:00,Bari,Grosseto,4-1-3-2,Giuseppe Materazzi,2466,0:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/84365
9,dom 14/10/2007,11:00,Frosinone,Bari,?,Giuseppe Materazzi,5847,4:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/83704
10,sáb 20/10/2007,12:00,Cesena,Bari,?,Giuseppe Materazzi,6128,0:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/83712
11,sáb 27/10/2007,12:00,Bari,Messina Peloro,5-3-2,Giuseppe Materazzi,2434,1:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/83716
12,ter 30/10/2007,17:30,Triestina,Bari,5-3-2,Giuseppe Materazzi,5990,1:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/83729
13,sáb 03/11/2007,13:00,Bari,Brescia,5-3-2,Giuseppe Materazzi,3511,0:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/83732
14,sáb 10/11/2007,13:00,Spezia,Bari,?,Giuseppe Materazzi,6732,1:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/83743
15,sáb 01/12/2007,13:00,Bari,Bologna,?,Giuseppe Materazzi,3194,1:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/83746
16,sáb 24/11/2007,13:00,Modena,Bari,4-4-2 duplo 6,Giuseppe Materazzi,7020,3:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/83754
