round,date,time,home_team,away_team,formation,coach,audience,result,match_link
1,sáb 25/08/2007,11:00,Bologna,Rimini,?,Daniele Arrigoni,12195,0:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/83579
2,seg 03/09/2007,16:00,Spezia,Bologna,?,Daniele Arrigoni,8113,0:2,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/83613
3,dom 09/09/2007,10:00,Bologna,Ravenna,4-3-1-2,Daniele Arrigoni,13953,2:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/83631
4,sáb 15/09/2007,11:00,Avellino,Bologna,5-3-2,Daniele Arrigoni,x,1:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/83639
5,sáb 22/09/2007,11:00,Triestina,Bologna,4-3-1-2,Daniele Arrigoni,6954,1:3,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/83671
6,ter 25/09/2007,15:30,Bologna,Brescia,?,Daniele Arrigoni,21536,2:2,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/83683
7,sáb 29/09/2007,11:00,Cesena,Bologna,?,Daniele Arrigoni,8983,0:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/83691
8,sáb 06/10/2007,11:00,Bologna,Lecce,4-4-2 duplo 6,Daniele Arrigoni,12734,1:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/83699
9,dom 14/10/2007,11:00,Piacenza,Bologna,?,Daniele Arrigoni,4381,0:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/83701
10,sáb 20/10/2007,12:00,Bologna,Treviso,4-3-1-2,Daniele Arrigoni,9710,1:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/83713
11,sáb 27/10/2007,12:00,Frosinone,Bologna,?,Daniele Arrigoni,5634,0:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/83718
12,ter 04/12/2007,17:30,Bologna,Ascoli,4-5-1,Daniele Arrigoni,12406,0:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/83722
13,sáb 03/11/2007,13:00,Modena,Bologna,4-1-4-1,Daniele Arrigoni,12817,1:2,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/83737
14,sáb 10/11/2007,13:00,Bologna,Chievo Verona,?,Daniele Arrigoni,12504,4:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/83739
15,sáb 01/12/2007,13:00,Bari,Bologna,?,Daniele Arrigoni,3194,1:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/83746
16,sáb 24/11/2007,13:00,Bologna,UC AlbinoLeffe,4-3-1-2,Daniele Arrigoni,10027,1:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/83753
17,sáb 08/12/2007,13:00,Vicenza,Bologna,?,Daniele Arrigoni,6967,0:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/83766
18,sáb 15/12/2007,13:00,Bologna,Grosseto,4-3-1-2,Daniele Arrigoni,10058,1:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/84400
19,sáb 22/12/2007,13:00,Messina Peloro,Bologna,5-3-2,Daniele Arrigoni,3905,2:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/83779
20,sáb 12/01/2008,13:00,Bologna,Mantova,?,Daniele Arrigoni,13678,3:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/83783
21,sáb 19/01/2008,13:00,AC Pisa 1909,Bologna,?,Daniele Arrigoni,15686,0:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/84413
22,sáb 26/01/2008,13:00,Rimini,Bologna,?,Daniele Arrigoni,8134,1:2,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/83800
23,sáb 02/02/2008,13:00,Bologna,Spezia,4-4-2,Daniele Arrigoni,10625,3:2,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/83805
24,sáb 09/02/2008,13:00,Ravenna,Bologna,?,Daniele Arrigoni,7648,1:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/84425
25,ter 12/02/2008,17:30,Bologna,Avellino,4-4-2 duplo 6,Daniele Arrigoni,11168,3:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/84427
26,sáb 16/02/2008,13:00,Bologna,Triestina,4-4-2,Daniele Arrigoni,11133,2:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/83825
27,sáb 23/02/2008,12:00,Brescia,Bologna,?,Daniele Arrigoni,7116,2:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/83832
28,sáb 01/03/2008,12:00,Bologna,Cesena,?,Daniele Arrigoni,20809,2:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/83840
29,sáb 08/03/2008,12:00,Lecce,Bologna,3-5-2 plano,Daniele Arrigoni,15167,0:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/83848
30,sáb 15/03/2008,12:00,Bologna,Piacenza,3-5-2 plano,Daniele Arrigoni,11521,1:2,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/83854
31,ter 18/03/2008,16:30,Treviso,Bologna,4-3-1-2,Daniele Arrigoni,4513,0:2,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/83866
32,sex 21/03/2008,15:00,Bologna,Frosinone,?,Daniele Arrigoni,11472,2:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/83867
33,sáb 29/03/2008,12:00,Ascoli,Bologna,?,Daniele Arrigoni,6867,2:2,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/83876
34,sáb 05/04/2008,10:00,Bologna,Modena,3-5-2 plano,Daniele Arrigoni,15998,4:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/83885
35,sáb 12/04/2008,10:00,Chievo Verona,Bologna,?,Daniele Arrigoni,18016,1:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/83894
36,sáb 19/04/2008,10:00,Bologna,Bari,?,Daniele Arrigoni,13195,1:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/83898
37,sáb 26/04/2008,10:00,UC AlbinoLeffe,Bologna,4-4-2 duplo 6,Daniele Arrigoni,8343,1:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/83905
38,sáb 03/05/2008,10:00,Bologna,Vicenza,?,Daniele Arrigoni,20799,1:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/83913
39,sáb 10/05/2008,10:00,Grosseto,Bologna,4-4-2,Daniele Arrigoni,3888,3:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/84478
40,sáb 17/05/2008,10:00,Bologna,Messina Peloro,4-3-1-2,Daniele Arrigoni,10403,3:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/83928
41,dom 25/05/2008,10:00,Mantova,Bologna,?,Daniele Arrigoni,13753,0:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/83938
42,dom 01/06/2008,10:00,Bologna,AC Pisa 1909,?,Daniele Arrigoni,35114,1:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/84489
