position,team,played,won,drawn,lost,goal_ratio,goal_difference,points,team_url
1,US Lecce,42,20,15,7,66:47,19,75,https://www.transfermarkt.com.br/us-lecce/spielplan/verein/1005/saison_id/2009
2,AC Cesena,42,20,14,8,55:29,26,74,https://www.transfermarkt.com.br/cesena-fc/spielplan/verein/1429/saison_id/2009
3,Brescia Calcio,42,21,9,12,60:44,16,72,https://www.transfermarkt.com.br/brescia-calcio/spielplan/verein/19/saison_id/2009
4,US Sassuolo,42,18,15,9,60:42,18,69,https://www.transfermarkt.com.br/us-sassuolo/spielplan/verein/6574/saison_id/2009
5,Torino FC,42,19,11,12,53:36,17,68,https://www.transfermarkt.com.br/fc-turin/spielplan/verein/416/saison_id/2009
6,AS Cittadella,42,18,12,12,62:43,19,66,https://www.transfermarkt.com.br/as-cittadella/spielplan/verein/4084/saison_id/2009
7,US Grosseto FC,42,14,19,9,66:63,3,61,https://www.transfermarkt.com.br/us-grosseto-1912/spielplan/verein/4333/saison_id/2009
8,FC Crotone,42,17,11,14,53:50,3,60,https://www.transfermarkt.com.br/fc-crotone/spielplan/verein/4083/saison_id/2009
9,Ascoli Calcio 1898,42,15,12,15,57:57,0,57,https://www.transfermarkt.com.br/ascoli-calcio/spielplan/verein/408/saison_id/2009
10,FC Empoli,42,15,11,16,66:56,10,56,https://www.transfermarkt.com.br/fc-empoli/spielplan/verein/749/saison_id/2009
11,UC AlbinoLeffe,42,14,13,15,59:56,3,55,https://www.transfermarkt.com.br/uc-albinoleffe/spielplan/verein/4541/saison_id/2009
12,Modena FC,42,14,12,16,39:47,-8,54,https://www.transfermarkt.com.br/modena-fc-2018/spielplan/verein/1385/saison_id/2009
13,Reggina Calcio,42,15,9,18,51:56,-5,54,https://www.transfermarkt.com.br/reggina-1914/spielplan/verein/1386/saison_id/2009
14,Vicenza Calcio,42,12,17,13,40:41,-1,53,https://www.transfermarkt.com.br/lr-vicenza-virtus/spielplan/verein/2655/saison_id/2009
15,Piacenza FC,42,13,14,15,40:45,-5,53,https://www.transfermarkt.com.br/piacenza-calcio-1919/spielplan/verein/1408/saison_id/2009
16,Frosinone Calcio,42,15,8,19,50:67,-17,53,https://www.transfermarkt.com.br/frosinone-calcio/spielplan/verein/8970/saison_id/2009
17,AC Ancona,42,15,9,18,55:56,-1,52,https://www.transfermarkt.com.br/us-anconitana/spielplan/verein/1388/saison_id/2009
18,US Triestina,42,13,12,17,41:51,-10,51,https://www.transfermarkt.com.br/us-triestina/spielplan/verein/4271/saison_id/2009
19,Calcio Padova,42,12,15,15,44:48,-4,51,https://www.transfermarkt.com.br/calcio-padova/spielplan/verein/3037/saison_id/2009
20,AC Mantova 1911,42,10,18,14,46:58,-12,48,https://www.transfermarkt.com.br/mantova-1911/spielplan/verein/2581/saison_id/2009
21,Gallipoli Calcio,42,10,10,22,43:74,-31,40,https://www.transfermarkt.com.br/gallipoli-football-1909/spielplan/verein/10348/saison_id/2009
22,Salernitana Calcio 1919,42,5,8,29,40:80,-40,17,https://www.transfermarkt.com.br/us-salernitana-1919/spielplan/verein/380/saison_id/2009
