round,date,time,home_team,away_team,formation,coach,audience,result,match_link
1,sex 21/08/2009,15:45,Mantova,Triestina,4-4-2 duplo 6,Luca Gotti,6264,0:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/963992
2,sáb 29/08/2009,14:00,Triestina,Grosseto,4-4-2 duplo 6,Luca Gotti,6560,1:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/964107
3,ter 15/09/2009,13:00,Sassuolo,Triestina,3-4-3 plano,Luca Gotti,2974,2:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/964210
4,sáb 12/09/2009,10:30,Triestina,Salernitana,4-4-1-1,Luca Gotti,6553,2:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/973178
5,sáb 19/09/2009,10:30,Cesena,Triestina,4-4-2,Luca Gotti,9754,4:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/973489
6,ter 22/09/2009,15:45,Triestina,Lecce,4-5-1 plano,Luca Gotti,6512,1:4,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/973507
7,sáb 26/09/2009,10:30,Vicenza,Triestina,4-2-3-1,Luca Gotti,6865,0:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/973803
8,sáb 03/10/2009,10:30,Triestina,UC AlbinoLeffe,4-4-2 duplo 6,Luca Gotti,6100,2:3,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/973815
9,ter 27/10/2009,17:45,Empoli,Triestina,4-5-1,Mario Somma,2974,1:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/973890
10,sáb 17/10/2009,10:30,Triestina,Gallipoli,4-2-3-1,Mario Somma,5996,1:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/973897
11,sáb 24/10/2009,11:30,Padova,Triestina,4-5-1,Mario Somma,6963,0:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/973911
12,sáb 31/10/2009,12:30,Triestina,Torino,4-5-1,Mario Somma,7553,2:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/973919
13,sáb 07/11/2009,12:30,Brescia,Triestina,4-5-1,Mario Somma,2100,2:2,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/973938
14,dom 15/11/2009,12:00,Triestina,Ascoli,4-3-3 defensivo,Mario Somma,7102,2:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/973940
15,sáb 21/11/2009,12:30,Triestina,Cittadella,4-3-3 ofensivo,Mario Somma,6606,2:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/973952
16,sáb 28/11/2009,12:30,Modena,Triestina,4-3-3 defensivo,Mario Somma,5691,2:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/973969
17,sáb 05/12/2009,12:30,Triestina,FC Crotone,4-4-1-1,Mario Somma,6327,0:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/973978
18,seg 14/12/2009,17:45,Reggina,Triestina,4-5-1,Mario Somma,5456,3:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/973994
19,sáb 30/01/2010,12:30,Triestina,Piacenza,5-4-1,Mario Somma,5870,1:3,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/990770
