round,date,time,home_team,away_team,formation,coach,audience,result,match_link
1,dom 22/08/2010,15:45,Frosinone,Empoli,4-4-2 duplo 6,Alfredo Aglietti,2213,2:3,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/1044610
2,seg 30/08/2010,14:00,Empoli,Pescara,4-4-2 duplo 6,Alfredo Aglietti,3562,0:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/1044624
3,dom 05/09/2010,10:00,Varese,Empoli,4-3-1-2,Alfredo Aglietti,5176,0:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/1044641
4,sáb 11/09/2010,10:00,Empoli,Triestina,4-4-2 duplo 6,Alfredo Aglietti,2250,1:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/1044644
5,sáb 18/09/2010,10:00,Ascoli,Empoli,4-5-1 plano,Alfredo Aglietti,6026,0:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/1044654
6,sáb 25/09/2010,10:00,Empoli,Grosseto,4-4-2 duplo 6,Alfredo Aglietti,2886,1:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/1044666
7,sáb 02/10/2010,10:00,Cittadella,Empoli,3-4-1-2,Alfredo Aglietti,2134,2:3,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/1044677
8,dom 10/10/2010,10:00,Empoli,Piacenza,3-4-1-2,Alfredo Aglietti,2591,1:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/1044688
9,qua 13/10/2010,15:45,Modena,Empoli,4-4-2,Alfredo Aglietti,4774,0:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/1044701
10,seg 18/10/2010,17:00,Empoli,AC Siena,4-4-2 duplo 6,Alfredo Aglietti,4017,3:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/1044710
11,sáb 23/10/2010,11:00,Reggina,Empoli,4-4-2,Alfredo Aglietti,5028,0:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/1044726
12,sáb 30/10/2010,11:00,Empoli,FC Crotone,4-4-2 duplo 6,Alfredo Aglietti,2256,0:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/1044732
13,sáb 06/11/2010,12:00,Padova,Empoli,3-5-2,Alfredo Aglietti,5383,2:2,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/1044746
14,ter 09/11/2010,17:45,Novara Calcio,Empoli,4-2-3-1,Alfredo Aglietti,6169,1:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/1044759
15,sáb 13/11/2010,12:00,Empoli,Atalanta,3-5-2,Alfredo Aglietti,4209,3:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/1044767
16,sáb 20/11/2010,12:00,AS Livorno,Empoli,4-4-2 duplo 6,Alfredo Aglietti,4371,2:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/1044781
17,sáb 27/11/2010,12:00,Empoli,Sassuolo,4-2-3-1,Alfredo Aglietti,2196,0:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/1044789
18,sáb 04/12/2010,12:00,UC AlbinoLeffe,Empoli,3-5-2 plano,Alfredo Aglietti,1430,2:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/1044798
19,sáb 11/12/2010,12:00,Empoli,Portosummaga,4-4-2,Alfredo Aglietti,2533,2:3,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/1044811
20,sáb 18/12/2010,12:00,Torino,Empoli,4-4-1-1,Alfredo Aglietti,9322,2:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/1044828
21,sáb 08/01/2011,12:00,Empoli,Vicenza,4-4-2 duplo 6,Alfredo Aglietti,2355,1:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/1044833
22,sáb 15/01/2011,12:00,Empoli,Frosinone,4-3-1-2,Alfredo Aglietti,2211,2:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/1044843
23,ter 22/02/2011,14:30,Pescara,Empoli,4-3-3 ofensivo,Alfredo Aglietti,7636,1:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/1044857
24,sex 28/01/2011,17:45,Empoli,Varese,4-3-3 ofensivo,Alfredo Aglietti,2362,1:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/1044874
25,sáb 05/02/2011,12:00,Triestina,Empoli,4-3-2-1,Alfredo Aglietti,3976,1:2,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/1044877
26,sáb 12/02/2011,12:00,Empoli,Ascoli,4-3-2-1,Alfredo Aglietti,2117,1:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/1044907
27,sex 18/02/2011,17:45,Grosseto,Empoli,4-3-2-1,Alfredo Aglietti,2132,2:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/1044919
28,sáb 26/02/2011,11:00,Empoli,Cittadella,4-3-2-1,Alfredo Aglietti,2125,2:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/1044930
29,ter 01/03/2011,16:45,Piacenza,Empoli,4-3-2-1,Alfredo Aglietti,2328,2:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/1044941
30,sáb 05/03/2011,11:00,Empoli,Modena,4-3-2-1,Alfredo Aglietti,2341,0:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/1044954
31,sáb 12/03/2011,11:00,AC Siena,Empoli,4-3-2-1,Alfredo Aglietti,7094,0:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/1044963
32,seg 21/03/2011,16:45,Empoli,Reggina,4-2-3-1,Alfredo Aglietti,2537,1:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/1044979
33,dom 27/03/2011,10:00,FC Crotone,Empoli,4-3-1-2,Alfredo Aglietti,3146,3:2,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/1044985
34,sáb 02/04/2011,10:00,Empoli,Padova,4-2-3-1,Alfredo Aglietti,2596,2:2,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/1044999
35,sex 08/04/2011,15:45,Empoli,Novara Calcio,4-3-2-1,Alfredo Aglietti,2481,0:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/1045010
36,sáb 16/04/2011,10:00,Atalanta,Empoli,4-3-2-1,Alfredo Aglietti,18331,1:2,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/1045018
