round,date,time,home_team,away_team,formation,coach,audience,result,match_link
1,dom 22/08/2010,15:45,AS Livorno,Sassuolo,4-5-1 plano,Daniele Arrigoni,5700,0:4,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/1044612
2,sáb 28/08/2010,13:30,Sassuolo,Grosseto,5-4-1 plano,Daniele Arrigoni,2400,1:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/1044627
3,dom 05/09/2010,10:00,Portosummaga,Sassuolo,4-3-3 ofensivo,Daniele Arrigoni,1000,1:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/1044637
4,sáb 11/09/2010,10:00,Sassuolo,Torino,4-3-3 ofensivo,Daniele Arrigoni,3150,1:2,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/1044650
5,seg 20/09/2010,15:45,Sassuolo,Vicenza,4-3-3 ofensivo,Daniele Arrigoni,2870,2:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/1044659
6,sáb 25/09/2010,10:00,FC Crotone,Sassuolo,4-3-3 ofensivo,Daniele Arrigoni,2843,2:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/1044665
7,sáb 02/10/2010,10:00,Sassuolo,Atalanta,4-3-3 ofensivo,Daniele Arrigoni,3355,0:2,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/1044681
8,sáb 09/10/2010,15:45,Pescara,Sassuolo,3-5-2 plano,Angelo Gregucci,10095,1:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/1044693
9,qua 13/10/2010,15:45,Cittadella,Sassuolo,4-3-3 ofensivo,Angelo Gregucci,2179,1:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/1044699
10,sáb 16/10/2010,10:00,Sassuolo,Novara Calcio,4-3-1-2,Angelo Gregucci,2590,0:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/1044716
11,sáb 23/10/2010,11:00,Modena,Sassuolo,4-3-3 ofensivo,Angelo Gregucci,7221,1:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/1044722
12,seg 01/11/2010,16:00,Sassuolo,AC Siena,4-3-2-1,Angelo Gregucci,2944,4:3,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/1044738
13,sáb 06/11/2010,12:00,UC AlbinoLeffe,Sassuolo,4-3-3 ofensivo,Angelo Gregucci,1450,3:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/1044741
14,ter 09/11/2010,17:45,Sassuolo,Ascoli,4-3-2-1,Angelo Gregucci,2194,0:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/1044762
15,sáb 13/11/2010,12:00,Varese,Sassuolo,5-3-2,Angelo Gregucci,3766,2:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/1044775
16,sáb 20/11/2010,12:00,Sassuolo,Triestina,4-3-1-2,Angelo Gregucci,2085,0:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/1044784
17,sáb 27/11/2010,12:00,Empoli,Sassuolo,4-3-1-2,Angelo Gregucci,2196,0:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/1044789
18,sáb 04/12/2010,12:00,Sassuolo,Piacenza,4-1-4-1,Angelo Gregucci,2077,1:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/1044805
19,sex 10/12/2010,17:45,Padova,Sassuolo,?,Angelo Gregucci,4735,1:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/1044814
