round,date,time,home_team,away_team,formation,coach,audience,result,match_link
1,sáb 25/08/2012,15:45,Spezia Calcio,Vicenza,4-3-1-2,Michele Serena,5680,2:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2258003
2,sáb 01/09/2012,15:45,Verona,Spezia Calcio,4-3-1-2,Michele Serena,15767,1:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2259799
3,dom 09/09/2012,13:00,Spezia Calcio,Brescia,4-2-3-1,Michele Serena,7520,3:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2259741
4,sáb 15/09/2012,10:00,Ascoli,Spezia Calcio,4-3-1-2,Michele Serena,2432,2:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2259757
5,sáb 22/09/2012,10:00,Spezia Calcio,Sassuolo,4-3-3 ofensivo,Michele Serena,7039,0:2,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2259743
6,ter 25/09/2012,13:00,Novara Calcio,Spezia Calcio,4-1-3-2,Michele Serena,4772,1:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2259735
7,sáb 29/09/2012,10:00,Spezia Calcio,Reggina,4-3-1-2,Michele Serena,5742,1:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2259777
8,seg 08/10/2012,15:45,AS Livorno,Spezia Calcio,4-3-1-2,Michele Serena,9737,1:5,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2259844
9,dom 14/10/2012,10:00,Spezia Calcio,Ternana,4-3-1-2,Michele Serena,6658,1:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2259746
10,sáb 20/10/2012,10:00,Varese,Spezia Calcio,3-5-2 plano,Michele Serena,3724,0:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2259771
11,sáb 27/10/2012,11:00,Spezia Calcio,Cittadella,5-3-2,Michele Serena,4989,0:3,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2259756
12,ter 30/10/2012,17:45,Pro Vercelli,Spezia Calcio,4-3-3 defensivo,Michele Serena,2472,1:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2259804
13,sáb 03/11/2012,12:00,Spezia Calcio,Crotone,4-3-3 ofensivo,Michele Serena,5037,2:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2259834
14,sex 09/11/2012,17:45,Grosseto,Spezia Calcio,4-3-3 ofensivo,Michele Serena,2388,1:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2260146
15,sáb 17/11/2012,12:00,Spezia Calcio,Juve Stabia,4-4-2 duplo 6,Michele Serena,5590,2:3,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2260031
16,sáb 24/11/2012,15:00,Cesena,Spezia Calcio,4-3-1-2,Michele Serena,9346,1:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2260036
17,sáb 01/12/2012,12:00,Empoli,Spezia Calcio,4-3-1-2,Michele Serena,2761,2:2,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2260071
18,sáb 08/12/2012,12:00,Spezia Calcio,Bari,4-3-1-2,Michele Serena,5521,3:2,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2259944
19,sáb 15/12/2012,12:00,Virtus Lanciano,Spezia Calcio,4-3-1-2,Michele Serena,1689,1:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2259964
20,dom 23/12/2012,12:00,Spezia Calcio,Padova,4-3-1-2,Michele Serena,5696,2:3,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2259980
21,qua 26/12/2012,12:00,Modena,Spezia Calcio,3-5-2 plano,Michele Serena,4775,1:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2259856
