round,date,time,home_team,away_team,formation,coach,audience,result,match_link
1,sáb 24/08/2013,15:30,Padova,Trapani,4-4-2 duplo 6,Roberto Boscaglia,5193,0:2,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2358188
2,seg 02/09/2013,15:30,Trapani,Pescara,4-4-2 duplo 6,Roberto Boscaglia,6581,2:2,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2359593
3,dom 08/09/2013,10:00,Empoli,Trapani,4-4-2 duplo 6,Roberto Boscaglia,3207,1:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2358306
4,sáb 14/09/2013,10:00,Trapani,Reggina,4-4-2 duplo 6,Roberto Boscaglia,5316,4:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2359604
5,sáb 21/09/2013,10:00,Modena,Trapani,4-4-2 duplo 6,Roberto Boscaglia,4578,3:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2359613
6,ter 24/09/2013,15:30,Trapani,Cesena,4-4-2 duplo 6,Roberto Boscaglia,5878,0:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2359627
7,sáb 28/09/2013,10:00,AC Siena,Trapani,4-4-2 duplo 6,Roberto Boscaglia,5693,2:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2359636
8,sáb 05/10/2013,10:00,Trapani,Latina Calcio,4-4-2 duplo 6,Roberto Boscaglia,4461,1:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2359650
9,dom 13/10/2013,10:00,Varese,Trapani,4-4-2 duplo 6,Roberto Boscaglia,3646,0:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2359660
10,sáb 19/10/2013,10:00,Trapani,Spezia Calcio,4-4-2,Roberto Boscaglia,4624,1:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2359672
11,sáb 26/10/2013,11:00,Bari,Trapani,4-4-2 duplo 6,Roberto Boscaglia,2887,1:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2359673
12,sex 01/11/2013,12:00,Trapani,Carpi,4-4-2 duplo 6,Roberto Boscaglia,4532,0:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2359693
13,sáb 09/11/2013,12:00,US Palermo,Trapani,5-3-2,Roberto Boscaglia,18187,3:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2359701
14,dom 17/11/2013,12:00,Trapani,Novara Calcio,4-4-2 duplo 6,Roberto Boscaglia,4386,2:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2359715
15,sáb 23/11/2013,12:00,Juve Stabia,Trapani,4-4-2 duplo 6,Roberto Boscaglia,2019,2:3,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2359722
16,sáb 30/11/2013,12:00,Trapani,Virtus Lanciano,4-4-2,Roberto Boscaglia,4417,1:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2359737
17,sáb 07/12/2013,12:00,Cittadella,Trapani,4-4-2 duplo 6,Roberto Boscaglia,2126,2:2,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2359742
18,sáb 14/12/2013,12:00,Trapani,AS Avellino,4-4-2 duplo 6,Roberto Boscaglia,4583,1:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2359758
19,sex 20/12/2013,16:00,Ternana,Trapani,4-4-2 duplo 6,Roberto Boscaglia,4146,0:2,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2359771
20,qui 26/12/2013,12:00,Trapani,Crotone,4-4-2 duplo 6,Roberto Boscaglia,5726,1:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2359780
21,dom 29/12/2013,12:00,Brescia,Trapani,3-5-2 plano,Roberto Boscaglia,5000,3:3,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2359784
22,sex 24/01/2014,17:30,Trapani,Padova,4-4-2 duplo 6,Roberto Boscaglia,4741,2:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2359799
23,sáb 01/02/2014,12:00,Pescara,Trapani,4-4-2 duplo 6,Roberto Boscaglia,7737,0:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2359813
24,sáb 08/02/2014,12:00,Trapani,Empoli,4-4-2 duplo 6,Roberto Boscaglia,6344,0:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2359819
25,sáb 15/02/2014,12:00,Reggina,Trapani,4-4-2 duplo 6,Roberto Boscaglia,5206,1:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2359835
26,sáb 22/02/2014,11:00,Trapani,Modena,4-4-2 duplo 6,Roberto Boscaglia,4986,2:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2359844
27,sáb 01/03/2014,11:00,Cesena,Trapani,4-4-2 duplo 6,Roberto Boscaglia,10656,2:2,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2359858
28,sáb 08/03/2014,11:00,Trapani,AC Siena,4-4-2 duplo 6,Roberto Boscaglia,5066,0:2,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2359867
29,sáb 15/03/2014,11:00,Latina Calcio,Trapani,4-4-2 duplo 6,Roberto Boscaglia,6513,0:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2359881
30,sex 21/03/2014,15:00,Trapani,Varese,4-4-2 duplo 6,Roberto Boscaglia,6006,1:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2359891
31,ter 25/03/2014,16:30,Spezia Calcio,Trapani,4-4-2 duplo 6,Roberto Boscaglia,5745,0:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2359903
32,sáb 29/03/2014,11:00,Trapani,Bari,4-4-2 duplo 6,Roberto Boscaglia,5358,3:4,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2359904
33,sáb 05/04/2014,10:00,Carpi,Trapani,4-4-2 duplo 6,Roberto Boscaglia,2457,3:2,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2359924
34,sáb 12/04/2014,10:00,Trapani,US Palermo,4-4-2 duplo 6,Roberto Boscaglia,7146,0:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2359932
35,qui 17/04/2014,15:30,Novara Calcio,Trapani,4-1-4-1,Roberto Boscaglia,4851,3:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2359946
36,sáb 26/04/2014,10:00,Trapani,Juve Stabia,4-4-2 duplo 6,Roberto Boscaglia,4609,3:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2359953
37,sáb 03/05/2014,13:00,Virtus Lanciano,Trapani,3-5-2 plano,Roberto Boscaglia,2655,2:2,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2359968
38,sáb 10/05/2014,10:00,Trapani,Cittadella,4-4-2 duplo 6,Roberto Boscaglia,4343,1:2,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2359973
39,ter 13/05/2014,15:30,AS Avellino,Trapani,3-5-2 plano,Roberto Boscaglia,8000,3:3,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2359989
40,sáb 17/05/2014,10:00,Trapani,Ternana,4-4-2 duplo 6,Roberto Boscaglia,4119,2:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2360002
41,dom 25/05/2014,15:30,Crotone,Trapani,4-4-2 duplo 6,Roberto Boscaglia,8272,2:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2360011
