round,date,time,home_team,away_team,formation,coach,audience,result,match_link
1,dom 06/09/2015,10:00,Modena,Vicenza,4-3-3 ofensivo,Pasquale Marino,5312,0:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2617579
2,sáb 12/09/2015,10:00,Vicenza,Bari,4-3-3 ofensivo,Pasquale Marino,7747,0:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2617593
3,sáb 19/09/2015,10:00,Vicenza,Calcio Como,4-3-3 ofensivo,Pasquale Marino,7042,3:3,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2617602
4,ter 22/09/2015,15:30,Virtus Lanciano,Vicenza,4-3-3 ofensivo,Pasquale Marino,2655,0:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2617611
5,sáb 26/09/2015,10:00,Vicenza,Pescara,4-3-3 ofensivo,Pasquale Marino,7575,2:2,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2617620
6,sáb 03/10/2015,10:00,Avellino,Vicenza,4-3-3 ofensivo,Pasquale Marino,5500,1:4,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2617621
7,sáb 10/10/2015,10:00,Vicenza,Crotone,4-3-3 ofensivo,Pasquale Marino,8006,0:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2617638
8,sáb 17/10/2015,10:00,Pro Vercelli,Vicenza,4-3-3 ofensivo,Pasquale Marino,2873,2:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2617644
9,sex 23/10/2015,17:00,Vicenza,Novara Calcio,4-3-3 ofensivo,Pasquale Marino,7822,0:2,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2617656
10,ter 27/10/2015,17:30,Trapani,Vicenza,4-3-3 ofensivo,Pasquale Marino,4629,1:2,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2617664
11,seg 02/11/2015,17:30,Cagliari,Vicenza,4-3-3 ofensivo,Pasquale Marino,13000,2:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2617668
12,sáb 07/11/2015,12:00,Vicenza,Ascoli Picchio,4-3-3 ofensivo,Pasquale Marino,7276,3:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2621854
13,sáb 14/11/2015,12:00,AS Livorno,Vicenza,4-3-3 ofensivo,Pasquale Marino,5760,2:2,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2617688
14,sáb 21/11/2015,12:00,Vicenza,Cesena,4-3-3 ofensivo,Pasquale Marino,7250,1:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2617701
15,sáb 28/11/2015,12:00,Ternana,Vicenza,4-3-3 ofensivo,Pasquale Marino,2843,2:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2617709
16,dom 06/12/2015,12:00,Vicenza,US Salernitana,4-3-3 ofensivo,Pasquale Marino,7443,0:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2617718
17,qua 09/12/2015,15:30,Spezia Calcio,Vicenza,4-3-3 ofensivo,Pasquale Marino,6287,1:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2617727
18,sáb 12/12/2015,12:00,Vicenza,Brescia,4-3-3 ofensivo,Pasquale Marino,6740,1:2,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2617737
19,sáb 19/12/2015,12:00,Virtus Entella,Vicenza,4-3-3 ofensivo,Pasquale Marino,1596,4:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2621868
20,qua 23/12/2015,17:30,Vicenza,Latina Calcio,4-3-3 ofensivo,Pasquale Marino,6972,1:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2617755
21,ter 19/01/2016,17:30,Perugia,Vicenza,4-3-3 ofensivo,Pasquale Marino,9933,0:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2617762
22,sáb 16/01/2016,12:00,Vicenza,Modena,4-3-3 ofensivo,Pasquale Marino,7419,2:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2617769
23,sáb 23/01/2016,12:00,Bari,Vicenza,4-3-3 ofensivo,Pasquale Marino,16496,2:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2617783
24,sáb 30/01/2016,12:00,Calcio Como,Vicenza,4-3-3 ofensivo,Pasquale Marino,3573,1:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2617792
25,sáb 06/02/2016,12:00,Vicenza,Virtus Lanciano,4-3-3 ofensivo,Pasquale Marino,7056,0:2,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2617801
26,sex 12/02/2016,17:30,Pescara,Vicenza,4-3-3 ofensivo,Pasquale Marino,8942,1:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2617810
27,sáb 20/02/2016,12:00,Vicenza,Avellino,4-3-3 ofensivo,Pasquale Marino,7493,0:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2617811
28,sáb 27/02/2016,11:00,Crotone,Vicenza,4-3-3 ofensivo,Pasquale Marino,6053,2:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2617828
29,ter 01/03/2016,16:30,Vicenza,Pro Vercelli,4-3-3 ofensivo,Pasquale Marino,6861,1:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2617834
30,sáb 05/03/2016,11:00,Novara Calcio,Vicenza,4-3-3 ofensivo,Pasquale Marino,4105,4:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2617846
