round,date,time,home_team,away_team,formation,coach,audience,result,match_link
1,sex 26/08/2016,15:30,Spezia Calcio,US Salernitana,3-5-2,Giuseppe Sannino,8215,1:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2736990
2,dom 04/09/2016,15:30,US Salernitana,Verona,3-5-2,Giuseppe Sannino,19709,1:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2737001
3,sáb 10/09/2016,10:00,Novara Calcio,US Salernitana,3-5-2,Giuseppe Sannino,4023,1:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2737011
4,sex 16/09/2016,16:00,US Salernitana,Vicenza,4-3-1-2,Giuseppe Sannino,11527,2:3,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2737022
5,seg 19/09/2016,15:30,Cesena,US Salernitana,3-5-2 plano,Giuseppe Sannino,11953,0:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2737031
6,sáb 24/09/2016,10:00,US Salernitana,Trapani,3-5-2,Giuseppe Sannino,9943,2:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2737045
7,sáb 01/10/2016,10:00,SPAL,US Salernitana,3-5-2,Giuseppe Sannino,6740,3:2,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2737056
8,dom 09/10/2016,12:30,US Salernitana,Benevento,4-4-2 duplo 6,Giuseppe Sannino,14753,2:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2737067
9,sáb 15/10/2016,10:00,Brescia,US Salernitana,4-3-1-2,Giuseppe Sannino,7182,1:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2737073
10,sáb 22/10/2016,11:00,US Salernitana,Virtus Entella,3-5-2,Giuseppe Sannino,9529,1:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2737087
11,ter 25/10/2016,16:30,Ascoli Picchio,US Salernitana,3-5-2,Giuseppe Sannino,5655,0:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2737093
12,sáb 29/10/2016,11:00,US Salernitana,AC Pisa 1909,3-5-2,Giuseppe Sannino,9907,0:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2737109
13,sáb 05/11/2016,12:00,Cittadella,US Salernitana,3-5-2,Giuseppe Sannino,2734,2:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2737118
14,dom 13/11/2016,12:00,US Salernitana,Ternana,4-4-2,Giuseppe Sannino,9522,4:2,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2737132
15,sáb 19/11/2016,12:00,Latina Calcio,US Salernitana,3-5-2,Giuseppe Sannino,2403,1:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2737142
16,seg 28/11/2016,17:30,US Salernitana,Pro Vercelli,3-5-2,Giuseppe Sannino,9995,1:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2737154
17,sáb 03/12/2016,12:00,Bari,US Salernitana,4-3-3 ofensivo,Alberto Bollini,18768,2:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2737160
18,sáb 10/12/2016,12:00,Frosinone,US Salernitana,4-3-3 ofensivo,Alberto Bollini,6894,1:3,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2737175
19,sáb 17/12/2016,12:00,US Salernitana,Carpi,4-3-3 ofensivo,Alberto Bollini,9253,1:2,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2737187
20,sáb 24/12/2016,12:00,Avellino,US Salernitana,4-3-3 ofensivo,Alberto Bollini,9500,3:2,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2737193
21,sex 30/12/2016,12:00,US Salernitana,Perugia,4-3-3 ofensivo,Alberto Bollini,9675,2:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2737209
22,dom 22/01/2017,14:30,US Salernitana,Spezia Calcio,3-5-2,Alberto Bollini,9109,1:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2737221
23,dom 29/01/2017,14:30,Verona,US Salernitana,3-5-2 plano,Alberto Bollini,14415,2:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2737232
24,sáb 04/02/2017,12:00,US Salernitana,Novara Calcio,3-4-3 plano,Alberto Bollini,8120,0:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2737242
25,sex 10/02/2017,17:30,Vicenza,US Salernitana,4-3-3 ofensivo,Alberto Bollini,7015,0:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2737253
26,sáb 18/02/2017,12:00,US Salernitana,Cesena,4-3-1-2,Alberto Bollini,8990,1:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2737262
27,sáb 25/02/2017,11:00,Trapani,US Salernitana,3-5-2 plano,Alberto Bollini,4814,1:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2737276
28,ter 28/02/2017,16:30,US Salernitana,SPAL,3-5-2 plano,Alberto Bollini,8195,1:2,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2737287
29,dom 05/03/2017,13:30,Benevento,US Salernitana,4-3-3 ofensivo,Alberto Bollini,9933,1:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2737298
30,sáb 11/03/2017,11:00,US Salernitana,Brescia,4-3-1-2,Alberto Bollini,8580,2:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2737304
31,seg 20/03/2017,16:30,Virtus Entella,US Salernitana,4-3-3 ofensivo,Alberto Bollini,2366,0:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2737318
32,dom 26/03/2017,10:00,US Salernitana,Ascoli Picchio,4-3-3 ofensivo,Alberto Bollini,10582,2:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2737324
33,sáb 01/04/2017,10:00,AC Pisa 1909,US Salernitana,4-3-3 ofensivo,Alberto Bollini,8187,0:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2737340
34,ter 04/04/2017,15:30,US Salernitana,Cittadella,4-3-3 ofensivo,Alberto Bollini,11236,0:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2737349
35,sáb 08/04/2017,10:00,Ternana,US Salernitana,4-3-3 ofensivo,Alberto Bollini,3250,1:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2737363
36,seg 17/04/2017,10:00,US Salernitana,Latina Calcio,4-3-3 ofensivo,Alberto Bollini,9087,2:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2737373
37,sáb 22/04/2017,10:00,Pro Vercelli,US Salernitana,4-3-3 ofensivo,Alberto Bollini,3417,0:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2737385
38,ter 25/04/2017,07:30,US Salernitana,Bari,4-3-3 ofensivo,Alberto Bollini,15944,0:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2737391
39,seg 01/05/2017,15:30,US Salernitana,Frosinone,4-3-3 ofensivo,Alberto Bollini,12477,1:3,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2737406
40,sáb 06/05/2017,10:00,Carpi,US Salernitana,4-3-3 ofensivo,Alberto Bollini,2031,2:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2737418
41,sáb 13/05/2017,10:00,US Salernitana,Avellino,4-3-3 ofensivo,Alberto Bollini,13265,2:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2737424
42,qui 18/05/2017,15:30,Perugia,US Salernitana,4-3-3 ofensivo,Alberto Bollini,10053,3:2,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2737440
