round,date,time,home_team,away_team,formation,coach,audience,result,match_link
1,sáb 26/08/2017,15:30,Pro Vercelli,Frosinone,5-4-1 plano,Gianluca Grassadonia,2718,0:2,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2903962
2,dom 03/09/2017,15:30,Ascoli Picchio,Pro Vercelli,3-5-2 plano,Gianluca Grassadonia,5365,1:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2903966
3,sáb 09/09/2017,10:00,Pro Vercelli,Cremonese,3-5-2 plano,Gianluca Grassadonia,2380,1:4,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2903985
4,sáb 16/09/2017,10:00,Brescia,Pro Vercelli,4-3-1-2,Gianluca Grassadonia,6301,0:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2903988
5,ter 19/09/2017,15:30,Pro Vercelli,US Salernitana,4-3-2-1,Gianluca Grassadonia,2560,1:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2904007
6,seg 25/09/2017,15:30,US Palermo,Pro Vercelli,4-3-3 ofensivo,Gianluca Grassadonia,6573,2:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2904016
7,sáb 30/09/2017,10:00,Pro Vercelli,Cesena,4-3-3 ofensivo,Gianluca Grassadonia,2360,5:2,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2904029
8,dom 08/10/2017,10:00,Perugia,Pro Vercelli,4-3-3 ofensivo,Gianluca Grassadonia,9878,1:5,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2904038
9,sáb 14/10/2017,10:00,Pro Vercelli,Bari,4-3-3 ofensivo,Gianluca Grassadonia,3446,2:2,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2904051
10,sáb 21/10/2017,11:00,Pro Vercelli,Carpi,4-3-3 ofensivo,Gianluca Grassadonia,2355,0:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2904060
11,ter 24/10/2017,16:30,Avellino,Pro Vercelli,4-3-2-1,Gianluca Grassadonia,3500,1:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2904066
12,dom 29/10/2017,14:30,Pro Vercelli,Foggia,4-3-3 ofensivo,Gianluca Grassadonia,4446,1:4,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2904082
13,sáb 04/11/2017,12:00,Novara Calcio,Pro Vercelli,4-3-1-2,Gianluca Grassadonia,5333,0:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2904093
14,sáb 11/11/2017,12:00,Pro Vercelli,Empoli,4-3-1-2,Gianluca Grassadonia,2484,2:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2904105
15,sáb 18/11/2017,12:00,Pescara,Pro Vercelli,4-3-3 ofensivo,Gianluca Grassadonia,6546,3:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2904117
16,sáb 25/11/2017,12:00,Pro Vercelli,Virtus Entella,4-3-1-2,Gianluca Grassadonia,2327,1:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2904127
17,sáb 02/12/2017,12:00,Parma,Pro Vercelli,4-3-1-2,Gianluca Grassadonia,9860,3:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2904138
18,sáb 09/12/2017,12:00,Venezia,Pro Vercelli,4-3-3 ofensivo,Gianluca Grassadonia,3213,1:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2904152
19,sáb 16/12/2017,12:00,Pro Vercelli,Spezia Calcio,4-3-3 ofensivo,Gianluca Grassadonia,2204,0:2,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2904162
20,qui 21/12/2017,17:30,Ternana U.,Pro Vercelli,3-5-2 plano,Gianluca Atzori,3068,4:3,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2904173
