round,date,time,home_team,away_team,formation,coach,audience,result,match_link
1,sáb 26/08/2017,15:30,Avellino,Brescia,4-4-1-1,Walter Novellino,5300,2:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2903955
2,dom 03/09/2017,15:30,Cremonese,Avellino,4-4-1-1,Walter Novellino,6663,3:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2903969
3,sáb 09/09/2017,10:00,Avellino,Foggia,4-4-1-1,Walter Novellino,5513,5:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2903978
4,sex 15/09/2017,16:00,Cesena,Avellino,4-4-1-1,Walter Novellino,11393,3:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2903989
5,seg 18/09/2017,15:30,Avellino,Venezia,4-4-1-1,Walter Novellino,5500,1:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2904000
6,sáb 23/09/2017,10:00,Novara Calcio,Avellino,4-4-2,Walter Novellino,3634,1:2,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2904015
7,sáb 30/09/2017,10:00,Avellino,Empoli,4-4-1-1,Walter Novellino,4750,3:2,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2904022
8,dom 08/10/2017,10:00,Bari,Avellino,4-4-1-1,Walter Novellino,15994,2:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2904032
9,dom 15/10/2017,13:30,Avellino,US Salernitana,4-4-2,Walter Novellino,10000,2:3,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2904044
10,sáb 21/10/2017,11:00,Pescara,Avellino,4-4-2,Walter Novellino,7978,2:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2904059
11,ter 24/10/2017,16:30,Avellino,Pro Vercelli,4-4-1-1,Walter Novellino,3500,1:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2904066
12,dom 29/10/2017,12:00,Parma,Avellino,4-4-2 duplo 6,Walter Novellino,11535,2:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2904080
