round,date,time,home_team,away_team,formation,coach,audience,result,match_link
1,sáb 25/08/2018,13:00,US Salernitana,US Palermo,3-4-3 plano,Bruno Tedino,12979,0:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/3092245
2,sex 31/08/2018,16:00,US Palermo,Cremonese,3-4-2-1,Bruno Tedino,5779,2:2,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/3092306
3,dom 16/09/2018,16:00,Foggia,US Palermo,3-4-2-1,Bruno Tedino,10778,1:2,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/3092314
4,sáb 22/09/2018,10:00,US Palermo,Perugia,3-5-2,Bruno Tedino,5313,4:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/3092325
5,ter 25/09/2018,16:00,Brescia,US Palermo,3-4-2-1,Bruno Tedino,6103,2:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/3092328
7,dom 07/10/2018,16:00,US Palermo,Crotone,4-3-1-2,Roberto Stellone,6011,1:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/3092352
8,dom 21/10/2018,16:00,Lecce,US Palermo,3-4-1-2,Roberto Stellone,12719,1:2,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/3092360
9,sex 26/10/2018,16:00,US Palermo,Venezia,4-3-1-2,Roberto Stellone,6067,1:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/3092371
10,ter 30/10/2018,17:00,Carpi,US Palermo,3-4-1-2,Roberto Stellone,1875,0:3,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/3092374
11,sáb 03/11/2018,11:00,US Palermo,Cosenza,3-4-1-2,Roberto Stellone,4513,2:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/3092388
12,dom 11/11/2018,18:00,US Palermo,Pescara,4-3-3 ofensivo,Roberto Stellone,9222,3:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/3092397
13,sex 23/11/2018,18:00,Verona,US Palermo,4-3-1-2,Roberto Stellone,400,1:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/3092402
14,sex 30/11/2018,18:00,US Palermo,Benevento,4-3-3 ofensivo,Roberto Stellone,7714,0:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/3092416
15,sáb 08/12/2018,09:30,Padova,US Palermo,4-3-1-2,Roberto Stellone,8215,1:3,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/3092422
16,sáb 15/12/2018,12:00,US Palermo,AS Livorno,3-4-1-2,Roberto Stellone,5734,1:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/3092434
17,dom 23/12/2018,14:30,Spezia Calcio,US Palermo,4-3-1-2,Roberto Stellone,5609,1:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/3092443
18,qui 27/12/2018,18:00,US Palermo,Ascoli,4-3-2-1,Roberto Stellone,8262,3:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/3092451
19,dom 30/12/2018,12:00,Cittadella,US Palermo,4-3-2-1,Roberto Stellone,4815,0:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/3092456
20,sex 18/01/2019,18:00,US Palermo,US Salernitana,4-3-2-1,Roberto Stellone,6667,1:2,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/3092470
21,sáb 26/01/2019,12:00,Cremonese,US Palermo,4-3-2-1,Roberto Stellone,7007,2:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/3092477
22,seg 04/02/2019,18:00,US Palermo,Foggia,4-3-2-1,Roberto Stellone,4617,0:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/3092485
23,sáb 09/02/2019,12:00,Perugia,US Palermo,4-3-2-1,Roberto Stellone,8105,1:2,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/3092496
24,sex 15/02/2019,18:00,US Palermo,Brescia,4-3-2-1,Roberto Stellone,22329,1:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/3092499
26,ter 26/02/2019,17:00,Crotone,US Palermo,3-5-2,Roberto Stellone,6104,3:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/3092523
27,sáb 02/03/2019,14:00,US Palermo,Lecce,4-3-2-1,Roberto Stellone,9899,2:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/3092531
28,seg 11/03/2019,17:00,Venezia,US Palermo,4-3-2-1,Roberto Stellone,3154,1:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/3092542
29,dom 17/03/2019,11:00,US Palermo,Carpi,4-3-1-2,Roberto Stellone,9333,4:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/3092545
30,sáb 30/03/2019,11:00,Cosenza,US Palermo,4-2-3-1,Roberto Stellone,9268,1:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/3092559
31,qua 03/04/2019,16:00,Pescara,US Palermo,4-3-1-2,Roberto Stellone,6557,3:2,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/3092568
32,seg 08/04/2019,16:00,US Palermo,Verona,4-3-1-2,Roberto Stellone,10377,1:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/3092573
