round,date,time,home_team,away_team,formation,coach,audience,result,match_link
1,sáb 24/08/2019,13:00,Salernitana,Pescara,4-3-3 ofensivo,Luciano Zauri,8931,3:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/3236733
2,dom 01/09/2019,13:00,Pescara,Pordenone,4-3-3 ofensivo,Luciano Zauri,5942,4:2,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/3236743
3,dom 15/09/2019,10:00,Cosenza,Pescara,4-3-3 ofensivo,Luciano Zauri,7975,1:2,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/3236748
4,sáb 21/09/2019,10:00,Pescara,Virtus Entella,4-3-3 ofensivo,Luciano Zauri,6113,1:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/3236763
5,ter 24/09/2019,16:00,Cittadella,Pescara,4-3-3 ofensivo,Luciano Zauri,3746,2:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/3236767
6,sex 27/09/2019,16:00,Pescara,Crotone,4-3-3 ofensivo,Luciano Zauri,5790,0:3,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/3236783
7,dom 06/10/2019,16:00,Ascoli,Pescara,3-5-2 plano,Luciano Zauri,8510,0:2,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/3236786
8,sáb 19/10/2019,10:00,Pescara,Spezia Calcio,3-5-2 plano,Luciano Zauri,5685,1:2,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/3236802
9,sáb 26/10/2019,10:00,Pescara,Benevento,4-3-2-1,Luciano Zauri,7339,4:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/3236811
10,ter 29/10/2019,17:00,Juve Stabia,Pescara,4-3-1-2,Luciano Zauri,3500,2:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/3236821
11,sáb 02/11/2019,11:00,Pescara,AC Pisa 1909,4-3-1-2,Luciano Zauri,6052,3:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/3236832
12,sáb 09/11/2019,14:00,Empoli,Pescara,4-3-1-2,Luciano Zauri,5156,1:2,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/3236838
13,sex 22/11/2019,17:00,Pescara,Cremonese,3-5-2 plano,Luciano Zauri,6111,1:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/3236853
14,dom 01/12/2019,17:00,Perugia,Pescara,4-3-3 ofensivo,Luciano Zauri,7422,3:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/3236860
15,sáb 07/12/2019,11:00,Pescara,Venezia,4-3-2-1,Luciano Zauri,5438,2:2,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/3236872
16,sáb 14/12/2019,11:00,Frosinone,Pescara,3-4-2-1,Luciano Zauri,11127,2:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/3236880
17,dom 22/12/2019,11:00,Pescara,Trapani,4-3-2-1,Luciano Zauri,5862,1:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/3236892
18,qui 26/12/2019,11:00,AS Livorno,Pescara,4-3-2-1,Luciano Zauri,4201,0:2,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/3236901
19,dom 29/12/2019,08:30,Pescara,Chievo Verona,4-3-2-1,Luciano Zauri,5453,0:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/3236912
20,dom 19/01/2020,11:00,Pescara,Salernitana,4-3-2-1,Luciano Zauri,6327,1:2,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/3236923
21,sáb 25/01/2020,11:00,Pordenone,Pescara,3-4-2-1,Nicola Legrottaglie,3716,0:2,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/3236933
22,seg 03/02/2020,17:00,Pescara,Cosenza,3-5-2 plano,Nicola Legrottaglie,5867,2:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/3236938
23,dom 09/02/2020,11:00,Virtus Entella,Pescara,3-5-2 plano,Nicola Legrottaglie,1700,2:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/3236953
24,sex 14/02/2020,17:00,Pescara,Cittadella,3-5-2 plano,Nicola Legrottaglie,5162,1:2,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/3236957
25,dom 23/02/2020,17:00,Crotone,Pescara,3-5-2 plano,Nicola Legrottaglie,5629,4:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/3236973
26,dom 01/03/2020,17:00,Pescara,Ascoli,4-3-3 ofensivo,Nicola Legrottaglie,6601,2:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/3236976
27,qua 04/03/2020,17:00,Spezia Calcio,Pescara,4-3-3 ofensivo,Nicola Legrottaglie,5231,2:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/3236992
28,dom 08/03/2020,17:00,Benevento,Pescara,3-5-2 plano,Nicola Legrottaglie,x,4:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/3237001
29,sáb 20/06/2020,13:00,Pescara,Juve Stabia,4-4-2 duplo 6,Nicola Legrottaglie,x,3:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/3237011
30,sex 26/06/2020,16:00,AC Pisa 1909,Pescara,4-4-2 duplo 6,Nicola Legrottaglie,x,2:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/3237022
31,seg 29/06/2020,16:00,Pescara,Empoli,4-4-2 duplo 6,Nicola Legrottaglie,x,1:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/3237028
32,sex 03/07/2020,16:00,Cremonese,Pescara,4-4-2 duplo 6,Nicola Legrottaglie,x,1:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/3237043
33,sex 10/07/2020,16:00,Pescara,Perugia,4-3-3 ofensivo,Andrea Sottil,x,2:2,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/3237050
34,seg 13/07/2020,16:00,Venezia,Pescara,4-3-3 ofensivo,Andrea Sottil,x,1:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/3237062
35,sex 17/07/2020,13:45,Pescara,Frosinone,3-4-2-1,Andrea Sottil,x,1:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/3237070
36,sex 24/07/2020,16:00,Trapani,Pescara,4-3-3 ofensivo,Andrea Sottil,x,1:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/3237082
37,seg 27/07/2020,16:00,Pescara,AS Livorno,4-3-3 ofensivo,Andrea Sottil,x,1:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/3237091
38,sex 31/07/2020,16:00,Chievo Verona,Pescara,3-5-2 plano,Andrea Sottil,x,1:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/3237102
