round,date,time,home_team,away_team,formation,coach,audience,result,match_link
1,dom 22/08/2021,15:30,Benevento,Alessandria,3-5-2 plano,Moreno Longo,2869,4:3,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/3624917
2,sex 27/08/2021,13:00,Pisa,Alessandria,3-5-2 plano,Moreno Longo,3882,2:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/3624980
3,sáb 11/09/2021,09:00,Alessandria,Brescia,3-4-3 plano,Moreno Longo,2416,1:3,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/3624992
4,sáb 18/09/2021,09:00,Lecce,Alessandria,3-4-3 plano,Moreno Longo,5003,3:2,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/3625384
5,ter 21/09/2021,13:00,Alessandria,Ascoli,3-4-3 plano,Moreno Longo,1846,1:3,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/3625388
6,dom 26/09/2021,09:00,Perugia,Alessandria,3-4-1-2,Moreno Longo,3179,1:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/3625403
7,sáb 02/10/2021,09:00,Alessandria,Cosenza,3-4-1-2,Moreno Longo,2345,1:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/3638413
8,sáb 16/10/2021,13:30,Como,Alessandria,3-4-3 plano,Moreno Longo,2869,2:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/3625417
9,sex 22/10/2021,15:30,Alessandria,Crotone,3-4-3 plano,Moreno Longo,2528,1:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/3625424
10,qui 28/10/2021,13:00,Alessandria,Frosinone,3-4-1-2,Moreno Longo,2432,1:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/3625433
11,seg 01/11/2021,11:00,Monza,Alessandria,3-4-2-1,Moreno Longo,3145,1:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/3625444
12,sáb 06/11/2021,10:00,Alessandria,Ternana,3-4-2-1,Moreno Longo,2198,0:2,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/3625451
13,sáb 20/11/2021,10:00,SPAL,Alessandria,3-5-2 plano,Moreno Longo,4546,2:3,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/3625467
14,sáb 27/11/2021,10:00,Alessandria,Cremonese,3-5-2 plano,Moreno Longo,2290,1:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/3625469
15,ter 30/11/2021,16:30,Pordenone,Alessandria,3-5-2 plano,Moreno Longo,635,2:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/3625483
16,dom 05/12/2021,16:30,Alessandria,Cittadella,3-5-2 plano,Moreno Longo,1804,0:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/3625487
17,dom 12/12/2021,16:30,Reggina,Alessandria,3-5-2 plano,Moreno Longo,3913,0:4,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/3625502
18,dom 19/12/2021,10:00,Alessandria,Parma,3-5-2 plano,Moreno Longo,4097,0:2,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/3625505
19,dom 30/01/2022,10:30,LR Vicenza,Alessandria,3-5-2,Moreno Longo,4613,2:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/3625515
20,sáb 22/01/2022,10:00,Alessandria,Benevento,3-4-2-1,Moreno Longo,1803,2:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/3624965
21,sáb 05/02/2022,10:00,Alessandria,Pisa,3-4-1-2,Moreno Longo,2099,1:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/3624989
22,dom 13/02/2022,11:30,Brescia,Alessandria,3-4-3 plano,Moreno Longo,4151,1:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/3625001
23,qua 16/02/2022,14:30,Alessandria,Lecce,3-4-2-1,Moreno Longo,2109,1:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/3625528
24,sáb 19/02/2022,10:00,Ascoli,Alessandria,3-4-2-1,Moreno Longo,3609,3:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/3625532
25,ter 22/02/2022,14:30,Alessandria,Perugia,3-4-1-2,Moreno Longo,1745,1:2,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/3625547
26,sáb 26/02/2022,10:00,Cosenza,Alessandria,3-4-3 plano,Moreno Longo,3051,2:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/3638432
27,ter 01/03/2022,16:30,Alessandria,Como,3-4-2-1,Moreno Longo,1857,1:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/3625561
28,dom 06/03/2022,11:30,Crotone,Alessandria,3-4-2-1,Moreno Longo,1918,0:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/3625568
29,sáb 12/03/2022,12:15,Frosinone,Alessandria,3-4-1-2,Moreno Longo,4205,3:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/3625577
30,ter 15/03/2022,16:30,Alessandria,Monza,3-4-1-2,Moreno Longo,1109,0:3,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/3625588
31,sáb 19/03/2022,10:00,Ternana,Alessandria,3-4-2-1,Moreno Longo,2538,3:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/3625595
