round,date,time,home_team,away_team,formation,coach,audience,result,match_link
1,dom 31/08/2014,12:30,K. Erciyesspor,Trabzonspor,4-4-2 duplo 6,Bülent Korkmaz,4500,0:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2469932
2,dom 14/09/2014,14:00,Gaziantepspor,K. Erciyesspor,4-2-3-1,Bülent Korkmaz,1500,2:2,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2469944
3,sáb 20/09/2014,11:00,K. Erciyesspor,Akhisar Belediye,4-4-2 duplo 6,Bülent Korkmaz,2200,1:2,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2469953
4,dom 28/09/2014,10:00,Konyaspor,K. Erciyesspor,4-2-3-1,Bülent Korkmaz,15300,1:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2469958
5,sáb 04/10/2014,12:30,K. Erciyesspor,Galatasaray,4-4-2 duplo 6,Bülent Korkmaz,5000,1:2,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2469972
6,seg 20/10/2014,14:00,Genclerbirligi,K. Erciyesspor,4-4-2 duplo 6,Bülent Korkmaz,3000,0:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2469984
7,seg 27/10/2014,16:00,K. Erciyesspor,Besiktas,4-2-3-1,Bülent Korkmaz,4000,3:2,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2469989
8,dom 02/11/2014,09:30,C. Rizespor,K. Erciyesspor,4-3-3 ofensivo,Bülent Korkmaz,500,1:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2469996
9,dom 09/11/2014,09:30,K. Erciyesspor,Bursaspor,4-3-3 ofensivo,Bülent Korkmaz,3000,1:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2470003
10,dom 23/11/2014,12:00,Eskisehirspor,K. Erciyesspor,4-2-3-1,Bülent Korkmaz,10000,2:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2470019
11,sáb 29/11/2014,12:00,K. Erciyesspor,Balikesirspor,4-4-2 duplo 6,Mustafa Şimşek Özkeş,2500,4:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2470026
12,seg 08/12/2014,15:00,Sivasspor,K. Erciyesspor,4-2-3-1,Uğur Tütüneker,4000,1:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2470036
13,dom 14/12/2014,12:00,Mersin IY,K. Erciyesspor,4-2-3-1,Uğur Tütüneker,7500,1:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2470047
14,sex 19/12/2014,16:00,K. Erciyesspor,Fenerbahce,4-4-2 duplo 6,Uğur Tütüneker,6000,0:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2470048
15,sáb 27/12/2014,12:00,Basaksehir,K. Erciyesspor,4-5-1 plano,Uğur Tütüneker,800,3:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2470057
16,dom 04/01/2015,09:30,K. Erciyesspor,Kasimpasa,4-4-2 duplo 6,Uğur Tütüneker,750,2:5,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2470071
17,dom 25/01/2015,12:00,Karabükspor,K. Erciyesspor,4-4-2,Mehmet Özdilek,750,1:2,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2470082
18,sex 30/01/2015,16:00,Trabzonspor,K. Erciyesspor,4-4-2 duplo 6,Mehmet Özdilek,12200,2:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2470085
19,sáb 07/02/2015,12:00,K. Erciyesspor,Gaziantepspor,4-2-3-1,Mehmet Özdilek,650,0:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2470097
20,sáb 14/02/2015,12:00,Akhisar Belediye,K. Erciyesspor,4-2-3-1,Mehmet Özdilek,,1:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2470106
