round,date,time,home_team,away_team,formation,coach,audience,result,match_link
1,dom 16/08/2015,16:00,Gaziantepspor,Kasimpasa,4-4-2 duplo 6,Mutlu Topçu,7500,0:3,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2589247
2,dom 23/08/2015,13:30,Bursaspor,Gaziantepspor,4-4-2 duplo 6,Mutlu Topçu,10824,0:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2590406
3,sex 28/08/2015,15:15,Gaziantepspor,Besiktas,4-4-2 duplo 6,Mutlu Topçu,5487,0:4,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2590413
4,sáb 12/09/2015,11:00,Akhisar Belediye,Gaziantepspor,4-4-2 duplo 6,Mutlu Topçu,919,0:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2590593
5,dom 20/09/2015,11:00,Gaziantepspor,Kayserispor,4-4-2 duplo 6,Mutlu Topçu,1706,1:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2590605
6,sáb 26/09/2015,13:00,Galatasaray,Gaziantepspor,4-4-2 duplo 6,Mutlu Topçu,20012,2:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2590610
7,sáb 03/10/2015,10:00,Gaziantepspor,Osmanlispor FK,4-4-2 duplo 6,Mutlu Topçu,1770,2:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2590618
8,sáb 17/10/2015,13:00,Konyaspor,Gaziantepspor,4-4-2 duplo 6,Mutlu Topçu,14811,2:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2593961
9,sáb 24/10/2015,14:00,Gaziantepspor,Mersin IY,4-4-2 duplo 6,Mutlu Topçu,1857,1:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2593968
10,qua 28/10/2015,16:45,Trabzonspor,Gaziantepspor,4-2-3-1,Mutlu Topçu,4461,2:2,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2593978
11,dom 08/11/2015,10:00,Sivasspor,Gaziantepspor,4-2-3-1,Mutlu Topçu,4256,3:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2593993
12,seg 23/11/2015,16:00,Gaziantepspor,Basaksehir,4-4-2 duplo 6,Mutlu Topçu,1659,0:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2594006
13,dom 29/11/2015,10:00,Genclerbirligi,Gaziantepspor,4-4-2 duplo 6,Mutlu Topçu,1315,2:2,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2594012
14,dom 06/12/2015,15:00,Gaziantepspor,Fenerbahce,4-4-2 duplo 6,Mutlu Topçu,7535,2:2,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2594019
15,sáb 12/12/2015,12:00,Eskisehirspor,Gaziantepspor,4-4-2 duplo 6,Mutlu Topçu,6123,1:2,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2594034
16,sáb 19/12/2015,09:30,Gaziantepspor,C. Rizespor,4-4-2 duplo 6,Mutlu Topçu,690,2:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2594036
17,sáb 26/12/2015,12:30,Antalyaspor,Gaziantepspor,4-4-2 duplo 6,Mutlu Topçu,8625,0:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2594051
18,sáb 16/01/2016,09:30,Kasimpasa,Gaziantepspor,4-4-2 duplo 6,Mutlu Topçu,652,1:2,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2594056
19,dom 24/01/2016,12:00,Gaziantepspor,Bursaspor,4-4-2 duplo 6,Mutlu Topçu,2333,2:3,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2598038
20,dom 07/02/2016,15:00,Besiktas,Gaziantepspor,4-4-2 duplo 6,Mutlu Topçu,15031,4:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2598055
21,dom 14/02/2016,09:30,Gaziantepspor,Akhisar Belediye,4-4-2 duplo 6,Mutlu Topçu,2540,0:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2606498
22,dom 21/02/2016,08:00,Kayserispor,Gaziantepspor,4-2-3-1,Mutlu Topçu,3760,2:2,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2606510
23,dom 28/02/2016,14:00,Gaziantepspor,Galatasaray,4-2-3-1,Mutlu Topçu,7254,2:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2606515
24,sáb 05/03/2016,14:00,Osmanlispor FK,Gaziantepspor,4-2-3-1,Mutlu Topçu,3163,1:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2606523
25,sáb 12/03/2016,08:00,Gaziantepspor,Konyaspor,4-4-2 duplo 6,Mutlu Topçu,2205,0:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2606538
26,dom 20/03/2016,08:30,Mersin IY,Gaziantepspor,4-2-3-1,Mutlu Topçu,4947,0:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2606545
27,sáb 02/04/2016,10:00,Gaziantepspor,Trabzonspor,4-4-2 duplo 6,Mutlu Topçu,2717,0:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2611245
28,sex 08/04/2016,14:00,Gaziantepspor,Sivasspor,4-4-2 duplo 6,Mutlu Topçu,944,0:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2611250
29,dom 17/04/2016,07:30,Basaksehir,Gaziantepspor,4-2-3-1,Mutlu Topçu,897,4:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2611263
