round,date,time,home_team,away_team,formation,coach,audience,result,match_link
1,dom 16/08/2015,15:00,Osmanlispor FK,Kayserispor,4-4-2,Mustafa Reşit Akçay,8500,1:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2589252
2,seg 24/08/2015,15:45,Galatasaray,Osmanlispor FK,4-2-3-1,Mustafa Reşit Akçay,25000,1:2,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2590407
3,dom 30/08/2015,15:15,Sivasspor,Osmanlispor FK,4-2-3-1,Mustafa Reşit Akçay,4203,1:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2590408
4,dom 13/09/2015,14:15,Osmanlispor FK,Konyaspor,4-2-3-1,Hüseyin Çimşir,3429,1:2,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2590592
5,sex 18/09/2015,14:00,Mersin IY,Osmanlispor FK,4-2-3-1,Mustafa Reşit Akçay,4770,0:4,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2590607
6,sáb 26/09/2015,10:00,Osmanlispor FK,Trabzonspor,4-2-3-1,Mustafa Reşit Akçay,4484,3:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2590615
7,sáb 03/10/2015,10:00,Gaziantepspor,Osmanlispor FK,4-2-3-1,Mustafa Reşit Akçay,1770,2:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2590618
8,seg 19/10/2015,15:00,Osmanlispor FK,Basaksehir,4-4-2,Mustafa Reşit Akçay,4091,0:3,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2593956
9,sáb 24/10/2015,11:00,Genclerbirligi,Osmanlispor FK,4-4-2,Mustafa Reşit Akçay,2558,1:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2593967
10,qui 29/10/2015,14:00,Osmanlispor FK,Fenerbahce,4-2-3-1,Mustafa Reşit Akçay,7115,0:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2593980
11,sex 06/11/2015,14:00,Eskisehirspor,Osmanlispor FK,4-2-3-1,Mustafa Reşit Akçay,2183,0:2,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2593999
12,dom 22/11/2015,10:00,Osmanlispor FK,C. Rizespor,4-2-3-1,Mustafa Reşit Akçay,4091,0:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2594008
13,sex 27/11/2015,15:00,Antalyaspor,Osmanlispor FK,4-2-3-1,Mustafa Reşit Akçay,1200,1:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2594010
14,sáb 05/12/2015,09:30,Osmanlispor FK,Kasimpasa,4-2-3-1,Mustafa Reşit Akçay,3446,0:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2594026
15,sex 11/12/2015,15:00,Bursaspor,Osmanlispor FK,4-2-3-1,Mustafa Reşit Akçay,2240,0:4,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2594028
16,seg 21/12/2015,16:00,Osmanlispor FK,Besiktas,4-2-3-1,Mustafa Reşit Akçay,4440,2:3,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2594044
17,dom 27/12/2015,12:30,Akhisar Belediye,Osmanlispor FK,4-2-3-1,Mustafa Reşit Akçay,1418,0:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2594048
18,sáb 16/01/2016,09:30,Kayserispor,Osmanlispor FK,4-2-3-1,Mustafa Reşit Akçay,1875,1:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2594061
19,sáb 23/01/2016,15:00,Osmanlispor FK,Galatasaray,4-2-3-1,Mustafa Reşit Akçay,6238,3:2,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2598039
20,sex 05/02/2016,15:00,Osmanlispor FK,Sivasspor,4-2-3-1,Mustafa Reşit Akçay,3242,4:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2598050
21,sáb 13/02/2016,12:00,Konyaspor,Osmanlispor FK,4-2-3-1,Mustafa Reşit Akçay,15401,1:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2606497
22,dom 21/02/2016,08:00,Osmanlispor FK,Mersin IY,4-2-3-1,Mustafa Reşit Akçay,4051,3:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2606512
23,sáb 27/02/2016,14:00,Trabzonspor,Osmanlispor FK,4-2-3-1,Mustafa Reşit Akçay,15962,1:2,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2606520
24,sáb 05/03/2016,14:00,Osmanlispor FK,Gaziantepspor,4-2-3-1,Mustafa Reşit Akçay,3163,1:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2606523
25,sáb 12/03/2016,10:30,Basaksehir,Osmanlispor FK,4-2-3-1,Mustafa Reşit Akçay,2090,2:3,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2606533
26,sáb 19/03/2016,08:30,Osmanlispor FK,Genclerbirligi,4-2-3-1,Mustafa Reşit Akçay,3010,3:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2606544
27,dom 03/04/2016,13:00,Fenerbahce,Osmanlispor FK,4-2-3-1,Mustafa Reşit Akçay,27803,0:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2611247
28,sáb 09/04/2016,07:00,Osmanlispor FK,Eskisehirspor,4-2-3-1,Mustafa Reşit Akçay,4310,0:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2611256
29,sáb 16/04/2016,07:00,C. Rizespor,Osmanlispor FK,4-2-3-1,Mustafa Reşit Akçay,2071,0:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2611265
30,sáb 23/04/2016,07:30,Osmanlispor FK,Antalyaspor,4-2-3-1,Mustafa Reşit Akçay,3950,3:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2611267
31,seg 02/05/2016,14:00,Kasimpasa,Osmanlispor FK,4-2-3-1,Mustafa Reşit Akçay,1568,1:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2611283
32,sáb 07/05/2016,13:00,Osmanlispor FK,Bursaspor,4-2-3-1,Mustafa Reşit Akçay,3960,3:3,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2611285
33,dom 15/05/2016,13:00,Besiktas,Osmanlispor FK,4-2-3-1,Mustafa Reşit Akçay,38421,3:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2611311
34,qui 19/05/2016,14:00,Osmanlispor FK,Akhisar Belediye,4-2-3-1,Mustafa Reşit Akçay,3545,1:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2611315
