round,date,time,home_team,away_team,formation,coach,audience,result,match_link
1,sex 10/08/2018,15:45,Ankaragücü,Galatasaray,4-4-2 duplo 6,Fatih Terim,,1:3,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/3069360
2,dom 19/08/2018,15:45,Galatasaray,Göztepe,4-2-3-1,Fatih Terim,35040,1:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/3069722
3,seg 27/08/2018,15:45,Galatasaray,Alanyaspor,4-3-3 ofensivo,Fatih Terim,33707,6:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/3069732
4,sáb 01/09/2018,15:45,Trabzonspor,Galatasaray,4-3-3 ofensivo,Fatih Terim,36169,4:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/3069739
5,sex 14/09/2018,15:00,Galatasaray,Kasimpasa,4-2-3-1,Fatih Terim,35963,4:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/3069745
6,dom 23/09/2018,13:00,Akhisarspor,Galatasaray,4-2-3-1,Fatih Terim,,3:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/3069757
7,sex 28/09/2018,14:00,Galatasaray,BB Erzurumspor,4-2-3-1,Fatih Terim,31208,1:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/3069768
8,sáb 06/10/2018,13:00,Antalyaspor,Galatasaray,4-2-3-1,Fatih Terim,,0:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/3069773
9,sex 19/10/2018,14:30,Galatasaray,Bursaspor,4-2-3-1,Fatih Terim,36944,1:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/3069781
10,dom 28/10/2018,12:00,Y. Malatyaspor,Galatasaray,4-2-3-1,Fatih Terim,,2:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/3069790
11,sex 02/11/2018,15:00,Galatasaray,Fenerbahce,4-2-3-1,Fatih Terim,49392,2:2,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/3069805
12,sáb 10/11/2018,14:00,Kayserispor,Galatasaray,3-5-2 ofensivo,Fatih Terim,14363,0:3,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/3069807
13,sex 23/11/2018,15:30,Galatasaray,Konyaspor,3-5-2,Fatih Terim,31313,1:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/3069822
14,dom 02/12/2018,15:00,Besiktas,Galatasaray,3-5-2,Fatih Terim,39485,1:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/3069829
15,sáb 08/12/2018,14:00,Galatasaray,C. Rizespor,4-4-2 duplo 6,Fatih Terim,28113,2:2,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/3069840
16,sáb 15/12/2018,14:00,Basaksehir,Galatasaray,4-4-2 duplo 6,Fatih Terim,6676,1:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/3069847
17,dom 23/12/2018,14:00,Galatasaray,Sivasspor,4-1-4-1,Fatih Terim,32943,4:2,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/3069853
18,sáb 19/01/2019,14:00,Galatasaray,Ankaragücü,4-1-4-1,Fatih Terim,28561,6:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/3069860
19,sáb 26/01/2019,14:00,Göztepe,Galatasaray,4-1-4-1,Fatih Terim,8577,0:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/3069875
20,sáb 02/02/2019,14:00,Alanyaspor,Galatasaray,4-2-3-1,Fatih Terim,8082,1:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/3069885
21,dom 10/02/2019,14:00,Galatasaray,Trabzonspor,4-1-4-1,Fatih Terim,46431,3:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/3069892
22,dom 17/02/2019,13:00,Kasimpasa,Galatasaray,4-2-3-1,Fatih Terim,5569,1:4,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/3069898
23,dom 24/02/2019,13:00,Galatasaray,Akhisarspor,4-1-4-1,Fatih Terim,24507,1:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/3069910
24,dom 03/03/2019,13:00,BB Erzurumspor,Galatasaray,4-2-3-1,Fatih Terim,19158,1:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/3069921
25,seg 11/03/2019,14:00,Galatasaray,Antalyaspor,4-3-3 ofensivo,Fatih Terim,33033,5:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/3069926
26,dom 17/03/2019,13:00,Bursaspor,Galatasaray,4-1-4-1,Fatih Terim,30859,2:3,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/3069934
27,sáb 06/04/2019,13:00,Galatasaray,Y. Malatyaspor,4-2-3-1,Fatih Terim,33241,3:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/3069943
28,dom 14/04/2019,13:00,Fenerbahce,Galatasaray,4-1-4-1,Fatih Terim,44619,1:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/3069958
29,sáb 20/04/2019,13:00,Galatasaray,Kayserispor,4-1-4-1,Fatih Terim,32787,3:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/3069960
30,seg 29/04/2019,14:00,Konyaspor,Galatasaray,4-1-4-1,Fatih Terim,23850,0:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/3069975
31,dom 05/05/2019,13:00,Galatasaray,Besiktas,4-1-4-1,Fatih Terim,51578,2:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/3069982
32,sáb 11/05/2019,10:00,C. Rizespor,Galatasaray,4-1-4-1,Fatih Terim,10923,2:3,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/3069993
33,dom 19/05/2019,13:00,Galatasaray,Basaksehir,4-1-4-1,Fatih Terim,50057,2:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/3070000
34,sex 24/05/2019,15:00,Sivasspor,Galatasaray,4-3-3 ofensivo,Fatih Terim,,4:3,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/3070006
