round,date,time,home_team,away_team,formation,coach,audience,result,match_link
1,sáb 11/08/2018,13:30,Sivasspor,Alanyaspor,4-4-2 duplo 6,Tamer Tuna,8131,1:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/3069363
2,sex 17/08/2018,15:45,Trabzonspor,Sivasspor,4-4-2 duplo 6,Tamer Tuna,32527,3:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/3069716
3,dom 26/08/2018,13:15,Sivasspor,Kasimpasa,4-4-2 duplo 6,Tamer Tuna,,0:3,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/3069726
4,sáb 01/09/2018,13:15,Akhisarspor,Sivasspor,4-4-2 duplo 6,Tamer Tuna,,1:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/3069738
5,dom 16/09/2018,11:00,Sivasspor,BB Erzurumspor,4-4-2 duplo 6,Tamer Tuna,,2:2,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/3069747
6,dom 23/09/2018,13:00,Antalyaspor,Sivasspor,4-4-2 duplo 6,Tamer Tuna,,2:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/3069755
7,dom 30/09/2018,07:30,Sivasspor,Bursaspor,4-2-3-1,Tamer Tuna,,2:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/3069764
8,dom 07/10/2018,07:30,Y. Malatyaspor,Sivasspor,4-2-3-1,Tamer Tuna,,4:4,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/3069770
9,sáb 20/10/2018,13:00,Sivasspor,Fenerbahce,4-2-3-1,Tamer Tuna,,0:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/3069783
10,dom 28/10/2018,07:30,Kayserispor,Sivasspor,4-2-3-1,Tamer Tuna,,2:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/3069788
11,seg 05/11/2018,15:00,Sivasspor,Konyaspor,4-2-3-1,Tamer Tuna,,0:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/3069801
12,dom 11/11/2018,15:30,Besiktas,Sivasspor,4-4-2 duplo 6,Hakan Keleş,25342,1:2,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/3069806
13,dom 25/11/2018,08:30,Sivasspor,C. Rizespor,4-4-2 duplo 6,Hakan Keleş,,1:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/3069818
14,sáb 01/12/2018,11:00,Basaksehir,Sivasspor,4-4-2 duplo 6,Hakan Keleş,,0:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/3069824
15,sáb 08/12/2018,08:30,Sivasspor,Göztepe,4-2-3-1,Hakan Keleş,,2:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/3069836
16,sáb 15/12/2018,08:30,Sivasspor,Ankaragücü,4-2-3-1,Hakan Keleş,,4:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/3069846
