round,date,time,home_team,away_team,formation,coach,audience,result,match_link
1,sáb 14/08/2021,13:15,Karagümrük,Gaziantep FK,3-1-4-2,Erol Bulut,204,3:2,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/3612834
2,sáb 21/08/2021,15:45,Gaziantep FK,Besiktas,3-1-4-2,Erol Bulut,1999,0:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/3612843
3,sáb 28/08/2021,13:15,Y. Malatyaspor,Gaziantep FK,3-5-2 plano,Erol Bulut,1444,2:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/3612856
4,seg 13/09/2021,14:00,Gaziantep FK,Antalyaspor,4-2-3-1,Erol Bulut,1813,2:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/3612864
5,sáb 18/09/2021,07:30,Sivasspor,Gaziantep FK,4-3-3 defensivo,Erol Bulut,2135,1:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/3612878
6,qua 22/09/2021,11:00,Gaziantep FK,Basaksehir,4-3-3 defensivo,Erol Bulut,1488,1:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/3612883
7,sáb 25/09/2021,13:00,Adana Demirspor,Gaziantep FK,4-2-3-1,Erol Bulut,8829,4:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/3612899
8,dom 03/10/2021,10:00,Gaziantep FK,Altay SK,4-2-3-1,Erol Bulut,2145,4:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/3612903
9,seg 18/10/2021,14:00,Hatayspor,Gaziantep FK,4-2-3-1,Erol Bulut,6364,2:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/3612922
10,sáb 23/10/2021,10:00,Gaziantep FK,Giresunspor,4-2-3-1,Erol Bulut,1867,1:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/3612924
11,dom 31/10/2021,13:00,Galatasaray,Gaziantep FK,3-1-4-2,Erol Bulut,16097,2:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/3612935
12,sex 05/11/2021,14:00,Gaziantep FK,Kasimpasa,3-1-4-2,Erol Bulut,2033,2:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/3612944
13,seg 22/11/2021,14:00,Trabzonspor,Gaziantep FK,3-1-4-2,Erol Bulut,23296,3:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/3612956
14,dom 28/11/2021,07:30,Gaziantep FK,Konyaspor,3-1-4-2,Erol Bulut,2269,3:2,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/3612963
15,seg 06/12/2021,14:00,Göztepe,Gaziantep FK,3-1-4-2,Erol Bulut,7964,2:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/3612981
16,seg 13/12/2021,14:30,Gaziantep FK,Fenerbahce,4-2-3-1,Erol Bulut,7929,3:2,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/3612983
17,dom 19/12/2021,10:00,Kayserispor,Gaziantep FK,3-1-4-2,Erol Bulut,2415,0:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/3612999
18,qua 22/12/2021,14:00,Gaziantep FK,Alanyaspor,3-1-4-2,Erol Bulut,1929,2:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/3613003
19,dom 26/12/2021,07:30,C. Rizespor,Gaziantep FK,3-1-4-2,Erol Bulut,3387,0:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/3613022
20,sáb 08/01/2022,07:30,Gaziantep FK,Karagümrük,3-1-4-2,Erol Bulut,1618,3:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/3613024
21,sex 14/01/2022,14:00,Besiktas,Gaziantep FK,3-1-4-2,Erol Bulut,8557,1:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/3613033
22,qua 23/02/2022,14:00,Gaziantep FK,Y. Malatyaspor,3-1-4-2,Erol Bulut,753,0:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/3613046
23,dom 23/01/2022,10:00,Antalyaspor,Gaziantep FK,3-5-2 plano,Erol Bulut,3318,0:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/3613054
24,sáb 05/02/2022,07:30,Gaziantep FK,Sivasspor,3-1-4-2,Erol Bulut,1516,5:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/3613068
25,sáb 12/02/2022,10:00,Basaksehir,Gaziantep FK,3-1-4-2,Erol Bulut,535,2:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/3613073
26,dom 20/02/2022,07:30,Gaziantep FK,Adana Demirspor,3-1-4-2,Erol Bulut,3870,0:3,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/3613089
27,dom 27/02/2022,07:30,Altay SK,Gaziantep FK,3-1-4-2,Erol Bulut,4212,3:2,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/3613093
28,seg 07/03/2022,14:00,Gaziantep FK,Hatayspor,3-1-4-2,Erol Bulut,2848,2:2,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/3613112
29,seg 14/03/2022,14:00,Giresunspor,Gaziantep FK,3-1-4-2,Erol Bulut,5050,2:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/3613114
30,dom 20/03/2022,10:00,Gaziantep FK,Galatasaray,3-1-4-2,Erol Bulut,12480,3:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/3613125
