round,date,time,home_team,away_team,formation,coach,audience,result,match_link
1,seg 16/08/2021,13:15,Sivasspor,Konyaspor,4-1-4-1,İlhan Palut,1796,0:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/3612838
2,dom 22/08/2021,13:15,Konyaspor,Basaksehir,4-1-4-1,İlhan Palut,1548,2:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/3612849
3,sex 27/08/2021,15:45,Adana Demirspor,Konyaspor,4-1-4-1,İlhan Palut,7649,1:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/3612859
4,sáb 11/09/2021,11:00,Konyaspor,Altay SK,4-1-4-1,İlhan Palut,2069,3:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/3612869
5,dom 19/09/2021,07:30,Giresunspor,Konyaspor,4-1-4-1,İlhan Palut,2410,0:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/3612873
6,qui 23/09/2021,11:00,Konyaspor,Trabzonspor,4-1-4-1,İlhan Palut,3346,2:2,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/3612889
7,seg 27/09/2021,14:00,Kasimpasa,Konyaspor,4-1-4-1,İlhan Palut,673,2:2,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/3612894
8,sáb 02/10/2021,07:30,Konyaspor,Alanyaspor,4-1-4-1,İlhan Palut,2648,1:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/3612909
9,dom 17/10/2021,10:00,Galatasaray,Konyaspor,4-1-4-1,İlhan Palut,20317,1:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/3612916
10,sáb 23/10/2021,10:00,Konyaspor,Kayserispor,4-1-4-1,İlhan Palut,3878,2:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/3612929
11,sáb 30/10/2021,13:00,Konyaspor,Fenerbahce,4-4-2 duplo 6,İlhan Palut,10846,2:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/3612939
12,dom 07/11/2021,07:30,Göztepe,Konyaspor,4-1-4-1,İlhan Palut,6795,0:2,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/3612951
13,dom 21/11/2021,10:00,Konyaspor,C. Rizespor,4-1-4-1,İlhan Palut,6401,3:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/3612959
14,dom 28/11/2021,07:30,Gaziantep FK,Konyaspor,4-2-3-1,İlhan Palut,2269,3:2,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/3612963
15,seg 06/12/2021,14:00,Konyaspor,Y. Malatyaspor,4-1-4-1,İlhan Palut,5905,0:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/3612979
16,sáb 11/12/2021,07:30,Karagümrük,Konyaspor,4-2-3-1,İlhan Palut,176,1:4,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/3612984
17,sáb 18/12/2021,10:00,Konyaspor,Antalyaspor,4-2-3-1,İlhan Palut,6882,1:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/3613000
18,qua 22/12/2021,11:00,Hatayspor,Konyaspor,4-2-3-1,İlhan Palut,3933,1:3,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/3613012
19,seg 27/12/2021,14:00,Konyaspor,Besiktas,4-2-3-1,İlhan Palut,14589,1:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/3613019
20,dom 09/01/2022,07:30,Konyaspor,Sivasspor,4-2-3-1,İlhan Palut,7507,0:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/3613028
21,ter 22/02/2022,14:00,Basaksehir,Konyaspor,4-1-4-1,İlhan Palut,,2:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/3613039
22,ter 18/01/2022,14:00,Konyaspor,Adana Demirspor,4-2-3-1,Osman Demir,12670,1:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/3613049
23,dom 23/01/2022,10:00,Altay SK,Konyaspor,4-1-4-1,İlhan Palut,3313,0:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/3613059
24,sex 04/02/2022,14:00,Konyaspor,Giresunspor,4-2-3-1,İlhan Palut,5822,1:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/3613063
25,dom 13/02/2022,13:00,Trabzonspor,Konyaspor,4-2-3-1,İlhan Palut,37976,2:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/3613079
26,sex 18/02/2022,14:00,Konyaspor,Kasimpasa,4-2-3-1,Osman Demir,7296,4:4,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/3613084
27,dom 27/02/2022,10:00,Alanyaspor,Konyaspor,4-1-4-1,İlhan Palut,1718,5:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/3613099
28,sáb 05/03/2022,13:00,Konyaspor,Galatasaray,4-2-3-1,İlhan Palut,23483,2:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/3613106
29,dom 13/03/2022,07:30,Kayserispor,Konyaspor,4-2-3-1,İlhan Palut,7215,2:3,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/3613119
30,dom 20/03/2022,13:00,Fenerbahce,Konyaspor,4-2-3-1,İlhan Palut,35397,2:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/3613129
31,dom 03/04/2022,10:00,Konyaspor,Göztepe,4-2-3-1,İlhan Palut,9136,3:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/3613141
32,sáb 09/04/2022,10:00,C. Rizespor,Konyaspor,4-2-3-1,İlhan Palut,1879,2:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/3613149
33,dom 17/04/2022,07:30,Konyaspor,Gaziantep FK,4-2-3-1,İlhan Palut,8109,4:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/3613153
34,dom 24/04/2022,10:00,Y. Malatyaspor,Konyaspor,4-2-3-1,İlhan Palut,391,2:3,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/3613169
35,sáb 30/04/2022,10:00,Konyaspor,Karagümrük,4-2-3-1,İlhan Palut,7153,1:2,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/3613174
36,seg 09/05/2022,14:00,Antalyaspor,Konyaspor,4-2-3-1,İlhan Palut,10049,3:2,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/3613190
37,dom 15/05/2022,13:00,Konyaspor,Hatayspor,4-2-3-1,İlhan Palut,12577,3:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/3613202
38,sáb 21/05/2022,13:00,Besiktas,Konyaspor,4-2-3-1,İlhan Palut,22357,1:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/3613209
