round,date,time,home_team,away_team,formation,coach,audience,result,match_link
1,seg 16/08/2021,13:15,Y. Malatyaspor,Trabzonspor,3-5-2 plano,İrfan Buz,1585,1:5,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/3612836
2,dom 22/08/2021,15:45,Göztepe,Y. Malatyaspor,3-5-2 plano,İrfan Buz,2660,0:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/3612851
3,sáb 28/08/2021,13:15,Y. Malatyaspor,Gaziantep FK,3-5-2 plano,İrfan Buz,1444,2:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/3612856
4,sáb 11/09/2021,14:00,Besiktas,Y. Malatyaspor,3-5-2 plano,İrfan Buz,14406,3:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/3612866
5,sex 17/09/2021,14:00,Y. Malatyaspor,Karagümrük,4-4-2,İrfan Buz,1903,3:4,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/3612876
6,ter 21/09/2021,14:00,Y. Malatyaspor,Sivasspor,4-1-4-1,İrfan Buz,1868,0:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/3612886
7,sáb 25/09/2021,10:00,Antalyaspor,Y. Malatyaspor,4-4-2 duplo 6,İrfan Buz,1535,1:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/3612897
8,dom 03/10/2021,07:30,Y. Malatyaspor,Hatayspor,4-2-3-1,İrfan Buz,1662,0:2,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/3612906
9,sáb 16/10/2021,13:00,Adana Demirspor,Y. Malatyaspor,3-1-4-2,Marius Șumudică,9728,0:2,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/3612919
10,sex 22/10/2021,14:00,Y. Malatyaspor,Altay SK,3-1-4-2,Marius Șumudică,2654,2:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/3612926
11,sáb 30/10/2021,07:30,Kasimpasa,Y. Malatyaspor,3-1-4-2,Marius Șumudică,893,2:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/3612934
12,sáb 06/11/2021,10:00,Y. Malatyaspor,Basaksehir,3-1-4-2,Marius Șumudică,2432,1:3,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/3612946
