round,date,time,home_team,away_team,formation,coach,audience,result,match_link
1,sáb 12/08/2023,15:45,Kayserispor,Galatasaray,4-2-3-1,Çağdaş Atan,15993,0:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/4126774
2,sex 18/08/2023,15:00,Istanbulspor,Kayserispor,4-2-3-1,Çağdaş Atan,657,1:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/4126785
3,dom 27/08/2023,13:15,Kayserispor,Samsunspor,4-1-4-1,Çağdaş Atan,7171,2:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/4126811
4,sáb 02/09/2023,15:45,Antalyaspor,Kayserispor,4-2-3-1,Çağdaş Atan,5191,1:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/4126827
5,sáb 16/09/2023,11:00,Kayserispor,Gaziantep FK,4-3-3 ofensivo,Recep Uçar,5649,2:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/4129453
6,dom 24/09/2023,11:00,Besiktas,Kayserispor,4-3-3 ofensivo,Recep Uçar,29665,2:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/4129470
7,seg 02/10/2023,14:00,Kayserispor,Basaksehir,4-2-3-1,Recep Uçar,6841,0:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/4129473
8,sáb 07/10/2023,10:00,Ankaragücü,Kayserispor,4-2-3-1,Recep Uçar,9816,3:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/4129491
9,sáb 21/10/2023,07:30,Kayserispor,C. Rizespor,4-2-3-1,Recep Uçar,4049,3:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/4129493
10,sex 27/10/2023,14:00,Hatayspor,Kayserispor,4-2-3-1,Recep Uçar,4067,1:2,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/4129503
11,seg 06/11/2023,14:00,Kayserispor,Alanyaspor,4-3-3 ofensivo,Recep Uçar,5248,1:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/4129513
12,sáb 11/11/2023,07:30,Kasimpasa,Kayserispor,4-2-3-1,Recep Uçar,1503,3:4,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/4129525
13,dom 26/11/2023,07:30,Kayserispor,Adana Demirspor,4-2-3-1,Recep Uçar,9508,1:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/4129533
14,dom 03/12/2023,10:00,Trabzonspor,Kayserispor,4-2-3-1,Recep Uçar,18560,0:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/4129549
15,dom 10/12/2023,10:00,Kayserispor,Pendikspor,4-2-3-1,Recep Uçar,5982,2:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/4129553
16,qua 10/01/2024,11:00,Karagümrük,Kayserispor,4-2-3-1,Recep Uçar,394,4:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/4129568
17,qua 20/12/2023,11:00,Kayserispor,Fenerbahce,4-2-3-1,Recep Uçar,13049,3:4,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/4129573
18,dom 24/12/2023,07:30,Konyaspor,Kayserispor,4-2-3-1,Recep Uçar,8032,2:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/4129592
