round,date,time,home_team,away_team,formation,coach,audience,result,match_link
1,sex 09/08/2024,15:00,Galatasaray,Hatayspor,4-1-4-1,Özhan Pulat,38879,2:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/4387782
2,seg 19/08/2024,15:00,Hatayspor,Kasimpasa,4-3-3 ofensivo,Özhan Pulat,2995,1:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/4387818
3,dom 25/08/2024,15:45,Antalyaspor,Hatayspor,4-3-3 ofensivo,Özhan Pulat,4681,3:2,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/4387832
4,dom 01/09/2024,15:45,Hatayspor,Samsunspor,4-3-3 ofensivo,Özhan Pulat,2216,0:3,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/4387841
5,dom 15/09/2024,14:00,Alanyaspor,Hatayspor,4-3-3 ofensivo,Rıza Çalımbay,2856,0:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/4393143
6,sex 20/09/2024,14:00,Hatayspor,Bodrum FK,4-3-3 ofensivo,Rıza Çalımbay,2786,0:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/4393158
8,sáb 05/10/2024,13:00,Hatayspor,Trabzonspor,4-2-3-1,Rıza Çalımbay,5926,1:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/4393177
9,dom 20/10/2024,07:30,Sivasspor,Hatayspor,4-3-3 ofensivo,Rıza Çalımbay,,3:2,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/4393179
10,sáb 26/10/2024,07:30,Hatayspor,Kayserispor,4-3-3 ofensivo,Rıza Çalımbay,2104,0:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/4393194
11,dom 03/11/2024,10:00,Eyüpspor,Hatayspor,4-2-3-1,Rıza Çalımbay,1812,2:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/4393202
12,sáb 09/11/2024,10:00,Hatayspor,Gaziantep FK,4-2-3-1,Rıza Çalımbay,2231,3:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/4393212
13,dom 24/11/2024,10:00,Konyaspor,Hatayspor,4-2-3-1,Rıza Çalımbay,8052,1:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/4393217
14,seg 02/12/2024,14:00,Hatayspor,Besiktas,4-2-3-1,Rıza Çalımbay,10222,1:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/4393231
15,dom 08/12/2024,13:00,Basaksehir,Hatayspor,4-2-3-1,Rıza Çalımbay,1319,3:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/4393236
16,dom 15/12/2024,07:30,Hatayspor,Göztepe,4-2-3-1,Rıza Çalımbay,2801,1:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/4393248
17,seg 23/12/2024,14:00,Hatayspor,Adana Demirspor,4-3-3 ofensivo,Rıza Çalımbay,1755,1:3,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/4393251
18,dom 05/01/2025,13:00,Fenerbahce,Hatayspor,4-2-3-1,Yılmaz Bal,26744,2:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/4393267
19,sáb 11/01/2025,10:00,Hatayspor,C. Rizespor,4-2-3-1,Yılmaz Bal,1430,1:2,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/4393270
20,sex 17/01/2025,14:00,Hatayspor,Galatasaray,4-3-3 ofensivo,Murat Şahin,17874,1:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/4393284
21,seg 27/01/2025,14:00,Kasimpasa,Hatayspor,4-3-3 ofensivo,Murat Şahin,1379,5:4,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/4393290
22,sáb 01/02/2025,07:30,Hatayspor,Antalyaspor,4-3-3 ofensivo,Murat Şahin,1426,2:3,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/4393302
23,sex 07/02/2025,14:00,Samsunspor,Hatayspor,4-3-3 ofensivo,Murat Şahin,7535,2:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/4393309
24,dom 16/02/2025,07:30,Hatayspor,Alanyaspor,3-4-3 plano,Murat Şahin,1351,1:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/4393321
25,sex 21/02/2025,14:00,Bodrum FK,Hatayspor,4-2-3-1,Murat Şahin,2048,1:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/4393330
27,sáb 08/03/2025,14:30,Trabzonspor,Hatayspor,4-2-3-1,Murat Şahin,11752,1:2,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/4393346
28,dom 16/03/2025,10:00,Hatayspor,Sivasspor,4-2-3-1,Murat Şahin,1933,3:2,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/4393357
29,sex 28/03/2025,10:00,Kayserispor,Hatayspor,4-2-3-1,Murat Şahin,1942,5:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/4393361
30,dom 06/04/2025,10:00,Hatayspor,Eyüpspor,4-2-3-1,Murat Şahin,2074,0:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/4393375
31,dom 13/04/2025,10:00,Gaziantep FK,Hatayspor,4-2-3-1,Murat Şahin,5755,2:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/4393383
32,sex 18/04/2025,14:00,Hatayspor,Konyaspor,4-3-3 ofensivo,Murat Şahin,976,2:3,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/4393393
33,sex 25/04/2025,14:00,Besiktas,Hatayspor,4-2-3-1,Murat Şahin,16160,5:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/4393395
34,sáb 03/05/2025,13:00,Hatayspor,Basaksehir,4-2-3-1,Murat Şahin,859,2:4,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/4393411
35,dom 11/05/2025,13:00,Göztepe,Hatayspor,3-1-4-2,Murat Şahin,15570,1:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/4393419
36,sáb 17/05/2025,13:00,Adana Demirspor,Hatayspor,4-3-3 ofensivo,Murat Şahin,1458,0:5,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/4393425
37,seg 26/05/2025,14:00,Hatayspor,Fenerbahce,3-4-1-2,Murat Şahin,7348,4:2,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/4393431
38,sáb 31/05/2025,10:00,C. Rizespor,Hatayspor,4-2-3-1,Murat Şahin,2046,5:2,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/4393441
