league_name,n_teams,n_G_plus,n_G_minus,n_G_0,pct_G_plus,pct_G_minus,pct_G_0,threshold
saudiproleague,108,8,9,91,7.41,8.33,84.26,G: 0.400
2bundesliga,568,34,40,494,5.99,7.04,86.97,G: 0.400
j1league,310,16,18,276,5.16,5.81,89.03,G: 0.400
ligaportugal,434,21,22,391,4.84,5.07,90.09,G: 0.400
premierleague,626,27,32,567,4.31,5.11,90.58,G: 0.400
bundesliga,578,28,24,526,4.84,4.15,91.0,G: 0.400
ligue1,646,28,30,588,4.33,4.64,91.02,G: 0.400
challengerproleague,192,7,10,175,3.65,5.21,91.15,G: 0.400
campeonatobrasileiroserieb,260,10,11,239,3.85,4.23,91.92,G: 0.400
ligue2,468,17,19,432,3.63,4.06,92.31,G: 0.400
campeonatobrasileiroseriea,300,10,13,277,3.33,4.33,92.33,G: 0.400
ligaportugal2,304,10,13,281,3.29,4.28,92.43,G: 0.400
jupilerproleague,212,6,10,196,2.83,4.72,92.45,G: 0.400
j2league,301,13,8,280,4.32,2.66,93.02,G: 0.400
laliga,380,15,10,355,3.95,2.63,93.42,G: 0.400
laliga2,352,11,8,333,3.12,2.27,94.6,G: 0.400
championship,456,11,5,440,2.41,1.1,96.49,G: 0.400
