league_name,season_year,total_tests,significant_tests,significant_percentage,significant_G-_vs_G0,significant_G-_vs_G+,significant_G0_vs_G+
2bundesliga,1990,3,0,0.0000,0,0,0
2bundesliga,1992,3,0,0.0000,0,0,0
2bundesliga,1993,3,0,0.0000,0,0,0
2bundesliga,1994,3,0,0.0000,0,0,0
2bundesliga,1995,3,0,0.0000,0,0,0
2bundesliga,1996,3,0,0.0000,0,0,0
2bundesliga,1998,3,1,0.3333,0,1,0
2bundesliga,1999,3,0,0.0000,0,0,0
2bundesliga,2000,3,0,0.0000,0,0,0
2bundesliga,2001,3,0,0.0000,0,0,0
2bundesliga,2002,3,0,0.0000,0,0,0
2bundesliga,2003,3,0,0.0000,0,0,0
2bundesliga,2004,3,0,0.0000,0,0,0
2bundesliga,2005,3,0,0.0000,0,0,0
2bundesliga,2006,3,0,0.0000,0,0,0
2bundesliga,2007,3,1,0.3333,1,0,0
2bundesliga,2008,3,0,0.0000,0,0,0
2bundesliga,2009,3,0,0.0000,0,0,0
2bundesliga,2011,3,0,0.0000,0,0,0
2bundesliga,2012,3,0,0.0000,0,0,0
2bundesliga,2013,3,0,0.0000,0,0,0
2bundesliga,2014,3,0,0.0000,0,0,0
2bundesliga,2015,3,0,0.0000,0,0,0
2bundesliga,2016,3,0,0.0000,0,0,0
2bundesliga,2017,3,0,0.0000,0,0,0
2bundesliga,2018,3,1,0.3333,1,0,0
2bundesliga,2022,3,0,0.0000,0,0,0
2bundesliga,2023,3,0,0.0000,0,0,0
2bundesliga,2024,3,1,0.3333,0,0,1
2bundesliga,all_seasons,87,4,0.0460,2,1,1
all_leagues,all_seasons,921,26,0.0282,13,2,11
bundesliga,1990,3,0,0.0000,0,0,0
bundesliga,1991,3,0,0.0000,0,0,0
bundesliga,1993,3,0,0.0000,0,0,0
bundesliga,1994,3,0,0.0000,0,0,0
bundesliga,1995,3,0,0.0000,0,0,0
bundesliga,1996,3,0,0.0000,0,0,0
bundesliga,1999,3,0,0.0000,0,0,0
