league_name,mean_difference,mann_whitney_stat,p_value,neg_log_p,n_unbalanced,n_balanced,mean_unbalanced,mean_balanced
campeonatobrasileiroseriea,0.07575187969924801,3124.0,0.03046422476977107,1.5162098689918133,18,266,0.6,0.524248120300752
ligaportugal,-0.06346661490683236,5111.5,0.04367521539295476,1.3597649445306976,35,368,0.41857142857142854,0.4820380434782609
ligue1,-0.05441087344028517,9171.5,0.05352823623561787,1.271417066456998,40,561,0.6555,0.7099108734402851
saudiproleague,-0.0529761904761904,417.0,0.3374890751397379,0.4717402811539056,12,84,0.31833333333333336,0.37130952380952376
premierleague,-0.041836413121329574,8829.5,0.10004415536313492,0.9998082780190948,39,537,0.8817948717948716,0.9236312849162012
ligue2,0.03873122598672718,6722.0,0.12351933780098043,0.9082650452964788,28,409,0.6053571428571428,0.5666259168704156
2bundesliga,-0.038530850495334446,10621.0,0.13044298122980652,0.884579284100527,53,459,0.5869811320754716,0.6255119825708061
challengerproleague,0.03781132075471694,1363.5,0.3603633509690489,0.44325938329018894,15,159,0.5246666666666666,0.4868553459119497
laliga2,0.035070599748357356,4072.5,0.2673244954237698,0.5729612442365033,23,311,0.6639130434782609,0.6288424437299035
j1league,0.03013628104179289,3674.0,0.3447012421492217,0.4625571515860161,26,254,0.6492307692307693,0.6190944881889764
championship,0.02355450236966805,5124.5,0.4111143550496992,0.38603735851513216,22,422,0.8149999999999998,0.7914454976303318
j2league,0.02256292906178492,3366.5,0.42444132990175043,0.37218233336086637,23,266,0.5478260869565218,0.5252631578947369
laliga,0.019069767441860397,3753.0,0.494221960338346,0.30607796099409457,20,344,0.79,0.7709302325581396
jupilerproleague,-0.008988764044943753,1052.5,0.5886900370871797,0.23011331406837243,13,178,0.73,0.7389887640449437
bundesliga,-0.006336143695014784,10455.0,0.6450327065048771,0.1904182638229188,44,496,0.8147727272727271,0.8211088709677419
campeonatobrasileiroserieb,0.004810022026431715,1866.5,0.8539778445526782,0.06855339642262308,16,227,0.410625,0.4058149779735683
ligaportugal2,-0.002582375478927146,2511.0,0.7784667174317367,0.10875995052646903,20,261,0.48600000000000004,0.4885823754789272
