league_name,season_year,canonical_name,other_name,precision_score,is_confident_match
2bundesliga,1990,1fcsaarbrucken,saarbrucken,88,True
2bundesliga,1990,1fcschweinfurt05,schweinfurt05,90,True
2bundesliga,1990,1fsvmainz05,mainz,62,False
2bundesliga,1990,blauwei90berlin,bwberlin,70,True
2bundesliga,1990,eintrachtbraunschweigtsv,ebraunschweig,70,True
2bundesliga,1990,fc08homburg,fc08homburg,100,True
2bundesliga,1990,hannover96,hannover,89,True
2bundesliga,1990,msvduisburg,msvduisburg,100,True
2bundesliga,1990,preuenmunster,prmunster,82,True
2bundesliga,1990,rotweissessen,rwessen,70,True
2bundesliga,1990,scfortunakoln,fortunakoln,92,True
2bundesliga,1990,scfreiburg,freiburg,89,True
2bundesliga,1990,schalke04,schalke,88,True
2bundesliga,1990,stuttgarterkickers,stuttgkickers,84,True
2bundesliga,1990,svdarmstadt98,darmstadt98,92,True
2bundesliga,1990,svmeppen,svmeppen,100,True
2bundesliga,1990,svwaldhofmannheim,wmannheim,69,False
2bundesliga,1990,tsvhavelse,tsvhavelse,100,True
2bundesliga,1990,vfboldenburg,vfboldenburg,100,True
2bundesliga,1990,vflosnabruck,vflosnabruck,100,True
2bundesliga,1991,1fckaiserslautern,klautern,64,False
2bundesliga,1991,1fcnuremberg,nuremberg,86,True
2bundesliga,1991,arminiabielefeld,armbielefeld,86,True
2bundesliga,1991,eintrachtbraunschweigtsv,ebraunschweig,70,True
2bundesliga,1991,fortunadusseldorf95,dusseldorf,69,False
2bundesliga,1991,hannover96,hannover,89,True
2bundesliga,1991,herthaberlim,herthaberlim,100,True
2bundesliga,1991,holsteinkiel,holsteinkiel,100,True
2bundesliga,1991,karlsruhersc,karlsruher,91,True
2bundesliga,1991,magdeburgo,magdeburgo,100,True
2bundesliga,1991,preuenmunster,prmunster,82,True
2bundesliga,1991,schalke04,schalke,88,True
2bundesliga,1991,scpaderborn07,paderborn,82,True
2bundesliga,1991,sgdynamodresden,dynamodresden,93,True
2bundesliga,1991,spvgggreutherfurth,greutherfurth,84,True
2bundesliga,1991,sv07elversberg,svelversberg,92,True
2bundesliga,1991,svdarmstadt98,darmstadt98,92,True
2bundesliga,1991,vflbochum,bochum,80,True
2bundesliga,1992,1fsvmainz05,mainz,62,False
2bundesliga,1992,chemnitzerfc,chemnitzerfc,100,True
2bundesliga,1992,eintrachtbraunschweigtsv,ebraunschweig,70,True
2bundesliga,1992,fc08homburg,fc08homburg,100,True
2bundesliga,1992,fccarlzeissjena,carlzeissjena,93,True
2bundesliga,1992,fchansarostock,hansarostock,92,True
2bundesliga,1992,fcremscheid,fcremscheid,100,True
2bundesliga,1992,fcstpauli,stpauli,88,True
2bundesliga,1992,fortunadusseldorf95,dusseldorf,69,False
2bundesliga,1992,hannover96,hannover,89,True
2bundesliga,1992,herthaberlim,herthaberlim,100,True
2bundesliga,1992,msvduisburg,msvduisburg,100,True
2bundesliga,1992,scfortunakoln,fortunakoln,92,True
2bundesliga,1992,scfreiburg,freiburg,89,True
2bundesliga,1992,spvggunterhaching,unterhaching,83,True
2bundesliga,1992,stuttgarterkickers,stuttgkickers,84,True
2bundesliga,1992,svdarmstadt98,darmstadt98,92,True
2bundesliga,1992,svmeppen,svmeppen,100,True
2bundesliga,1992,svwaldhofmannheim,wmannheim,69,False
2bundesliga,1992,vfbleipzig,vfbleipzig,100,True
2bundesliga,1992,vfboldenburg,vfboldenburg,100,True
2bundesliga,1992,vflosnabruck,vflosnabruck,100,True
2bundesliga,1992,vflwolfsburg,wolfsburg,86,True
2bundesliga,1992,wuppertalersv,wuppertalersv,100,True
2bundesliga,1993,1fcsaarbrucken,saarbrucken,88,True
2bundesliga,1993,1fsvmainz05,mainz,62,False
2bundesliga,1993,bayer05uerdingen,bayer05,61,False
2bundesliga,1993,chemnitzerfc,chemnitzerfc,100,True
2bundesliga,1993,fc08homburg,fc08homburg,100,True
2bundesliga,1993,fccarlzeissjena,carlzeissjena,93,True
2bundesliga,1993,fchansarostock,hansarostock,92,True
2bundesliga,1993,fcstpauli,stpauli,88,True
2bundesliga,1993,hannover96,hannover,89,True
2bundesliga,1993,herthaberlim,herthaberlim,100,True
2bundesliga,1993,rotweissessen,rwessen,70,True
2bundesliga,1993,scfortunakoln,fortunakoln,92,True
2bundesliga,1993,stuttgarterkickers,stuttgkickers,84,True
2bundesliga,1993,svmeppen,svmeppen,100,True
2bundesliga,1993,svwaldhofmannheim,wmannheim,69,False
2bundesliga,1993,tennisborussiaberlin,tebeberlin,60,False
2bundesliga,1993,tsv1860munique,1860munique,88,True
2bundesliga,1993,vflbochum,bochum,80,True
2bundesliga,1993,vflwolfsburg,wolfsburg,86,True
2bundesliga,1993,wuppertalersv,wuppertalersv,100,True
2bundesliga,1994,1fcnuremberg,nuremberg,86,True
2bundesliga,1994,1fcsaarbrucken,saarbrucken,88,True
2bundesliga,1994,1fsvmainz05,mainz,62,False
2bundesliga,1994,chemnitzerfc,chemnitzerfc,100,True
2bundesliga,1994,fc08homburg,fc08homburg,100,True
2bundesliga,1994,fchansarostock,hansarostock,92,True
2bundesliga,1994,fcstpauli,stpauli,88,True
2bundesliga,1994,fortunadusseldorf95,dusseldorf,69,False
2bundesliga,1994,fsvfrankfurt,fsvfrankfurt,100,True
2bundesliga,1994,fsvzwickau,fsvzwickau,100,True
2bundesliga,1994,hannover96,hannover,89,True
2bundesliga,1994,herthaberlim,herthaberlim,100,True
2bundesliga,1994,scfortunakoln,fortunakoln,92,True
2bundesliga,1994,sgwattenscheid09,wattenscheid09,93,True
2bundesliga,1994,svmeppen,svmeppen,100,True
2bundesliga,1994,svwaldhofmannheim,wmannheim,69,False
2bundesliga,1994,vfbleipzig,vfbleipzig,100,True
2bundesliga,1994,vflwolfsburg,wolfsburg,86,True
2bundesliga,1995,1fcnuremberg,nuremberg,86,True
2bundesliga,1995,1fsvmainz05,mainz,62,False
2bundesliga,1995,arminiabielefeld,armbielefeld,86,True
2bundesliga,1995,chemnitzerfc,chemnitzerfc,100,True
2bundesliga,1995,fccarlzeissjena,carlzeissjena,93,True
2bundesliga,1995,fsvzwickau,fsvzwickau,100,True
2bundesliga,1995,hannover96,hannover,89,True
2bundesliga,1995,herthaberlim,herthaberlim,100,True
2bundesliga,1995,msvduisburg,msvduisburg,100,True
2bundesliga,1995,scfortunakoln,fortunakoln,92,True
2bundesliga,1995,sgwattenscheid09,wattenscheid09,93,True
2bundesliga,1995,spvggunterhaching,unterhaching,83,True
2bundesliga,1995,svmeppen,svmeppen,100,True
2bundesliga,1995,svwaldhofmannheim,wmannheim,69,False
2bundesliga,1995,vfbleipzig,vfbleipzig,100,True
2bundesliga,1995,vfblubeck,vfblubeck,100,True
2bundesliga,1995,vflbochum,bochum,80,True
2bundesliga,1995,vflwolfsburg,wolfsburg,86,True
2bundesliga,1996,1fckaiserslautern,klautern,64,False
2bundesliga,1996,1fsvmainz05,mainz,62,False
2bundesliga,1996,fccarlzeissjena,carlzeissjena,93,True
2bundesliga,1996,fcgutersloh19782000,fcgutersloh,73,True
2bundesliga,1996,fsvzwickau,fsvzwickau,100,True
2bundesliga,1996,herthaberlim,herthaberlim,100,True
2bundesliga,1996,kfcuerdingen05,kfcuerdingen,92,True
2bundesliga,1996,rotweissessen,rwessen,70,True
2bundesliga,1996,scfortunakoln,fortunakoln,92,True
2bundesliga,1996,sgeintrachtfrankfurt,frankfurt,62,False
2bundesliga,1996,spvggunterhaching,unterhaching,83,True
2bundesliga,1996,stuttgarterkickers,stuttgkickers,84,True
2bundesliga,1996,svmeppen,svmeppen,100,True
2bundesliga,1996,svwaldhofmannheim,wmannheim,69,False
2bundesliga,1996,vfbleipzig,vfbleipzig,100,True
2bundesliga,1996,vfblubeck,vfblubeck,100,True
2bundesliga,1996,vfboldenburg,vfboldenburg,100,True
2bundesliga,1996,vflwolfsburg,wolfsburg,86,True
2bundesliga,1997,1fcnuremberg,nuremberg,86,True
2bundesliga,1997,1fsvmainz05,mainz,62,False
2bundesliga,1997,fccarlzeissjena,carlzeissjena,93,True
2bundesliga,1997,fcenergiecottbus,energcottbus,86,True
2bundesliga,1997,fcgutersloh19782000,fcgutersloh,73,True
2bundesliga,1997,fcstpauli,stpauli,88,True
2bundesliga,1997,fortunadusseldorf95,dusseldorf,69,False
2bundesliga,1997,fsvzwickau,fsvzwickau,100,True
2bundesliga,1997,kfcuerdingen05,kfcuerdingen,92,True
2bundesliga,1997,scfortunakoln,fortunakoln,92,True
2bundesliga,1997,scfreiburg,freiburg,89,True
2bundesliga,1997,sgeintrachtfrankfurt,frankfurt,62,False
2bundesliga,1997,sgwattenscheid09,wattenscheid09,93,True
2bundesliga,1997,spvgggreutherfurth,greutherfurth,84,True
2bundesliga,1997,spvggunterhaching,unterhaching,83,True
2bundesliga,1997,stuttgarterkickers,stuttgkickers,84,True
2bundesliga,1997,svmeppen,svmeppen,100,True
