league_name,season_year,canonical_name,other_name,precision_score,is_confident_match
2bundesliga,2010,1fcunionberlim,unionberlim,88,True
2bundesliga,2010,alemanniaaachen,alemaachen,80,True
2bundesliga,2010,arminiabielefeld,armbielefeld,86,True
2bundesliga,2010,fcaugsburg,augsburg,89,True
2bundesliga,2010,fcenergiecottbus,energcottbus,86,True
2bundesliga,2010,fcerzgebirgeaue,erzgebirgeaue,93,True
2bundesliga,2010,fcingolstadt04,ingolstadt,83,True
2bundesliga,2010,fortunadusseldorf95,dusseldorf,69,False
2bundesliga,2010,fsvfrankfurt,fsvfrankfurt,100,True
2bundesliga,2010,herthaberlim,herthaberlim,100,True
2bundesliga,2010,karlsruhersc,karlsruher,91,True
2bundesliga,2010,msvduisburg,msvduisburg,100,True
2bundesliga,2010,rotweioberhausen,rwoberhausen,86,True
2bundesliga,2010,scpaderborn07,paderborn,82,True
2bundesliga,2010,spvgggreutherfurth,greutherfurth,84,True
2bundesliga,2010,tsv1860munique,1860munique,88,True
2bundesliga,2010,vflbochum,bochum,80,True
2bundesliga,2010,vflosnabruck,vflosnabruck,100,True
