league_name,season_year,canonical_name,other_name,precision_score,is_confident_match
bundesliga,1992,1fccolonia,colonia,82,True
bundesliga,1992,1fckaiserslautern,klautern,64,False
bundesliga,1992,1fcnuremberg,nuremberg,86,True
bundesliga,1992,1fcsaarbrucken,saarbrucken,88,True
bundesliga,1992,bayer04leverkusen,leverkusen,74,True
bundesliga,1992,bayer05uerdingen,bayer05,61,False
bundesliga,1992,borussiadortmund,dortmund,67,False
bundesliga,1992,borussiamonchengladbach,mgladbach,56,False
bundesliga,1992,fcbayernmunique,bayern,57,False
bundesliga,1992,hamburgersv,hamburgo,74,True
bundesliga,1992,karlsruhersc,karlsruher,91,True
bundesliga,1992,schalke04,schalke,88,True
bundesliga,1992,sgdynamodresden,dynamodresden,93,True
bundesliga,1992,sgeintrachtfrankfurt,frankfurt,62,False
bundesliga,1992,sgwattenscheid09,wattenscheid09,93,True
bundesliga,1992,vfbstuttgart,stuttgart,86,True
bundesliga,1992,vflbochum,bochum,80,True
bundesliga,1992,werderbremen,werderbremen,100,True
