league_name,season_year,canonical_name,other_name,precision_score,is_confident_match
campeonatobrasileiroseriea,2009,atleticomineiro,atleticomg,101,True
campeonatobrasileiroseriea,2009,avaifc,avai,80,True
campeonatobrasileiroseriea,2009,botafogofr,botafogo,89,True
campeonatobrasileiroseriea,2009,clubeatleticoparanaense,atleticopr,61,False
campeonatobrasileiroseriea,2009,coritibafc,coritiba,89,True
campeonatobrasileiroseriea,2009,crflamengo,flamengo,89,True
campeonatobrasileiroseriea,2009,cruzeiroec,cruzeiro,89,True
campeonatobrasileiroseriea,2009,ecsantoandre,santoandre,91,True
campeonatobrasileiroseriea,2009,ecvitoria,vitoria,88,True
campeonatobrasileiroseriea,2009,fluminensefc,fluminense,91,True
campeonatobrasileiroseriea,2009,goiasec,goias,83,True
campeonatobrasileiroseriea,2009,gremiobaruerifutebolltda,barueri,45,False
campeonatobrasileiroseriea,2009,gremiofbpa,gremio,75,True
campeonatobrasileiroseriea,2009,nautico,nautico,100,True
campeonatobrasileiroseriea,2009,santosfc,santos,86,True
campeonatobrasileiroseriea,2009,saopaulofc,saopaulo,89,True
campeonatobrasileiroseriea,2009,sccorinthians,corinthians,92,True
campeonatobrasileiroseriea,2009,scinternacional,internacional,93,True
campeonatobrasileiroseriea,2009,sepalmeiras,palmeiras,90,True
campeonatobrasileiroseriea,2009,sportrecife,sport,62,False
